Date,revenue,cost-goods-sold,gross-profit,research-development-expenses,selling-general-administrative-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,current-ratio,long-term-debt-capital,debt-equity-ratio,gross-margin,operating-margin,ebit-margin,pre-tax-profit-margin,net-profit-margin,asset-turnover,inventory-turnover,receiveable-turnover,days-sales-in-receivables,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2024-09-30,0.59300,0.35800,0.23500,0.52700,3.33400,3.86100,-3.62600,5.61600,1.99000,1.99000,1.99000,1.67300,-3.43100,-3.62600,45.86120,45.86120,0.04000,0.04000,1.14930,,,39.62900,-611.46710,-611.46710,335.58180,282.12480,0.03160,0.05670,0.76220,118.07760,31.06460,85.48110,10.59360,31.06460,0.13970,0.009,0.009
2024-06-30,1.57300,0.58900,0.98400,0.67900,3.47500,4.15400,-3.17000,2.78500,-0.38500,-0.38500,-0.38500,-0.89600,-2.94200,-3.17000,45.32490,45.32490,-0.02000,-0.02000,0.92920,,,62.55560,-201.52580,-201.52580,-24.47550,-56.96120,0.07230,0.09080,0.48220,186.63700,-10.02340,130.50820,-1.76910,-10.02340,0.08390,-0.0756,-0.0755
2024-03-31,1.47600,0.64000,0.83600,0.75500,4.22000,4.97500,-4.13900,4.25600,0.11700,0.11700,0.11700,-0.07200,-3.91600,-4.13900,44.15540,44.15540,0.00000,0.00000,0.96010,,,56.63960,-280.42010,-280.42010,7.92680,-4.87800,0.05960,0.10050,0.62890,143.10980,4.70260,44.15100,0.47230,2.60990,0.10100,-0.08430,-0.08470
2023-12-31,0.58900,0.88000,-0.29100,0.58300,5.75900,6.34200,-6.63300,-11.76900,-18.40200,-18.40200,-18.40200,-18.60100,-6.48500,-6.63300,42.32420,42.32420,-0.43000,-0.43000,0.90210,,,-49.40580,-1126.14600,-1126.14600,-3124.28000,-3158.06600,0.02070,0.15190,0.19470,462.22430,-581.78910,1680.54800,-64.56620,-581.78940,0.07210,-0.0917,-0.0941
2023-09-30,3.63100,1.45400,2.17700,0.61000,4.31700,4.92700,-2.75000,-0.03300,-2.78300,-2.78300,-2.78300,-2.97600,-2.47800,-2.75000,42.65250,42.65250,-0.07000,-0.07000,2.38860,,,59.95590,-75.73670,-75.73670,-76.64560,-81.96090,0.11470,0.25000,0.84030,107.10270,-15.01480,-17.79300,-8.78830,-13.52880,0.47520,-0.2843,-0.2858
2023-06-30,1.20200,0.53400,0.66800,1.00200,4.74500,5.74700,-5.07900,0.07200,-5.00700,-5.00700,-5.00700,-5.00700,-4.87600,-5.07900,41.70970,41.70970,-0.12000,-0.12000,2.53110,,,55.57400,-422.54580,-422.54580,-416.55570,-416.55570,0.03900,0.08190,0.61670,145.93180,-25.31990,-29.13250,-16.22700,-25.31990,0.47180,0.0555,0.0542
2023-03-31,0.71100,0.35900,0.35200,1.07200,3.54000,4.61200,-4.26000,0.23200,-4.02800,-4.02800,-4.02800,-4.02800,-4.06000,-4.26000,41.41580,41.41580,-0.10000,-0.10000,6.96670,,,49.50770,-599.15610,-599.15610,-566.52600,-566.52600,0.02610,0.06380,0.61770,145.69620,-17.09610,-19.23320,-14.78710,-17.09610,0.57090,-0.07410,-0.07440
2022-12-31,3.58400,1.88500,1.69900,0.87100,4.43000,5.30100,-3.60200,0.06700,-3.53500,-3.53500,-3.53500,-3.53500,-3.41400,-3.60200,41.17480,41.17480,-0.09000,-0.09000,8.51050,,,47.40510,-100.50230,-100.50220,-98.63280,-98.63280,0.11720,0.47420,1.26640,71.06590,-13.06600,-14.43680,-11.56330,-13.06600,0.65710,-0.0861,-0.0874
2022-09-30,1.70100,0.79000,0.91100,1.23600,3.58600,4.82200,-3.91100,0.04600,-3.86500,-3.86500,-3.86500,-3.86500,-3.71700,-3.91100,41.08630,41.08630,-0.09000,-0.09000,13.48450,,,53.55670,-229.92360,-229.92360,-227.21930,-227.21930,0.05230,0.26670,0.76550,117.56610,-12.90270,-13.77650,-11.88570,-12.90270,0.72840,-0.1171,-0.1179
2022-06-30,1.16500,0.70800,0.45700,1.47600,3.76400,5.24000,-4.78300,-0.00200,-4.78500,-4.78500,-4.78500,-4.78500,-4.58600,-4.78300,40.97900,40.97900,-0.12000,-0.12000,12.76110,,,39.22750,-410.55790,-410.55790,-410.72960,-410.72960,0.03250,0.34830,0.82920,108.54080,-14.55870,-15.47240,-13.35140,-14.55870,0.80180,-0.0329,-0.0351
2022-03-31,1.59900,0.93200,0.66700,1.49500,4.60600,6.10100,-5.43400,0.00200,-5.43200,-5.43200,-5.43200,-5.43200,-5.25100,-5.43400,40.90730,40.90730,-0.13000,-0.13000,13.32390,,,41.71360,-339.83740,-339.83740,-339.71230,-339.71230,0.03990,0.49840,0.37720,238.59290,-14.71570,-15.55020,-13.54210,-14.71570,0.90140,-0.11860,-0.12050
2021-12-31,2.44800,1.70900,0.73900,1.91100,4.06500,5.97600,-5.23700,0.00700,-5.23000,-5.23000,-5.23000,-5.23000,-5.09500,-5.23700,39.28160,39.28160,-0.13000,-0.13000,14.42530,,,30.18790,-213.92970,-213.92960,-213.64380,-213.64380,0.05530,1.09130,0.63440,141.87500,-12.67450,-13.31400,-11.82430,-12.67450,1.01010,-0.1242,-0.1294
2021-09-30,1.80500,1.09400,0.71100,2.07600,4.65400,6.73000,-6.01900,0.02800,-5.99100,-5.99100,-5.99100,-5.99100,-5.90200,-6.01900,40.41300,40.41300,-0.15000,-0.15000,14.99580,,,39.39060,-333.46260,-333.46260,-331.91140,-331.91140,0.03710,0.47900,0.55420,162.39890,-13.17750,-13.71190,-12.30870,-13.17750,1.11570,-0.071,-0.0815
2021-06-30,1.93400,1.99400,-0.06000,1.16200,6.57900,7.74100,-7.80100,0.00200,-7.79900,-7.79900,-7.79900,-7.79900,-7.68600,-7.80100,38.16300,38.16300,-0.20000,-0.20000,19.14470,,,-3.10240,-403.36090,-403.36090,-403.25750,-403.25750,0.03770,0.70290,0.73730,122.06310,-15.99600,-16.46710,-15.19060,-15.99600,1.22160,-0.1506,-0.1559
2021-03-31,1.54200,0.93700,0.60500,1.06500,4.97800,6.04300,-5.43800,0.00900,-5.42900,-5.42900,-5.42900,-5.42900,-5.33400,-5.43800,37.61900,37.61900,-0.14000,-0.14000,12.67780,,,39.23480,-352.65890,-352.65890,-352.07520,-352.07520,0.03390,0.26170,0.69710,129.10500,-12.90810,-13.35380,-11.91880,-12.90810,1.11530,-0.11810,-0.12240
2020-12-31,1.41400,0.94200,0.47200,0.75100,3.69800,4.44900,-3.97700,0.42100,-3.55600,-3.55600,-3.55600,-3.55600,-3.90400,-3.97700,33.84600,33.84600,-0.09000,-0.09000,20.05430,,,33.38050,-281.25880,-281.25880,-251.48520,-251.48520,0.02900,0.35480,0.75570,119.08770,-7.66150,-7.89920,-7.28200,-7.66150,1.23590,-0.1489,-0.1506
2020-09-30,1.00700,0.68800,0.31900,0.92700,3.25500,4.18200,-3.86300,0.00100,-3.86200,-3.86200,-3.86200,-3.86200,-3.82500,-3.86300,36.42000,36.42000,-0.11000,-0.11000,28.65870,0.00390,0.00880,31.67830,-383.61470,-383.61470,-383.51540,-383.51540,0.02040,0.35260,0.86060,104.57890,-8.14130,-8.19710,-7.81860,-8.10950,1.27830,-0.0865,-0.0899
2020-06-30,0.83300,0.56500,0.26800,0.57700,2.53800,3.11500,-2.84700,0.03100,-2.81600,-2.81600,-2.81600,-2.81600,-2.82000,-2.84700,31.24100,31.24100,-0.09000,-0.09000,24.08030,0.00680,0.01120,32.17290,-341.77670,-341.77670,-338.05520,-338.05520,0.02130,0.27080,1.69250,53.17740,-7.59360,-7.65700,-7.21510,-7.54170,1.07920,-0.05,-0.0516
2020-03-31,0.69000,0.40600,0.28400,0.53400,2.14000,2.67400,-2.39000,0.04400,-2.34600,-2.34600,-2.34600,-2.34600,-2.36500,-2.39000,29.97700,29.97700,-0.08000,-0.08000,18.25260,,,41.15940,-346.37680,-346.37680,-340.00000,-340.00000,0.03580,0.17740,1.79820,50.04900,-12.94830,-13.13840,-12.18320,-12.94830,0.60250,-0.07470,-0.07530
2019-12-31,0.25080,0.16530,0.08550,0.61620,2.10630,2.72240,-2.63700,0.09350,-2.54340,-2.54340,-2.54340,-2.54340,-2.61100,-2.63700,28.65260,28.65260,-0.09000,-0.09000,18.28840,,,34.07760,-1051.53600,-1051.53600,-1014.24000,-1014.24000,0.01230,0.07370,1.28370,70.10840,-13.25000,-13.41090,-12.45470,-13.25000,0.64350,-0.1005,-0.1027
2019-09-30,0.26880,0.15780,0.11100,0.72980,1.87820,2.60790,-2.49700,0.10980,-2.38720,-2.38720,-2.38720,-2.38720,-2.48860,-2.49700,29.66240,29.66240,-0.08000,-0.08000,16.97230,,,41.29180,-929.05760,-929.05760,-888.21900,-888.21900,0.01210,0.07990,2.81410,31.98150,-11.53480,-11.65510,-10.78200,-11.53480,0.69760,-0.0619,-0.0647
2019-06-30,0.05940,0.03570,0.02370,0.51620,1.48120,1.99740,-1.97370,0.05960,-1.91410,-1.91410,-1.91410,-1.91410,-1.96630,-1.97370,27.84840,27.84840,-0.07000,-0.07000,30.40890,,,39.95190,-3320.18600,-3320.18600,-3219.96100,-3219.96100,0.00250,0.02840,1.90170,47.32710,-8.49620,-8.56730,-8.14650,-8.49620,0.76010,-0.0757,-0.0782
2019-03-31,0.11780,0.06120,0.05660,0.37480,1.18790,1.56270,-1.50610,0.02530,-1.48080,-1.48080,-1.48080,-1.48080,-1.50090,-1.50610,27.36460,27.36460,-0.05000,-0.05000,13.04370,,,48.03540,-1278.40700,-1278.40700,-1256.91200,-1256.91200,0.00980,0.08840,1.86880,48.16000,-13.29730,-13.48250,-12.25830,-13.29730,0.40690,-0.05810,-0.05950
2018-12-31,0.02130,0.01700,0.00430,0.27670,1.02070,1.29750,-1.29320,0.00160,-1.29160,-1.29160,-1.29160,-1.29160,-1.27940,-1.29320,23.57830,23.57830,-0.05000,-0.05000,31.80030,,,20.01880,-6082.87500,-6082.87500,-6075.40500,-6075.40500,0.00170,0.10740,4.83620,18.60960,-10.42510,-10.52590,-10.10110,-10.42510,0.45280,-0.0427,-0.0429
