Date,revenue,cost-goods-sold,gross-profit,other-operating-income-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,current-ratio,long-term-debt-capital,debt-equity-ratio,gross-margin,operating-margin,ebit-margin,pre-tax-profit-margin,net-profit-margin,asset-turnover,inventory-turnover,receiveable-turnover,days-sales-in-receivables,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2024-09-30,624.67500,365.13100,259.54400,-176.33100,184.96600,74.57790,1.40000,75.97800,19.39000,56.58800,56.58800,55.27800,88.37990,74.57790,70.80600,71.56900,0.78000,0.77000,2.08590,,,41.54870,11.93870,11.93870,12.16280,8.84910,0.42870,1.35900,1.29410,69.54570,6.57950,9.93030,3.88350,6.57950,11.91360,0.0141,-0.0896
2024-06-30,523.55300,306.42400,217.12900,-170.25900,170.25900,46.87000,1.35400,48.22400,11.27600,36.94800,36.94800,35.37600,53.50800,46.87000,71.45800,72.00400,0.50000,0.49000,2.11890,,,41.47220,8.95230,8.95230,9.21090,6.75690,0.38070,1.26810,1.38290,65.08070,4.43900,7.02300,2.68700,4.43900,11.46400,1.5182,1.444
2024-03-31,552.38100,327.56600,224.81500,-166.36900,168.06900,56.74600,1.55500,58.30100,13.73900,44.56200,44.56200,43.93400,61.37700,56.74600,72.29200,72.86500,0.61000,0.60000,2.42790,,,40.69930,10.27300,10.27300,10.55450,7.95360,0.42360,1.62190,1.29950,69.25710,5.28230,8.27830,3.41690,5.28230,11.50520,-0.21550,-0.27010
2023-12-31,519.71410,304.88700,214.82710,-174.89400,174.89390,39.93320,1.49400,41.42700,4.41900,37.00800,37.00800,35.88200,50.72120,39.93300,73.33700,74.56500,0.50000,0.49000,2.26370,,,41.33560,7.68370,7.68370,7.97110,6.90420,0.38560,1.33140,1.43980,62.50980,4.36400,6.83100,2.74550,4.36400,11.50950,2.0246,1.9511
2023-09-30,552.73200,320.10700,232.62500,-149.88700,149.88700,82.73800,1.92200,84.66000,19.55200,65.10800,65.10800,64.41300,86.61900,82.73800,72.94300,74.07100,0.88000,0.87000,2.57290,,,42.08640,14.96890,14.96890,15.31670,11.65360,0.42770,1.55620,1.37700,65.36040,7.62640,11.12420,5.03840,7.62640,11.44240,-0.0488,-0.1323
2023-06-30,445.30200,255.43200,189.87000,-145.83000,145.83000,44.04000,1.95600,45.99600,10.92300,35.07300,35.07300,34.52900,48.02600,44.04000,73.61300,74.88300,0.47000,0.46000,2.60640,,,42.63850,9.88990,9.88990,10.32920,7.75410,0.35060,1.22900,1.49450,60.22050,4.16680,6.13480,2.76110,4.16680,11.17770,1.2735,1.2194
2023-03-31,463.83400,268.74200,195.09200,-148.58100,148.58100,46.51100,2.02000,48.53100,11.74500,36.78600,36.78600,36.73000,49.87700,46.51100,74.49800,75.85500,0.49000,0.48000,2.98560,,,42.06070,10.02750,10.02750,10.46300,7.91880,0.38490,1.49350,1.40540,64.03750,4.39130,6.46910,3.05250,4.39130,11.02080,-0.17500,-0.22500
2022-12-31,470.64290,271.94600,198.69700,-158.94000,158.94000,39.75700,0.57000,40.32700,8.37500,31.95200,31.95200,31.79100,44.90800,39.75700,76.02100,78.06900,0.44000,0.42000,2.62870,,,42.21820,8.44740,8.44740,8.56850,6.75480,0.37410,1.18880,1.64470,54.72270,3.78640,5.56090,2.53990,3.78640,10.98840,2.569,2.4902
2022-09-30,556.64300,327.16700,229.47600,-150.72400,150.72400,78.75200,1.34000,80.09200,18.33500,61.75700,61.75700,61.29700,83.70600,78.75200,75.59800,77.39600,0.81000,0.79000,2.91790,,,41.22500,14.14770,14.14770,14.38840,11.01190,0.45390,1.33910,1.42820,63.01490,7.24900,10.62360,5.03630,7.24900,10.93550,0.3506,0.2868
2022-06-30,534.98900,317.22400,217.76500,-152.52600,152.52600,65.23900,-1.29100,63.94800,15.03300,48.91500,48.91500,48.46000,70.48700,65.23900,76.55600,78.71400,0.63000,0.62000,2.38750,,,40.70460,12.19450,12.19450,11.95310,9.05810,0.40740,1.03480,1.42250,63.26930,5.80030,8.60890,3.72460,5.80030,10.67400,0.7559,0.7341
2022-03-31,559.73400,331.83600,227.89800,-130.00200,130.00200,97.89600,0.05700,97.95300,23.36000,74.59300,74.59300,74.51300,103.11900,97.89600,77.25100,79.66300,0.96000,0.94000,2.51430,,,40.71540,17.48970,17.48970,17.49990,13.31220,0.43780,1.42190,1.30300,69.07260,8.84420,13.21010,5.83430,8.84420,10.55990,-0.24410,-0.28920
2021-12-31,578.48080,340.14100,238.33980,-158.92300,158.92300,79.41680,-0.51300,78.90400,12.78200,66.12200,66.12200,65.98600,87.06580,79.41690,78.44200,81.62800,0.84000,0.81000,2.17070,,,41.20100,13.72850,13.72850,13.63990,11.40680,0.42680,1.33280,1.47750,60.91390,8.05840,12.23460,4.87790,8.05840,10.18580,0.7705,0.7462
2021-09-30,528.74200,308.74400,219.99800,-131.58000,131.58000,88.41800,-0.20200,88.21600,21.55100,66.66500,66.66500,66.64300,90.94700,88.41800,78.12900,81.30700,0.85000,0.82000,2.26750,,,41.60780,16.72230,16.72230,16.68410,12.60410,0.40670,1.53450,1.37600,65.40900,8.25900,12.67200,5.12780,8.25900,9.91710,0.0628,0.0401
2021-06-30,397.89400,227.83900,170.05500,-122.33700,122.33700,47.71800,-0.77700,46.94100,9.60000,37.34100,37.34100,36.85200,52.77200,47.71800,78.89900,82.06100,0.47000,0.45000,2.66440,,,42.73880,11.99270,11.99270,11.79740,9.26180,0.33920,1.81510,1.42540,63.13960,4.77190,7.47460,3.18300,4.77190,9.52480,1.0586,1.0442
2021-03-31,361.02500,221.92100,139.10400,-111.06000,111.06000,28.04400,-0.03700,28.00700,5.67600,22.33100,22.33100,21.19700,32.07200,28.04400,79.03800,81.88900,0.27000,0.26000,2.86370,0.10730,0.12020,38.53030,7.76790,7.76790,7.75760,5.87130,0.30880,2.08260,1.12860,79.74400,2.78870,4.31070,1.91040,2.48950,9.68370,0.06160,0.04210
2020-12-31,352.96690,217.65500,135.31190,-113.96900,158.24200,-22.93000,0.12900,21.47200,-2.33800,23.81000,23.81000,22.59100,-17.06100,-22.93000,78.63500,78.63500,0.29000,0.29000,2.95970,,,38.33560,-6.49640,-6.49640,6.08330,6.40030,0.31020,2.14610,1.27100,70.81220,3.01250,4.69710,2.09270,3.01250,9.56680,0.5545,0.5409
2020-09-30,346.86700,206.99000,139.87700,-142.87500,142.87500,-2.99800,0.08800,-2.91000,4.23600,-7.14600,-7.14600,-6.95100,40.90000,-2.99800,78.56000,78.56000,-0.09000,-0.09000,2.97070,,,40.32580,-0.86430,-0.86430,-0.83890,-2.00390,0.31410,1.88720,1.30200,69.12210,-0.93080,-1.47450,-0.64700,-0.93080,9.24650,-0.7293,-0.7442
2020-06-30,142.81200,86.92400,55.88800,-79.59000,79.59000,-23.70200,0.35700,-23.34500,-6.20100,-17.14400,-17.14400,-16.58600,-18.27600,-23.70200,78.51700,78.51700,-0.21000,-0.21000,2.67320,,,39.13400,-16.59670,-16.59670,-16.34670,-11.61390,0.12610,0.84160,0.99400,90.54640,-2.23490,-3.79810,-1.51400,-2.23490,9.23850,1.2392,1.226
2020-03-31,359.16800,225.70400,133.46400,-159.71200,159.71200,-26.24800,1.04600,-25.20200,-7.40100,-17.80100,-17.80100,-17.45100,17.08700,-26.24800,78.87500,78.87500,-0.22000,-0.22000,2.75360,,,37.15920,-7.30800,-7.30800,-7.01680,-4.85870,0.31340,2.20710,1.37320,65.53920,-2.30100,-3.88010,-1.55340,-2.30100,9.31560,-0.50220,-0.54400
