Date,selling-general-administrative-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,current-ratio,long-term-debt-capital,debt-equity-ratio,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2024-09-30,1.69560,-4.45830,-0.40770,-4.86590,,-4.86590,-4.86590,-4.86590,-3.98370,-4.45830,6.71900,6.71900,-0.72000,-0.72000,1.29980,,-5.17780,231.51120,1196.49100,-130.97770,1196.49100,-0.05840,-0.0313,-0.0313
2024-06-30,1.36720,-8.50380,4.57860,-3.92520,,-3.92520,-3.92520,-3.92520,-8.50380,-8.50380,5.79900,5.79900,-0.68000,-0.68000,5.61930,,,-210.27430,-110.20210,-65.30960,-110.20210,0.61420,-1.7954,-1.7954
2024-03-31,2.64270,-5.18230,-0.64070,-5.82310,-2.96930,-2.85380,-2.85380,-2.85380,-5.15160,-5.18230,5.07300,5.07300,-0.56000,-0.56000,5.99490,,0.01980,-48.98130,-37.94230,-17.84810,-37.94230,1.37430,-0.71290,-0.71290
2023-12-31,1.77580,-10.40860,-1.06010,-11.46870,,-11.05960,-11.05960,-11.05960,-7.20630,-10.40860,3.97100,3.97100,-2.42000,-2.42000,3.30580,,0.05300,-197.99910,-151.90110,-61.12180,-151.90110,1.51090,-1.9886,-1.9886
2023-09-30,2.14600,-10.66460,0.13760,-10.52700,,-10.52700,-10.52700,-10.52700,-10.64610,-10.66460,3.83800,3.83800,-2.74000,-2.74000,3.32210,,0.02330,-72.78230,-65.14700,-42.10260,-65.14700,4.21020,-2.9122,-2.9115
2023-06-30,2.28500,-14.16560,0.08610,-14.07960,,-14.07960,-14.07960,-14.07960,-14.14730,-14.16560,3.82700,3.82700,-3.68000,-3.68000,4.26940,,0.01420,-57.05320,-53.38610,-38.57190,-53.38610,6.87160,-3.2406,-3.2449
2023-03-31,3.41150,-13.20920,-0.05080,-13.25990,,-13.25990,-13.25990,-13.25990,-13.19110,-13.20920,3.81100,3.81100,-3.48000,-3.48000,4.67410,,0.01010,-37.39680,-35.69050,-26.78980,-35.69050,9.74880,-2.15550,-2.15550
2022-12-31,2.25670,-9.77280,0.07750,-9.69530,,-6.81150,-6.81150,-9.94900,-9.75430,-9.77280,3.81100,3.81100,-2.62000,-2.62000,7.16440,,0.00730,-14.14350,-13.66230,-11.30640,-13.66230,13.08210,-1.2589,-1.2631
2022-09-30,2.72520,-8.46530,-0.08230,-8.54760,,-8.54760,-8.54760,-8.54760,-8.44760,-8.46530,3.81100,3.81100,-2.24000,-2.24000,8.76840,,,-14.84920,-14.42410,-12.26390,-14.42410,15.54740,-3.289,-3.289
2022-06-30,2.42520,-19.99810,0.08680,-19.91130,,-19.91130,-19.91130,-19.91130,-18.10870,-19.99810,3.81100,3.81100,-5.22000,-5.22000,5.94560,,,-30.34140,-29.57700,-23.82690,-29.57700,17.66240,-1.968,-1.9674
2022-03-31,2.94130,-7.25250,0.32280,-6.92970,,-6.92970,-6.92970,-6.92970,-7.22970,-7.25250,3.81100,3.81100,-1.82000,-1.82000,14.34120,,,-8.15830,-8.17520,-7.22930,-7.99860,22.73020,-2.65790,-2.65790
2021-12-31,2.08980,-8.99990,-0.72220,-9.72210,,-9.72210,-9.72210,-9.72210,-8.97650,-8.99990,3.51460,3.51460,-2.60000,-2.60000,11.87510,,0.03210,-10.64920,-10.66910,-9.38850,-10.45440,24.40010,-2.6285,-2.6313
2021-09-30,2.71690,-8.51740,-0.75210,-9.26950,,-9.26950,-9.26950,-9.26950,-8.49430,-8.51740,3.81130,3.81130,-2.40000,-2.40000,14.89620,,0.02720,-9.18350,-9.19850,-8.30590,-9.03080,26.93160,-2.971,-2.9806
2021-06-30,2.66870,-6.85460,-0.81250,-7.66710,,-7.66710,-7.66710,-7.66710,-6.83320,-6.85460,3.81130,3.81130,-2.00000,-2.00000,16.00680,,0.01860,-7.03310,-7.04370,-6.40240,-6.92470,29.05120,-0.4668,-0.46
2021-03-31,2.53280,-6.03150,-0.03210,-6.06350,,-6.06350,-6.06350,-6.06350,-6.01330,-6.03150,2.60810,2.60810,-2.40000,-2.40000,41.06250,,0.00150,-5.23320,-5.24060,-4.89950,-5.15720,30.84930,-2.81790,-2.84940
2020-12-31,2.32560,-4.95270,-0.00590,-4.95860,-0.00290,-4.95570,-4.95570,-4.95570,-4.93910,-4.95270,0.48390,0.48390,2.80000,2.80000,9.14540,0.00430,0.00440,-12.76970,-12.82220,-10.18740,-12.17710,25.30550,-7.6115,-7.7684
2020-09-30,2.44850,-6.23100,-0.06260,-6.29360,-0.06200,-6.23150,-6.23150,-6.23680,-6.22380,-6.23100,0.45130,0.45130,-13.80000,-13.80000,3.62810,0.01350,0.01370,-55.83480,-56.64070,-30.60120,-47.75350,28.52700,-7.456,-7.4546
