Date,selling-general-administrative-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,current-ratio,long-term-debt-capital,debt-equity-ratio,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2020-06-30,1.82510,-4.77540,-0.06910,-4.84450,0.09560,-4.94010,-4.94010,-4.94010,-4.76820,-4.77540,0.42480,0.42480,-11.60000,-11.60000,6.97960,0.00960,0.00970,-29.80400,-30.08360,-20.51220,-26.74850,40.53650,3.1891,3.1572
2020-03-31,1.54960,-4.18690,-0.03970,-4.22660,,-4.22660,-4.22660,-4.22660,-4.18040,-4.18690,0.21730,0.21730,-19.40000,-19.40000,11.26790,,,-24.78830,-25.01440,-18.16330,-22.52070,61.79680,-21.52770,-21.51760
2019-12-31,1.17840,-2.24230,0.08160,-2.16070,0.05230,-2.21300,-2.21300,-2.21120,-2.23570,-2.24230,0.10220,0.10220,198.60000,198.60000,8.94010,,,-15.92140,-16.09980,-10.73690,-14.17100,83.06750,-44.3833,-44.6247
2019-09-30,1.06410,-1.91050,0.09090,-1.81970,,-1.81970,-1.81970,-1.82810,-1.90330,-1.91050,0.17270,0.17270,-10.60000,-10.60000,10.08870,,0.02030,-12.54110,-12.67570,-8.63490,-11.21420,93.95820,47.58,48.3717
2019-06-30,0.93990,-1.69560,-0.28630,-1.98190,-0.96100,-1.02090,-1.02090,-6.43290,-1.27020,-1.69560,0.04300,0.04300,-149.60000,-149.60000,9.66940,,0.04380,-6.26140,-6.31810,-4.37420,-5.66250,104.39570,87.4192,89.3929
2019-03-31,1.40370,-1.92170,-0.06200,-1.98370,,-1.98370,-1.98370,-2.00800,-1.84750,-1.92170,0.01250,0.01250,-160.60000,-160.60000,0.55350,,2.94810,177.27840,161.87420,-25.09590,-307.33340,43.42180,-164.67420,-167.70210
2018-12-31,1.95340,-2.99560,0.42290,-2.57270,,-2.57270,-2.57270,-2.21870,-2.99100,-2.99560,0.00920,0.00920,-154.97760,-154.97760,1.04150,,0.72910,-1361.67600,-2470.71000,-31.41560,-130.25860,159.92320,-655.75,-655.741
2018-09-30,1.68460,-3.85250,3.69550,-0.15710,,-0.15710,-0.15710,-8.96290,-3.84790,-3.85250,0.01010,0.01010,-885.40000,-885.40000,1.61960,,0.64800,-4.39670,-5.64250,-1.09210,-3.37440,398.99870,-122.5759,-122.6053
2018-06-30,1.76150,-3.88440,-0.14470,-4.02910,,-4.02910,-4.02910,-4.02910,-3.87980,-3.88440,0.00760,0.00760,-529.00000,-529.00000,0.54830,,-2.66130,250.67000,153.63840,-50.51980,536.12560,-98.30460,-426.0697,-426.0757
2018-03-31,1.60090,-3.86160,0.63510,-3.22650,-0.53600,-2.69050,-2.69050,-2.69050,-3.85670,-3.86160,0.00720,0.00720,-377.62240,-377.62240,1.61890,,,-133.74990,-227.85480,-28.63340,-88.16320,401.93820,-496.25940,-496.13500
2017-12-31,-2.43670,5.44120,-3.55730,1.88400,,3.83180,3.83180,3.83180,5.43140,5.44120,0.00690,0.00690,951.04880,951.04880,2.32840,,,143.88710,209.13010,34.05120,103.47250,528.92570,1577.929,1578.381
2017-09-30,1.87490,-5.83840,0.06420,-5.77420,,-5.77420,-5.77420,-5.77420,-5.83240,-5.83840,0.00540,0.00540,-1076.92300,-1076.92300,3.17980,,,-146.08390,-184.96060,-40.89040,-115.65090,714.63610,-1001.038,-1001.038
2017-06-30,1.95630,-5.21630,7.26630,2.05000,,2.05000,2.05000,2.05000,-5.20980,-5.21630,0.00540,0.00540,377.62240,377.62240,4.48000,,,25.56780,28.52340,11.15040,22.63180,1338.67100,-841.4195,-841.8715
2017-03-31,1.96350,-4.90820,-2.71040,-7.61860,,-7.61860,-7.61860,-7.61860,-4.89980,-4.90820,0.00570,0.00570,-1342.65700,-1342.65700,2.65150,,,534.43470,337.65330,-64.78520,1976.69700,-67.69140,-921.82350,-921.82350
2016-12-31,,-6.02230,,-6.41350,-1.90800,,,-4.50550,0.00610,,0.00540,0.00540,-895.10490,-895.10490,3.36790,,,,,,,1047.53200,-518.83,-521.119
2016-09-30,1.74740,-4.87710,0.06020,-4.81690,,-4.81690,-4.81690,-4.81690,-4.87710,-4.87710,0.00340,0.00340,-1454.54500,-1454.54500,0.70000,,,99.79220,98.97170,-54.63530,160.77650,-602.99880,-1291.811,-1291.811
2016-06-30,,,,,,,,,,,,,,0.00000,,,,,,,,,4984.222,4986.928
2016-03-31,1.46590,-4.65270,0.73520,-3.91750,,-3.91750,-3.91750,-3.91750,-4.63660,-4.65270,0.00240,0.00240,-1566.43300,-1566.43300,1.54510,,,31.58080,-302.43230,-58.03970,-302.43230,530.84720,-4984.22200,-4986.92800
2015-12-31,,-5.51410,,-3.03040,,,,-3.03040,0.00540,,0.00240,0.00240,-1230.76900,-1230.76900,2.79650,,,,,,,2043.21200,-3478.5863,-3481.359
2015-09-30,1.07870,-4.84440,,-4.84440,,-4.84440,-4.84440,-4.84440,-4.84440,-4.84440,0.00200,0.00200,-2461.53800,-2461.53800,0.64530,,,32.16530,355.92580,-169.74490,355.92580,-0.06110,-0.1257,-0.126
2015-06-30,,,,,,,,,,,,,,0.00000,,,,,,,,,0.2397,0.2434
2015-03-31,1.79180,-4.39780,,-4.39780,,-4.39780,-4.39780,-7.39780,-4.38660,-4.39780,0.00200,0.00200,-3692.30800,-3692.30800,5.79420,,,75.61410,-55.78270,-46.29510,-55.78270,0.35430,-0.23970,-0.24340
2014-12-31,,-3.10440,,,,,,-7.94910,0.00390,,0.00200,0.00200,-4027.97200,-4027.97200,24.52200,,,,,,,0.38670,-0.0597,-0.0599
2014-09-30,0.69850,-1.08250,-0.38790,-1.47040,,-1.47040,-1.47040,-1.47040,-1.08250,-1.08250,0.00180,0.00180,-783.21670,-783.21670,1.92260,,,-272.36100,-272.36080,-146.37140,-272.36070,0.02430,-0.0514,-0.0536
2014-06-30,,,,,,,,,,,,,,0.00000,,,,,,,,,0.0456,0.0466
2014-03-31,0.38650,-0.45900,-8.85280,-9.31180,,-9.31180,-9.31180,-9.31180,-0.45900,-0.45900,0.00130,0.00130,-7048.95100,-7048.95100,10.11160,,,126.82240,126.82240,-352.25180,126.82240,-0.39770,-0.04560,-0.04660
2013-12-31,,-0.16330,,,,,,-0.16820,,,0.00080,0.00080,-223.77620,-223.77620,0.01770,,-0.72450,,,,,-0.05450,-0.0248,-0.0248
2013-09-30,0.16670,-0.18040,-0.00170,-0.18210,,-0.18210,-0.18210,-0.18210,-0.18040,-0.18040,0.00080,0.00080,-223.77620,-223.77620,0.19070,,-0.62640,56.44340,56.44340,-239.54260,56.44340,-0.03590,-0.0123,-0.0123
2013-06-30,,,,,,,,,,,,,,0.00000,,,,,,,,,0,0
