Date,revenue,cost-goods-sold,gross-profit,selling-general-administrative-expenses,other-operating-income-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,other-income,income-from-continuous-operations,income-from-discontinued-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,long-term-debt-capital,debt-equity-ratio,operating-margin,ebit-margin,pre-tax-profit-margin,net-profit-margin,asset-turnover,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2024-09-30,87.74500,25.53800,62.20700,10.21500,,44.71500,17.49200,-5.22300,12.26900,0.01500,12.25400,,12.25400,,8.41400,53.97300,17.49200,108.35100,108.35100,0.07000,0.07000,0.39940,0.66510,19.93500,19.93500,13.98260,9.58910,0.02050,0.51600,0.51600,0.28660,0.30990,20.85060,0.3866,0.272
2024-06-30,87.25400,25.76200,61.49200,10.17900,0.75700,43.70300,17.78900,-16.05200,1.73700,0.15500,1.58200,,1.58200,,1.44300,54.21900,17.78900,103.59200,103.59200,0.01000,0.01000,0.43100,0.75750,20.38760,20.38760,1.99070,1.65380,0.02050,0.07070,0.07070,0.03720,0.04020,21.26680,0.3056,0.6359
2024-03-31,91.35600,31.44200,59.91400,9.76800,-1.19800,45.90600,14.00800,-20.83400,-6.82600,0.03100,-6.85700,,-6.85700,,3.26900,50.71400,14.00800,102.12800,102.12800,0.03000,0.03000,0.43640,0.77430,15.33340,15.33340,-7.47190,3.57830,0.02140,-0.30800,-0.30800,-0.16050,-0.17360,21.57960,0.25450,0.12940
2023-12-31,85.51300,29.29300,56.22000,10.57200,,45.60100,10.61900,-20.80100,-10.18200,0.05300,-10.23500,,-10.23500,,-1.33700,47.46800,10.61900,95.28400,95.28400,-0.01000,-0.01000,0.47310,0.89770,12.41800,12.41800,-11.90700,-1.56350,0.01990,-0.49130,-0.49130,-0.23850,-0.25890,21.84540,0.4265,-1.1183
2023-09-30,81.39200,26.98000,54.41200,10.30900,-3.68600,47.72100,6.69100,-22.99900,-16.30800,-0.04000,-16.26800,,-16.26800,,-1.42600,50.04200,6.69100,95.32000,95.32000,-0.02000,-0.02000,0.46140,0.85680,8.22070,8.22070,-20.03640,-1.75200,0.01900,-0.76580,-0.76580,-0.38000,-0.41240,22.28770,0.2687,0.0765
2023-06-30,89.94800,25.59100,64.35700,10.64300,,44.69900,19.65800,-16.74100,2.91700,0.16500,2.75200,,2.75200,,9.27600,47.10300,19.65800,95.26000,95.26000,0.09000,0.09000,0.45190,0.82460,21.85490,21.85490,3.24300,10.31260,0.02140,0.12870,0.12870,0.06550,0.07050,22.43630,0.3151,0.1259
2023-03-31,81.83900,26.61200,55.22700,9.94600,,43.11900,12.10800,10.01700,22.12500,0.12300,22.00200,,22.00200,,13.36000,46.92800,12.10800,95.18900,95.18900,0.14000,0.14000,0.45050,0.81990,14.79490,14.79490,27.03480,16.32470,0.01950,1.03280,1.03280,0.52460,0.56750,22.37480,0.62440,0.49270
2022-12-31,80.57800,26.54300,54.03500,11.29800,7.24500,37.54200,16.49300,-20.46600,-3.97300,0.00500,-3.97800,,-3.97800,,3.98200,51.60000,16.49300,94.57500,94.64300,0.03000,0.03000,0.45120,0.82210,20.46840,20.46840,-4.93060,4.94180,0.01870,-0.18240,-0.18240,-0.09250,-0.10010,22.93080,0.3526,0.1185
2022-09-30,79.94600,25.55900,54.38700,10.17000,-24.42600,68.34000,-13.95300,-75.60900,-89.56200,-0.01700,-89.54500,,-89.54500,,-55.89100,21.77600,-13.95300,94.98000,95.25100,-0.59000,-0.61000,0.45140,0.82300,-17.45300,-17.45300,-112.02810,-69.91090,0.01830,-4.05390,-4.05390,-2.05210,-2.22380,23.26310,0.3728,0.7808
2022-06-30,84.25900,25.19500,59.06400,10.66100,12.21600,33.41600,25.64800,-41.26400,-15.61600,0.20900,-15.82500,,-15.82500,,-0.37400,64.34500,25.64800,94.94500,94.94500,0.00000,0.00000,0.43430,0.76770,30.43950,30.43950,-18.53330,-0.44390,0.01900,-0.66960,-0.66960,-0.35650,-0.37880,24.89460,0.3977,-0.046
