Date,revenue,gross-profit,selling-general-administrative-expenses,other-operating-income-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,income-from-discontinued-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,current-ratio,long-term-debt-capital,debt-equity-ratio,gross-margin,operating-margin,ebit-margin,pre-tax-profit-margin,net-profit-margin,asset-turnover,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2024-09-30,290.07300,290.07300,55.81300,-14.71800,209.76500,-1.59200,208.17300,4.42500,203.74800,203.74800,0.00000,84.20300,209.76500,209.76500,9.92500,23.15900,8.48000,7.50000,2.80150,0.97570,62.04210,100.00000,72.31460,72.31460,71.76570,29.02820,0.01000,44.63700,88.27210,0.70380,1.08670,45.98580,-3.4803,-3.4803
2024-06-30,79.03900,79.03900,62.00000,-13.29400,-6.00800,2.24000,-3.76800,1.15300,-4.92100,-4.92100,-0.20300,-2.08900,-6.00800,-6.00800,9.89800,23.08400,-0.21000,-0.30000,2.83180,0.98620,109.62230,100.00000,-7.60130,-7.60130,-4.76730,-2.64300,0.00280,-1.95820,-30.07790,-0.01760,-0.02700,25.33740,3.4719,3.5197
2024-03-31,74.68200,74.68200,64.80600,-16.83100,-16.63300,0.85300,-15.78000,,-15.78000,-15.78000,-4.52400,-7.53800,-16.63300,-16.63300,9.64860,9.64860,-0.80000,-0.80000,2.84320,0.98590,106.49160,100.00000,-22.27180,-22.27180,-21.12960,-10.09350,0.00270,-6.17070,-137.34090,-0.05700,-0.08730,26.48280,-13.70590,-13.75370
2023-12-31,275.73200,275.73200,70.21200,-12.64900,182.93300,-11.37900,171.55400,0.19300,171.36100,171.36100,-6.69800,61.36100,182.93300,182.93300,8.19780,8.19780,6.20000,6.00000,2.81310,0.98450,97.63810,100.00000,66.34450,66.34450,62.21770,22.25390,0.01020,62.90630,907.86110,0.63220,0.97220,28.27550,-7.5637,-7.5637
2023-09-30,-70.44000,-70.44000,81.10200,-14.37000,-175.86600,3.29500,-172.57100,-0.10300,-172.46800,-172.46800,-2.46400,-65.36300,-175.86600,-175.86600,8.77300,8.77300,-7.45000,-7.45000,2.78360,0.99390,251.47120,100.00000,249.66780,249.66780,244.99010,92.79240,-0.00270,-166.46050,104.13560,-0.65340,-1.00970,11.80330,-14.4008,-14.4008
2023-06-30,-111.89700,-111.89700,82.06100,-15.57200,-221.90200,-1.93700,-223.83900,-3.21500,-220.62400,-220.62400,-1.85700,-79.14000,-221.90200,-221.90200,8.74100,8.74100,-9.05000,-9.05000,2.70890,0.98380,94.78500,100.00000,198.30920,198.30920,200.04020,70.72580,-0.00420,-80.59770,4605.33300,-0.83100,-1.30240,31.23830,1.5782,1.6793
2023-03-31,140.85500,140.85500,59.04400,-14.62800,57.07800,0.93600,58.01400,2.53200,55.48200,55.48200,-40.89000,3.05400,57.07800,57.07800,6.40170,19.03010,0.50000,0.70000,2.64910,0.97100,52.93810,100.00000,40.52250,40.52250,41.18700,2.16820,0.00530,11.31290,27.38370,0.20680,0.32830,57.30680,11.65620,11.55510
2022-12-31,65.42500,65.42500,-21.51700,,-40.22800,-11.34200,-51.57000,1.28200,-52.85200,-52.85200,-129.15800,-57.02300,-40.22800,-40.22800,6.22990,18.82370,-9.20000,-7.80000,2.15190,0.96450,49.56750,100.00000,-61.48720,-61.48720,-78.82310,-87.15780,0.00310,-13.05500,-49.06390,-0.25320,-0.46350,63.83190,18.3161,18.3161
2022-09-30,-37.54700,-37.54700,92.35100,,-129.89800,16.66800,-113.23000,-8.49100,-104.73900,-104.73900,-196.96100,-84.48600,-129.89800,-129.89800,6.28050,18.78780,-13.50000,-13.40000,2.07500,0.94940,35.15850,100.00000,345.96110,345.96110,301.56870,225.01400,-0.00180,-18.21280,-76.57150,-0.49430,-0.92200,91.34290,16.2932,16.2932
2022-06-30,-21.17400,-21.17400,112.81900,,-133.99300,14.15400,-119.83900,-2.20100,-117.63800,-117.63800,-50.18500,-40.68000,-133.99300,-133.99300,6.23790,18.78180,-6.50000,-7.00000,2.04990,0.92560,23.68430,100.00000,632.81850,632.81850,565.97240,192.12240,-0.00100,-13.62810,-40.85830,-0.54120,-1.01330,138.16720,23.0918,23.3123
