Date,revenue,cost-goods-sold,gross-profit,selling-general-administrative-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,net-income,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,long-term-debt-capital,debt-equity-ratio,pre-tax-profit-margin,net-profit-margin,asset-turnover,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2024-09-30,45.42000,23.61000,21.81000,16.20800,16.20800,5.60200,-1.41300,4.18900,-0.41000,4.59900,4.59900,4.59900,22.52900,22.66700,0.20000,0.20000,0.53380,1.14520,19.35770,21.25230,0.00520,1.18350,1.18350,0.10950,0.55170,17.24570,0.4857,0.4657
2024-06-30,45.41000,24.11500,21.29500,16.41900,16.41900,4.87600,,4.87600,0.07800,4.79800,4.79800,4.79800,22.51000,22.56100,0.21000,0.21000,0.53340,1.14300,23.52710,23.15080,0.00490,1.27540,1.27540,0.11400,0.59510,16.70650,0.1303,0.1242
2024-03-31,44.27000,23.33500,20.93500,16.20600,16.20600,4.72900,,4.72900,0.29400,4.43500,4.43500,4.43500,22.52060,22.59440,0.20000,0.20000,0.57730,1.36560,22.58900,21.18460,0.00490,1.17600,1.17600,0.10420,0.49710,16.77740,0.04770,0.03390
2023-12-31,43.32100,20.96600,22.35500,15.70800,15.70800,6.64700,,6.64700,0.58800,6.05900,6.05900,6.05900,22.55060,22.63320,0.26000,0.26000,0.55420,1.42710,30.98260,28.24180,0.00510,1.59390,1.59390,0.14300,0.71060,16.82730,0.7861,0.775
2023-09-30,42.66000,18.98400,23.67600,15.99300,15.99300,7.68300,,7.68300,0.88300,6.80000,6.80000,6.80000,22.57000,22.65700,0.30000,0.30000,0.51820,1.07560,32.21790,28.51510,0.00570,1.91220,1.91220,0.16120,0.92130,15.75410,0.0198,0.0037
2023-06-30,40.80600,16.28300,24.52300,16.51700,16.51700,8.00600,,8.00600,1.10700,6.89900,6.89900,6.89900,22.55200,22.58500,0.31000,0.31000,0.51110,1.04530,32.64690,28.13280,0.00580,1.88530,1.88530,0.16270,0.92180,16.22260,0.2511,-6.1477
2023-03-31,35.03200,12.38500,22.64700,15.51500,15.51500,7.13200,,7.13200,0.65100,6.48100,6.48100,6.48100,22.49340,22.58020,0.29000,0.29000,0.50810,1.03290,30.08900,27.34250,0.00570,1.75020,1.75020,0.15480,0.86090,16.43470,0.36400,6.76480
2022-12-31,37.82800,7.70500,30.12300,17.89700,17.89700,12.22600,,12.22600,2.32200,9.90400,9.90400,9.90400,22.86870,22.96860,0.44000,0.43000,0.53000,1.12750,40.69910,32.96940,0.00700,2.71690,2.71690,0.23130,1.27710,16.24280,0.4703,0.7266
2022-09-30,37.88100,4.57600,33.30500,18.10300,18.10300,15.20200,,15.20200,2.73800,12.46400,12.46400,12.46400,22.74600,22.84600,0.55000,0.55000,0.42420,0.84810,47.18770,38.68890,0.00750,3.46750,3.46750,0.29050,1.99650,15.87310,0.6947,0.6712
2022-06-30,35.91800,3.19900,32.71900,17.15500,17.15500,15.56400,,15.56400,3.08300,12.48100,12.48100,12.48100,22.99960,23.07060,0.54000,0.54000,0.42600,0.76880,48.64810,39.01170,0.00740,3.31540,3.31540,0.28950,1.90290,16.48160,0.6131,0.5648
2022-03-31,34.44600,3.01700,31.42900,16.20200,16.20200,15.22700,,15.22700,3.14400,12.08300,12.08300,12.08300,23.17850,23.27770,0.52000,0.52000,0.32360,0.60680,49.12570,38.98250,0.00740,3.10250,3.10250,0.28830,2.09850,16.85540,0.46080,0.40700
2021-12-31,34.08400,3.35300,30.73100,20.11300,20.11300,10.61800,,10.61800,1.60600,9.01200,9.01200,9.01200,23.65560,23.76300,0.39000,0.38000,0.31050,0.75230,35.10550,29.79570,0.00740,2.17780,2.17780,0.22150,1.50170,17.80530,0.5048,0.2789
2021-09-30,33.09400,3.63100,29.46300,15.29200,15.29200,14.17100,,14.17100,2.74900,11.42200,11.42200,11.42200,23.64620,23.75830,0.48000,0.48000,0.34990,0.65730,45.84300,36.95010,0.00750,2.72030,2.72030,0.27880,1.76840,17.78710,0.6066,0.5467
2021-06-30,34.03600,4.28300,29.75300,15.20600,15.20600,14.54700,,14.54700,3.15900,11.38800,11.38800,11.38800,23.73570,23.83180,0.48000,0.48000,0.35170,0.67440,47.88980,37.49010,0.00740,2.73330,2.73330,0.27700,1.77200,17.58360,0.5323,0.5176
