Date,revenue,cost-goods-sold,gross-profit,research-development-expenses,selling-general-administrative-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,income-from-discontinued-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,current-ratio,long-term-debt-capital,debt-equity-ratio,gross-margin,operating-margin,ebit-margin,pre-tax-profit-margin,net-profit-margin,asset-turnover,inventory-turnover,receiveable-turnover,days-sales-in-receivables,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2024-09-30,298.38600,208.00200,90.38400,10.84400,52.09700,65.21300,25.17100,-5.66800,19.50300,1.28200,18.22100,18.22100,,18.02900,47.48100,25.17100,31.25100,31.36700,0.58000,0.57000,3.67730,0.26620,0.36340,30.29100,8.43570,8.43570,6.53620,6.04220,0.17020,1.29500,1.06460,84.54210,1.82820,2.35180,1.03930,1.34140,31.88850,1.4959,1.0052
2024-06-30,331.99400,219.61100,112.38300,11.86000,55.51500,69.47800,42.90500,-8.60700,34.29800,9.57800,24.72000,24.72000,,24.62400,65.29400,42.90500,31.24200,31.34200,0.79000,0.79000,3.59000,0.27780,0.38740,33.85090,12.92340,12.92340,10.33090,7.41700,0.18950,1.35880,1.14480,78.61620,2.53970,3.28020,1.41110,1.83430,31.15010,2.6602,2.0306
2024-03-31,313.33000,204.64400,108.68600,12.66500,54.83500,69.70900,38.97700,-0.33700,38.64000,11.27100,27.36900,27.36900,,27.29100,61.28100,38.97700,31.20900,31.29100,0.87000,0.87000,3.98680,0.30870,0.45110,34.68740,12.43960,12.43960,12.33210,8.71000,0.17420,1.23260,0.98790,91.10620,2.81120,3.63940,1.52200,1.94350,31.16800,0.30670,-0.55230
2023-12-31,323.58410,203.72300,119.86110,10.32400,67.70100,78.07990,41.78120,-2.29900,39.48200,8.93800,30.54400,30.54400,,30.45000,63.73620,41.78110,31.17100,31.27600,0.97000,0.97000,3.53050,0.31880,0.47230,37.04170,12.91200,12.91200,12.20150,9.41020,0.17630,1.20140,1.08290,83.11340,3.15760,4.11370,1.66450,2.15100,31.00880,2.3744,1.2453
2023-09-30,281.10600,179.27100,101.83500,9.70800,51.97500,61.76500,40.07000,-3.70900,36.36100,9.20700,27.15400,27.15400,,27.10900,59.53100,40.07000,31.18500,31.28300,0.87000,0.87000,3.52710,0.33450,0.53230,36.22660,14.25440,14.25440,12.93500,9.64370,0.15700,0.99050,1.01520,88.64990,2.94630,3.88140,1.51680,1.96060,29.54430,1.8902,1.4382
2023-06-30,274.12300,171.41900,102.70400,10.31800,46.76000,57.20300,45.50100,1.40500,46.90600,20.08000,26.82600,26.82600,,26.67200,63.45100,45.50100,31.17400,31.26900,0.86000,0.85000,4.99020,0.34720,0.53180,37.46640,16.59880,16.59880,17.11130,9.72990,0.16060,1.13250,1.09360,82.29730,2.92950,3.80720,1.57140,1.91240,29.36970,0.9944,0.3974
2023-03-31,269.09600,169.77800,99.31800,10.27700,48.47900,58.77600,40.54200,-2.83500,37.70700,10.62100,27.08600,27.08600,,26.88900,57.90900,40.54200,31.13100,31.21700,0.86000,0.86000,4.81590,0.35360,0.54710,36.90800,15.06600,15.06600,14.01250,9.99230,0.15870,1.10410,1.19730,75.16700,3.01790,3.95190,1.59730,1.95070,28.79700,-0.52510,-1.04650
2022-12-31,268.78590,171.69400,97.09200,9.95700,49.38800,59.18300,37.90900,-6.46900,31.44000,13.19900,18.24100,18.24100,,18.13000,55.05000,37.90900,31.33900,31.45500,0.60000,0.58000,3.96770,0.33600,0.50600,36.12240,14.10380,14.10380,11.69700,6.74510,0.16370,1.23480,1.29250,69.63180,2.10260,2.78270,1.11070,1.39610,27.88540,1.9204,0.5495
2022-09-30,260.56300,160.07000,100.49300,9.93400,36.87300,46.84900,53.64400,-46.00400,7.64000,-3.18300,10.82300,10.82300,,10.69400,70.67800,53.64400,31.11100,31.22300,0.34000,0.34000,4.26680,0.35270,0.54500,38.56760,20.58770,20.58770,2.93210,4.10420,0.16580,1.19600,1.28420,70.08360,1.31960,1.76540,0.68860,0.85410,26.34040,0.9538,0.4098
2022-06-30,261.36900,160.77600,100.59300,10.16100,39.74500,49.87800,50.71500,3.11200,53.82700,14.45800,39.36900,39.36900,,39.20100,67.82700,50.71500,31.26800,31.37800,1.25000,1.25000,4.43820,0.37110,0.59020,38.48700,19.40360,19.40360,20.59430,14.99830,0.16200,1.20280,1.29730,69.37360,4.79070,6.46150,2.44060,3.01270,26.41540,1.3706,0.7154
