,Announcement Date,Fiscal Quarter End,Estimated EPS,Actual EPS
0,2024-11-25,2024-08-31,--,$-0.44
1,2024-08-02,2024-05-31,--,$0.20
2,2024-04-19,2024-02-29,--,$0.03
3,2024-02-05,2023-11-30,--,$0.28
4,2023-11-27,2023-08-31,--,$-0.52
5,2023-09-27,2023-05-31,--,$-0.16
6,2022-11-29,2022-08-31,--,$-0.48
7,2022-08-04,2022-05-31,--,$-0.04
8,2021-12-21,2021-08-31,--,$-0.96
9,2021-07-21,2021-05-31,$0.72,$0.92
10,2021-04-21,2021-02-28,$0.16,$-0.20
11,2021-01-20,2020-11-30,$0.92,$1.00
12,2020-11-11,2020-08-31,$0.12,$-0.32
13,2020-07-22,2020-05-31,$0.72,$0.40
14,2020-04-28,2020-02-29,$0.00,$0.28
15,2020-01-16,2019-11-30,$0.96,$0.96
16,2019-11-07,2019-08-31,$0.08,$-0.20
17,2019-07-18,2019-05-31,$0.80,$0.68
18,2019-04-22,2019-02-28,$0.00,$0.04
19,2019-01-17,2018-11-30,$0.64,$0.72
20,2018-11-07,2018-08-31,$0.08,$0.04
21,2018-07-24,2018-05-31,--,$0.64
22,2018-04-24,2018-02-28,--,$-0.08
23,2018-01-23,2017-11-30,--,$0.60
24,2017-11-08,2017-08-31,--,$0.00
25,2017-07-26,2017-05-31,--,$0.60
