Date,revenue,cost-goods-sold,gross-profit,selling-general-administrative-expenses,other-operating-income-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,current-ratio,long-term-debt-capital,debt-equity-ratio,gross-margin,operating-margin,ebit-margin,pre-tax-profit-margin,net-profit-margin,asset-turnover,receiveable-turnover,days-sales-in-receivables,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2024-09-30,9.75800,3.66400,6.09400,3.08000,0.00000,5.18400,0.91000,-2.80000,-1.89000,-1.89000,-1.89000,-1.75100,3.35800,0.91000,30.61500,30.61500,-0.06000,-0.06000,0.10470,0.08330,1.03070,62.45130,9.32570,9.32570,-19.36870,-17.94430,0.02330,2.57940,34.89140,-0.95800,-0.95800,-0.45190,-0.87820,6.21850,0.0016,0.0133
2024-06-30,9.26600,3.63300,5.63300,3.16900,,5.26500,0.36800,-2.83700,-2.46900,-2.46900,-2.46900,-1.84300,2.66400,0.36800,29.22500,29.22500,-0.06000,-0.06000,0.09400,,0.94470,60.79210,3.97150,3.97150,-26.64580,-19.88990,0.02220,2.52200,35.68530,-1.21800,-1.21800,-0.59190,-1.21800,6.81090,0.0135,0.0106
2024-03-31,8.82700,3.42500,5.40200,3.70600,-0.15700,5.95600,-0.55400,-2.43500,-2.98900,-2.98900,-2.98900,-2.62600,1.72300,-0.55400,28.23700,28.23700,-0.09000,-0.09000,0.09350,,0.94600,61.19860,-6.27620,-6.27620,-33.86200,-29.74960,0.02100,2.76710,32.52520,-1.47170,-1.47170,-0.71160,-1.47170,7.09230,-0.04810,-0.06250
2023-12-31,7.89200,2.42200,5.47000,4.54400,-1.79600,8.46400,-2.99400,-3.55200,-6.54600,-6.54600,-6.54600,-4.58400,-0.68500,-2.99400,13.24400,13.24400,-0.31000,-0.31000,0.08630,,0.95050,69.31070,-37.93720,-37.93720,-82.94480,-58.08410,0.01860,3.47820,25.87560,-3.22530,-3.22530,-1.54670,-3.22530,7.28510,-0.0522,-0.0651
2023-09-30,8.06300,2.19200,5.87100,4.48000,-26.03200,32.64400,-26.77300,2.13100,-24.64200,-24.64200,-24.64200,-23.12500,-24.34900,-26.77300,13.09000,13.09000,-1.77000,-1.77000,0.10030,,0.93240,72.81410,-332.04760,-332.04760,-305.61830,-286.80390,0.01890,3.70880,24.26640,-11.87320,-11.87320,-5.76440,-11.87320,15.85520,0.0614,0.0211
2023-06-30,7.21400,2.27500,4.93900,2.77100,-0.08400,4.98500,-0.04600,-3.66100,-3.70700,-3.70700,-3.70700,-2.46800,2.45300,-0.04600,13.09000,13.09000,-0.19000,-0.19000,0.03800,,,68.46410,-0.63760,-0.63760,-51.38620,-34.21130,1.46920,,,103.32570,103.32570,-75.49660,103.32570,-0.46100,0.0643,-0.0024
2023-03-31,7.10300,2.27400,4.82900,3.08900,-0.03300,5.24800,-0.41900,-2.92400,-3.34300,-3.34300,-3.34300,-2.29800,2.09700,-0.41900,13.09000,13.09000,-0.18000,-0.18000,0.09370,,,67.98540,-5.89890,-5.89890,-47.06460,-32.35250,0.02530,,,145.38740,145.38910,-1.18970,145.38740,-0.29550,-0.23400,-0.14020
2022-12-31,20.75000,7.54200,13.20800,7.52500,-3.62100,13.62500,-0.41700,-12.62540,-13.04240,-13.04240,-13.04240,-7.58640,2.14500,-4.09200,13.09000,13.09000,-0.61000,-0.61000,0.05240,,1.17470,63.65300,-2.00950,-19.72030,-62.85480,-36.56080,0.04760,11.22230,8.01980,-6.97420,-6.97420,-2.99060,-6.97420,14.28630,-0.0348,-0.0564
2022-09-30,8.35100,2.29000,6.06100,2.97700,-1.97100,10.71700,-4.65600,-0.03600,-4.69200,-4.69200,-4.69200,-2.94100,-0.98100,-0.98100,13.09000,13.09000,-0.22000,-0.22000,2.07990,,,72.57810,-55.75380,-11.74710,-56.18490,-35.21730,0.03020,,,52.01780,52.01780,-1.69400,52.01780,-1.15910,0.1828,-1.2809
2022-06-30,,,,0.36340,,,-0.36340,0.12460,-0.23880,-0.23880,-0.23880,-0.23880,-0.36340,-0.36340,6.87500,6.87500,-0.01000,-0.01000,3.02920,,,,,,,,,,,2.74810,2.74810,-0.08640,2.74810,-1.11640,-0.022,-0.022
2022-03-31,,,,0.35970,,,-0.35970,0.00680,-0.35290,-0.35290,-0.35290,-0.35290,-0.35970,-0.35970,6.87500,6.87500,-0.01000,-0.01000,3.88060,,,,,,,,,,,4.19840,4.19840,-0.12760,4.19840,-1.08010,-0.01070,-0.01070
2021-12-31,,,,0.41660,,,-0.41660,0.00680,-0.40980,-0.40980,-0.40980,-0.40980,-0.41660,-0.41660,6.68300,6.68300,-0.01000,-0.01000,6.20360,,,,,,,,,,,5.08890,5.08890,-0.14800,5.08890,-1.03470,-0.0223,-0.0223
2021-09-30,,,,0.36080,,,-0.36080,0.00570,-0.35510,-0.35510,-0.35510,-0.35510,-0.36080,-0.36080,6.87500,6.87500,-0.01000,-0.01000,9.81140,,,,,,,,,,,4.64570,4.64570,-0.12810,4.64570,-0.98210,0.0104,0.0104
2021-06-30,,,,0.31040,,,-0.31040,,-0.31040,-0.31040,-0.31040,-0.31040,-0.31040,-0.31040,6.49000,6.49000,-0.02000,-0.02000,3.56760,,,,,,,,,,,-6.20880,-6.20870,-0.11160,-6.20880,0.53600,-0.2844,-0.2844
2021-03-31,,,,0.02530,,,-0.02530,,-0.02530,-0.02530,-0.02530,-0.02530,-0.02530,-0.02530,5.48800,5.48800,0.00000,0.00000,,,,,,,,,,,,,,-12.39480,,0.00000,0.00000,
