Date,revenue,gross-profit,selling-general-administrative-expenses,operating-income,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,net-income,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,long-term-debt-capital,debt-equity-ratio,pre-tax-profit-margin,net-profit-margin,asset-turnover,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2024-09-30,83.18000,83.18000,58.24900,24.93100,24.93100,1.03700,23.89400,23.89400,23.88900,107.85140,126.77980,0.22000,0.22000,0.59300,1.45730,29.97230,28.71970,0.02440,1.74720,1.74720,0.69980,0.71100,12.68020,-0.4799,-0.4799
2024-06-30,90.93300,90.93300,55.91500,35.01800,35.01800,0.23400,34.78400,34.78400,34.47100,106.89200,125.76000,0.32000,0.31000,0.58280,1.39700,38.50970,37.90810,0.02660,2.50870,2.50870,1.01600,1.04660,12.85590,-1.286,-1.286
2024-03-31,81.74600,81.74600,53.02500,28.72100,28.72100,0.63700,28.08400,28.08400,27.40800,103.66000,122.44300,0.26000,0.26000,0.56060,1.27560,35.13440,33.52830,0.02510,2.05120,2.05120,0.86260,0.90130,12.88170,0.55760,0.55760
2023-12-31,79.66100,79.66100,52.51400,27.14700,27.14700,-0.35400,27.50100,27.50100,27.24400,101.11800,123.48900,0.27000,0.25000,0.57280,1.34070,34.07820,34.19990,0.02520,2.06510,2.06510,0.87050,0.88220,12.98500,1.0136,1.0136
2023-09-30,82.14300,82.14300,53.73500,28.40800,28.40800,-0.29100,28.69900,28.69900,28.69600,100.95490,123.18330,0.28000,0.27000,0.58560,1.41330,34.58360,34.93420,0.02500,2.14700,2.14700,0.87510,0.88970,13.17720,0.7365,0.7365
2023-06-30,90.64200,90.64200,54.63200,36.01000,36.01000,0.93200,35.07800,35.07800,34.83000,100.93700,127.01700,0.35000,0.32000,0.58780,1.42630,39.72770,38.42590,0.02750,2.62170,2.62170,1.06390,1.08060,13.25540,0.9727,0.9727
2023-03-31,98.48200,98.48200,53.53900,44.94300,44.94300,0.13100,44.81200,44.81200,44.57300,100.93700,123.59100,0.44000,0.40000,0.59840,1.48980,45.63580,45.26010,0.02910,3.34790,3.34790,1.32620,1.34470,13.26070,-0.02840,-0.02840
2022-12-31,64.46300,64.46300,48.69600,15.76700,15.76700,0.94000,14.82700,14.82700,14.88100,100.20300,115.42600,0.14000,0.16000,0.59900,1.49350,24.45900,23.08460,0.01920,1.11800,1.11800,0.44190,0.44840,13.13880,0.3809,0.3809
2022-09-30,53.13400,53.13400,45.65000,7.48400,7.48400,-0.03000,7.51400,7.51400,7.70500,100.83000,114.08800,0.08000,0.08000,0.59360,1.46070,14.08520,14.50110,0.01590,0.55860,0.55860,0.22440,0.22700,13.32610,0.6171,0.6171
2022-06-30,56.54600,56.54600,41.49300,15.05300,15.05300,-0.08700,15.14000,15.14000,15.95400,100.59600,113.85400,0.16000,0.16000,0.59430,1.46460,26.62080,28.21420,0.01660,1.10900,1.10900,0.44470,0.45000,13.55480,-0.2902,-0.2902
