Date,research-development-expenses,selling-general-administrative-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,current-ratio,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2024-09-30,2.81900,1.54000,-4.35900,0.20600,-4.15300,-4.15300,-4.15300,-4.15300,-4.35900,-4.35900,17.23100,17.23100,-0.24000,-0.24000,2.74020,-37.78550,-37.78550,-23.99610,-37.78550,0.57890,-0.1312,-0.1312
2024-06-30,2.94300,1.70000,-4.64300,0.21500,-4.42800,-4.42800,-4.42800,-4.42800,-4.64300,-4.64300,16.90100,16.90100,-0.26000,-0.26000,3.17120,-35.34480,-35.34480,-24.19940,-35.34480,0.66820,-0.1733,-0.1733
2024-03-31,2.66000,1.73600,-4.39600,0.22500,-4.17100,-4.17100,-4.17100,-4.17100,-4.39600,-4.39600,16.55900,16.55900,-0.25000,-0.25000,3.46350,-29.74610,-29.74610,-21.15760,-29.74610,0.76390,-0.26320,-0.26320
2023-12-31,4.26500,2.60100,-6.86600,0.24400,-6.62200,-6.62200,-6.62200,-6.62200,-6.86600,-6.86600,15.55700,15.55700,-0.41000,-0.41000,2.74700,-54.27420,-54.27420,-34.51660,-54.27420,0.70040,-0.2739,-0.2739
2023-09-30,4.48600,1.67200,-6.15800,0.27700,-5.88100,-5.88100,-5.88100,-5.88100,-6.15800,-6.15800,16.10400,16.10400,-0.37000,-0.37000,3.99250,-35.24510,-35.24510,-26.41720,-35.24510,0.96400,-0.1679,-0.1679
2023-06-30,4.26200,1.51000,-5.77200,0.06400,-5.70800,-5.70800,-5.70800,-5.70800,-5.77200,-5.77200,15.17800,15.17800,-0.38000,-0.38000,5.41140,-28.07400,-28.07400,-22.88600,-28.07400,1.18070,-0.2593,-0.2593
2023-03-31,2.36700,1.73400,-4.10100,0.05200,-4.04900,-4.04900,-4.04900,-4.04900,-4.10100,-4.10100,14.72400,14.72400,-0.27000,-0.27000,4.12000,-32.98840,-32.98840,-24.98150,-32.98840,0.77260,-0.32440,-0.32440
2022-12-31,4.39700,2.38100,-6.77800,0.08200,-6.69600,-6.69600,-6.69600,-6.69600,-6.77800,-6.77800,12.65800,12.65800,-0.49000,-0.49000,3.29860,-47.09190,-47.09190,-32.81550,-47.09190,0.93600,-0.3564,-0.3564
2022-09-30,4.52000,1.41800,-5.93800,0.06100,-5.87700,-5.87700,-5.87700,-5.87700,-5.93800,-5.93800,14.05000,14.05000,-0.42000,-0.42000,5.53560,-28.84560,-28.84560,-23.63470,-28.84560,1.39150,-0.273,-0.273
2022-06-30,2.50500,1.06800,-3.57300,0.00400,-3.56900,-3.56900,-3.56900,-3.56900,-3.57300,-3.57300,12.71800,12.71800,-0.28000,-0.28000,5.20010,-31.03480,-31.03480,-25.06670,-31.03480,0.90420,-0.106,-0.106
2022-03-31,1.80500,1.14000,-2.94500,0.00200,-2.94300,-2.94300,-2.94300,-2.94300,-2.94500,-2.94500,9.15900,9.15900,-0.32000,-0.32000,5.75940,-20.21430,-20.21430,-16.70450,-20.21430,,-0.33580,-0.33580
2021-12-31,1.14400,1.12100,-2.26500,0.00400,-2.26100,-2.26100,-2.26100,-2.26100,-2.26500,-2.26500,4.26800,4.26800,-0.54410,-0.54410,2.41130,20.53960,20.53960,-33.96420,20.53960,-2.44350,-0.354,-0.354
2021-09-30,4.15600,0.51200,-4.66800,,-4.66800,-4.66800,-4.66800,-4.66800,-4.66800,-4.66800,4.50500,4.50500,-1.04000,-1.04000,,,,,,,-0.9077,-0.9077
2021-06-30,4.24500,1.69300,-5.93800,,-5.93800,-5.93800,-5.93800,-5.93800,-5.93800,-5.93800,4.15600,4.15600,-1.43000,-1.43000,,,,,,,-0.9651,-0.9651
2021-03-31,,0.02300,-0.02300,,-0.02300,-0.02300,-0.02300,-0.02300,-0.02300,-0.02300,3.90000,3.90000,-0.00590,-0.00590,,,,,,,0.00000,
2020-12-31,,,,,,,,,,,,,,0.00000,,,,,,,0,0
