Date,revenue,cost-goods-sold,gross-profit,research-development-expenses,selling-general-administrative-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,income-from-discontinued-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,current-ratio,long-term-debt-capital,debt-equity-ratio,gross-margin,operating-margin,ebit-margin,pre-tax-profit-margin,net-profit-margin,asset-turnover,receiveable-turnover,days-sales-in-receivables,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2024-12-31,395.40010,48.40000,347.00010,24.90000,58.30000,83.20000,263.80010,-15.70000,248.10000,56.60000,191.50000,191.50000,,191.50000,268.10010,263.80010,98.10000,98.20000,2.00000,2.00000,0.43350,-3.20690,-0.91540,87.75920,66.71730,66.71730,62.74660,48.43200,0.28110,,,-9.78090,-8.88470,13.61540,-41.14740,-20.60950,2.2942,2.1992
2024-09-30,390.60000,46.80000,343.80000,23.20000,51.30000,74.50000,269.30000,-8.40000,260.90000,59.60000,201.30000,201.30000,,201.30000,272.80000,269.30000,97.30000,97.30000,2.07000,2.07000,0.47010,-3.65380,-0.94280,88.01840,68.94520,68.94520,66.79470,51.53610,0.26720,,,-10.59140,-9.59440,13.76880,-49.28990,-19.71580,2.678,2.6182
2024-06-30,387.10000,47.10000,340.00000,23.80000,50.00000,73.80000,266.20000,-7.30000,258.90000,60.10000,198.80000,198.80000,,198.80000,271.40000,266.20000,98.90000,99.00000,2.01000,2.01000,0.63900,-71.36660,-0.98620,87.83260,68.76780,68.76780,66.88190,51.35620,0.25720,,,-10.94470,-9.87140,13.20840,-792.03260,-18.53470,1.6692,1.5755
2024-03-31,384.30000,49.10000,335.20000,24.80000,51.50000,76.30000,258.90000,-4.90000,254.00000,59.90000,194.10000,194.10000,,194.10000,261.70000,258.90000,100.80000,100.90000,1.93000,1.92000,0.81420,11.55290,-1.09480,87.22350,67.36920,67.36920,66.09420,50.50740,0.22240,,,-11.86650,-10.58800,11.23390,125.22580,-16.34070,2.55000,2.51240
2023-12-31,380.40010,48.50000,331.90010,22.90000,52.70000,75.60000,256.30000,-4.70000,251.60000,-13.10000,264.70000,264.70000,,265.40000,257.50010,256.30000,103.40000,103.50000,2.59000,2.58000,0.83160,8.55740,-1.13230,87.25030,67.37650,67.37640,66.14090,69.76870,0.21750,,,-16.74260,-14.88330,15.13440,126.52960,-15.60710,1.9425,1.8961
2023-09-30,376.30000,48.60000,327.70000,21.70000,51.70000,73.40000,254.30000,-5.70000,248.60000,60.10000,188.50000,188.50000,,188.50000,255.80000,254.30000,102.90000,103.00000,1.83000,1.83000,0.85800,11.45710,-1.09560,87.08480,67.57910,67.57910,66.06430,50.09300,0.22190,,,-11.54040,-10.29550,11.11500,120.67860,-15.95120,2.4193,2.1405
2023-06-30,372.00000,50.30000,321.70000,22.20000,50.80000,73.00000,248.70000,-6.20000,242.50000,56.80000,185.70000,185.70000,,185.00000,254.70000,248.70000,103.90000,104.00000,1.79000,1.79000,0.87360,10.45590,-1.10580,86.47850,66.85480,66.85480,65.18820,49.73120,0.22180,,,-11.47780,-10.22920,11.07200,108.53300,-15.64700,1.4208,1.3578
2023-03-31,364.40000,49.90000,314.50000,24.20000,49.00000,73.20000,241.30000,-7.50000,233.80000,55.10000,178.70000,178.70000,,178.70000,248.90000,241.30000,104.90000,105.00000,1.70000,1.70000,0.91610,9.18590,-1.12220,86.30630,66.21840,66.21840,64.16030,49.03950,0.20740,,,-11.21220,-9.97600,10.17080,91.78230,-15.28090,2.46670,2.41240
2022-12-31,369.20000,50.50000,318.70000,21.50000,51.70000,73.20000,245.50000,-13.20000,232.30000,52.80000,179.50010,179.50010,,179.50000,249.50000,245.50010,107.90000,108.00000,1.69000,1.69000,0.93000,7.92160,-1.14450,86.32180,66.49510,66.49520,62.91980,48.61860,0.21300,,,-11.49020,-10.20060,10.35540,79.53040,-14.83570,1.9606,1.8908
2022-09-30,356.90000,50.00000,306.90000,21.00000,49.10000,70.10000,236.80000,-13.90000,222.90000,53.40000,169.50000,169.50000,,169.50000,248.20000,236.80000,107.10000,107.10000,1.58000,1.58000,0.95740,7.29550,-1.15880,85.99050,66.34910,66.34910,62.45450,47.49230,0.20460,,,-10.98940,-9.74190,9.71680,69.18370,-14.50990,2.4995,2.4333
2022-06-30,351.90000,49.50000,302.40000,20.30000,46.10000,66.40000,236.00000,-17.30000,218.70000,51.40000,167.30000,167.30000,,167.30000,247.90000,236.00000,108.80000,108.80000,1.54000,1.54000,0.99530,5.38520,-1.22800,85.93350,67.06450,67.06450,62.14830,47.54190,0.19970,,,-11.49830,-10.12410,9.49220,50.42190,-13.49720,1.3577,1.2998
2022-03-31,346.90000,50.70000,296.20000,22.90000,48.50000,71.40000,224.80000,-18.50000,206.30000,48.80000,157.50000,157.50000,,157.50000,236.70000,224.80000,110.20000,110.30000,1.43000,1.43000,1.16460,3.56400,-1.39000,85.38480,64.80250,64.80250,59.46960,45.40210,0.17580,,,-12.25590,-10.62320,7.98200,31.42460,-11.70400,1.87760,1.81780
2021-12-31,340.30000,49.30000,291.00000,20.80000,48.10000,68.90000,222.10000,-18.70000,203.40000,-126.70000,330.09990,330.09990,,330.09990,234.00000,222.10000,112.00000,112.20000,2.97000,2.96000,1.18130,3.40000,-1.41670,85.51280,65.26600,65.26600,59.77080,97.00260,0.17150,,,-26.18800,-22.64060,16.63980,62.85220,-11.40720,1.8195,1.7004
2021-09-30,334.30000,47.80000,286.50000,19.60000,45.60000,65.20000,221.30000,-18.70000,202.60000,46.00000,156.60000,156.60000,,156.60000,233.30000,221.30000,111.70000,111.80000,1.40000,1.40000,1.20630,4.85660,-1.25930,85.70150,66.19800,66.19800,60.60430,46.84420,0.18420,,,-11.04700,-9.69600,8.62950,42.60370,-12.73850,2.3455,2.2082
2021-06-30,329.40000,47.80000,281.60000,19.80000,48.80000,68.60000,213.00000,-25.10000,187.90000,40.20000,147.70000,147.70000,,147.70000,225.00000,213.00000,112.40000,112.50000,1.31000,1.31000,1.19110,4.86460,-1.25880,85.48880,64.66300,64.66300,57.04310,44.83910,0.18920,,,-10.41770,-9.14370,8.48180,40.25960,-12.65870,1.2791,1.1222
2021-03-31,323.60000,47.00000,276.60000,20.30000,45.90000,66.20000,210.40000,-22.10000,188.30000,37.90000,150.40000,150.40000,,150.40000,222.00000,210.40000,113.10000,113.30000,1.33000,1.33000,1.22310,4.62770,-1.27570,85.47590,65.01850,65.01850,58.18910,46.47710,0.18150,,,-10.71410,-9.39240,8.43570,38.86790,-12.44840,1.75020,1.69110
