Date,revenue,gross-profit,selling-general-administrative-expenses,other-operating-income-expenses,operating-income,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,current-ratio,long-term-debt-capital,debt-equity-ratio,gross-margin,operating-margin,ebit-margin,pre-tax-profit-margin,net-profit-margin,asset-turnover,receiveable-turnover,days-sales-in-receivables,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2024-09-30,29.67080,29.67080,2.89710,-0.30320,6.28420,6.28420,0.00350,6.28070,6.28070,5.09570,26.18880,26.47060,52.28370,52.28370,0.10000,0.10000,6.28610,0.80480,4.12310,100.00000,21.17980,89.21420,21.17980,17.17410,0.02360,,,3.37870,2.58310,0.50010,0.50420,4.64970,0.119,0.119
2024-06-30,30.63880,30.63880,3.53380,-1.39170,4.59740,4.59740,0.00100,4.59640,4.59640,3.41340,25.93230,25.71330,52.26620,52.26620,0.07000,0.07000,5.77820,0.81160,4.30740,100.00000,15.00520,83.92390,15.00520,11.14090,0.02360,,,2.48530,1.89780,0.35440,0.35760,4.63310,0.1054,0.1054
2024-03-31,35.44150,35.44150,4.26770,-1.73370,6.99110,6.99110,0.01090,6.98020,6.98020,5.79520,29.66040,29.44000,52.24900,52.24900,0.11000,0.11000,5.34970,0.82220,4.62330,100.00000,19.72570,83.06650,19.72570,16.35140,0.02570,,,3.75920,2.87330,0.50650,0.51100,4.64890,0.17340,0.17340
2023-12-31,32.48480,32.48480,2.71110,-1.37240,5.00980,5.00980,-0.00360,5.01340,5.01340,3.82890,28.70650,28.40130,52.23100,52.23100,0.07000,0.07000,4.05360,0.83210,4.95630,100.00000,15.42200,87.42950,15.42200,11.78670,0.02250,,,2.73150,2.08200,0.34650,0.34960,4.60860,0.1766,0.1766
2023-09-30,31.85680,31.85680,2.44570,-0.71910,6.37950,6.37950,0.01980,6.35970,6.35970,5.17470,29.17890,28.69200,52.23120,52.23120,0.10000,0.10000,4.83680,0.83210,4.95640,100.00000,20.02560,90.06540,20.02570,16.24360,0.02210,,,3.46880,2.64330,0.44060,0.44380,4.60640,0.1039,0.1039
2023-06-30,22.64610,22.64610,4.42500,-0.50950,2.57450,2.57450,-0.00020,2.57470,2.57470,1.38920,18.39390,17.71150,52.23120,52.23120,0.03000,0.03000,10.76550,0.78590,3.67080,100.00000,11.36820,78.21020,11.36820,6.13430,0.02010,,,1.41590,1.07690,0.22870,0.23060,4.57760,0.0813,0.0813
2023-03-31,22.20630,22.20630,2.67200,0.18210,5.75640,5.75640,-0.01020,5.76670,5.76670,4.58170,20.39240,19.71640,52.23100,52.23100,0.09000,0.09000,11.67480,0.78450,3.64120,100.00000,25.92250,88.78730,25.92260,20.63260,0.01970,,,3.14100,2.39430,0.51190,0.51590,4.61120,0.11180,0.11180
2022-12-31,19.28390,19.28390,2.54580,-2.24580,2.09650,2.09650,0.03170,2.06470,2.06470,0.87980,15.18330,14.49230,48.34200,48.34200,0.01000,0.01000,5.45540,0.78290,3.60610,100.00000,10.87160,75.15230,10.87160,4.56220,0.01710,,,1.11160,0.84970,0.18300,0.18450,4.65240,0.1123,0.1123
2022-09-30,14.74850,14.74850,2.65960,-1.42130,1.40230,1.40230,-0.09800,1.50030,1.50030,0.31520,11.35860,10.66770,52.23120,52.23120,0.01000,0.01000,9.81050,0.78120,3.56990,100.00000,9.50810,72.33060,9.50810,2.13740,0.01310,,,0.79800,0.61170,0.13290,0.13390,4.69580,0.0659,0.0659
2022-06-30,12.63870,12.63870,2.83240,-0.21460,3.36950,3.36950,0.02570,3.34390,3.34390,2.15880,10.25050,9.59160,52.22610,52.22610,0.04000,0.04000,11.25090,0.77910,3.52640,100.00000,26.66040,75.89100,26.66040,17.08100,0.01120,0.37380,240.75550,1.75220,1.34780,0.29580,0.29780,4.75000,0.0339,0.0339
