Date,revenue,cost-goods-sold,gross-profit,other-operating-income-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,long-term-debt-capital,debt-equity-ratio,operating-margin,ebit-margin,pre-tax-profit-margin,net-profit-margin,asset-turnover,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2024-09-30,3400.37900,1825.96000,1574.41900,-1068.25000,1068.25000,506.16890,-31.72000,474.44900,109.13500,365.31400,365.31400,365.63400,494.23790,506.16890,398.33800,401.81700,0.92000,0.91000,0.25160,0.33620,14.88570,14.88570,13.95280,10.75270,0.08430,4.32870,4.42520,0.90520,3.23950,22.13960,3.1071,3.0176
2024-06-30,3314.03200,1780.59600,1533.43600,-1014.05500,1014.05500,519.38110,-31.70800,487.67300,115.78800,371.88500,371.88500,371.90900,455.10310,519.38110,400.27300,403.73700,0.93000,0.92000,0.26710,0.36440,15.67220,15.67220,14.71540,11.22230,0.08520,4.77570,4.89130,0.95580,3.50010,20.45740,2.1922,2.0968
2024-03-31,3256.77300,1663.77800,1592.99500,-987.19600,987.19600,605.79910,-31.72800,574.07100,132.03600,442.03500,442.03500,442.47100,525.01510,605.79910,402.31650,405.75750,1.10000,1.09330,0.26680,0.36380,18.60120,18.60120,17.62700,13.58620,0.08600,5.66820,5.79800,1.16780,4.15610,20.26520,1.83910,1.62960
2023-12-31,3221.38300,1627.54000,1593.84300,-1060.76400,1060.76400,533.07840,-31.87900,501.19900,102.23600,398.96300,398.96300,397.33900,508.92340,533.07840,406.50000,409.50000,0.97670,0.97000,0.27530,0.37980,16.54810,16.54810,15.55850,12.33440,0.08680,5.34140,5.46930,1.07500,3.87110,19.40980,1.6734,1.6794
2023-09-30,3030.63800,1636.19300,1394.44500,-942.60800,942.60800,451.83690,-31.88800,419.94900,86.51900,333.43000,333.43000,333.58600,448.23090,451.83690,403.78700,407.15800,0.83000,0.82000,0.29050,0.40940,14.90900,14.90900,13.85680,11.00710,0.08390,4.81150,4.93580,0.92330,3.41390,17.90370,2.6625,2.6018
2023-06-30,2995.91400,1569.65400,1426.26000,-937.22000,937.22000,489.04000,-31.85600,457.18400,101.46000,355.72400,355.72400,356.30800,486.20300,489.04000,406.29600,409.64300,0.88000,0.87000,0.29100,0.41050,16.32360,16.32360,15.26030,11.89310,0.08480,5.14920,5.28270,1.00750,3.65060,17.88450,1.7468,1.6766
2023-03-31,2895.00400,1538.75500,1356.24900,-948.34200,948.34200,407.90700,-31.83600,376.07100,80.34200,295.72900,295.72900,294.12600,417.64400,407.90700,412.46550,416.00850,0.71330,0.70670,0.28940,0.40720,14.09000,14.09000,12.99040,10.15980,0.08440,4.24560,4.36170,0.86230,3.01700,17.68800,1.07050,1.06070
2022-12-31,3013.80400,1522.10300,1491.70100,-981.37810,981.37800,510.32250,-31.90100,478.42100,96.43800,381.98320,381.98320,382.22300,520.15750,510.32180,415.50000,418.50000,0.92000,0.90670,0.29540,0.41920,16.93280,16.93280,15.87430,12.68240,0.08900,5.64380,5.80290,1.12810,3.97680,17.05600,1.91,1.803
2022-09-30,2724.40000,1564.57800,1159.82200,-841.77700,841.77700,318.04490,-31.78000,286.26500,55.79100,230.47400,230.47400,228.87900,326.84390,318.04490,415.78800,419.46300,0.55330,0.54670,0.30850,0.44620,11.67390,11.67390,10.50750,8.40110,0.08240,3.61810,3.71710,0.69680,2.50180,15.97670,1.8291,1.7673
2022-06-30,2512.88700,1435.81700,1077.07000,-822.78500,822.78500,254.28490,-31.72300,222.56200,43.09500,179.46700,179.46700,179.32200,266.89190,254.28490,415.22250,419.28750,0.43330,0.42670,0.30290,0.43450,10.11920,10.11920,8.85680,7.13610,0.07690,2.74550,2.81860,0.54900,1.91390,16.42800,1.2577,1.1455
2022-03-31,2915.40900,1339.25200,1576.15700,-808.75400,808.75400,767.40310,-34.97000,732.43300,139.40300,593.03000,593.03000,590.63800,792.03410,767.40310,415.15800,418.73550,1.42000,1.41330,0.29210,0.41260,26.32230,26.32230,25.12280,20.25920,0.09040,8.60990,8.82730,1.83880,6.09500,17.31560,1.14080,1.18620
2021-12-31,2578.22800,1330.32900,1247.89900,-855.94980,855.95000,391.94900,-37.33300,354.61600,60.31300,294.30300,294.30300,294.43000,420.30100,391.94910,415.50000,420.00000,0.71330,0.70670,0.32890,0.49000,15.20230,15.20230,13.75430,11.41990,0.08040,4.41380,4.52910,0.91720,2.96230,16.76340,1.572,1.5026
2021-09-30,2424.28300,1298.39200,1125.89100,-758.51000,758.51000,367.38110,-35.10000,332.28100,64.96300,267.31800,267.31800,261.29700,398.11410,367.38110,416.32050,420.16950,0.62670,0.62000,0.32890,0.49010,15.15420,15.15420,13.70640,10.77830,0.07690,4.01150,4.11630,0.84740,2.69210,16.76670,1.9752,1.9179
2021-06-30,2296.08600,1203.64700,1092.43900,-754.40300,754.40300,338.03590,-38.09600,299.94000,62.26200,237.67800,237.67800,237.23800,375.08990,338.03590,416.59950,420.98850,0.56670,0.56670,0.30700,0.44310,14.72230,14.72230,13.06310,10.33230,0.07580,3.60780,3.70310,0.78450,2.50000,16.50370,0.913,1.281
2021-03-31,2156.86900,1121.59200,1035.27700,-702.55800,702.55800,332.71890,-36.65100,296.06800,64.35200,231.71600,231.71600,229.52500,366.26190,332.71890,416.68950,420.36750,0.55330,0.54670,0.33990,0.51480,15.42600,15.42600,13.72680,10.64160,0.07240,3.60350,3.70120,0.77780,2.37880,16.11240,0.73980,0.73720
2020-12-31,2312.47000,1111.69500,1200.77500,-765.70600,765.70600,435.06910,-35.66200,399.40700,86.91800,312.48900,312.48900,312.15000,473.93910,435.06880,420.57900,424.71750,0.73560,0.72670,0.30110,0.43080,18.81400,18.81400,17.27190,13.49860,0.08080,4.93990,5.07610,1.09240,3.45250,15.81030,1.1146,1.6199
2020-09-30,2039.81900,1114.63200,925.18700,-679.00500,679.00500,246.18200,-39.76800,206.41400,54.04800,152.36600,152.36600,151.67800,278.31200,246.18200,417.97130,422.36330,0.36440,0.36000,0.33720,0.50880,12.06880,12.06880,10.11920,7.43590,0.07230,2.52280,2.59570,0.54010,1.67210,15.06190,1.3201,1.272
2020-06-30,1936.02600,1135.12600,800.90000,-657.07800,657.07800,143.82200,-38.37300,105.44900,33.79300,71.65600,71.65600,71.26000,182.82400,143.82200,418.45280,422.68950,0.16890,0.16890,0.33350,0.50030,7.42870,7.42870,5.44670,3.68070,0.07090,1.22590,1.26250,0.26230,0.81710,14.60090,1.0154,0.9805
2020-03-31,1810.61000,1107.25300,703.35690,-673.09100,673.09100,30.26600,-36.73400,-6.46800,-2.94200,-3.52600,-3.52600,-4.41800,55.32900,30.26600,428.14580,428.14580,-0.00890,-0.00890,0.32210,0.47510,1.67160,1.67160,-0.35720,-0.24400,0.06940,-0.06370,-0.06570,-0.01350,-0.04320,13.68530,0.35640,0.26550
2019-12-31,1976.07400,1072.16500,903.90860,-723.65090,723.65100,180.25760,-33.49500,146.76300,26.97000,119.79300,119.79300,119.30500,251.63760,180.25770,429.75000,436.50000,0.27560,0.27110,0.30030,0.42920,9.12200,9.12200,7.42700,6.03750,0.07410,1.95790,2.01380,0.44930,1.36990,14.82600,0.7951,0.7299
2019-09-30,1965.71600,1041.47100,924.24500,-682.78800,682.78800,241.45690,-38.47500,202.98200,37.83100,165.15100,165.15100,165.20800,232.17490,241.45690,429.43950,435.57530,0.38670,0.37780,0.27750,0.38410,12.28340,12.28340,10.32610,8.40450,0.07500,2.70760,2.78510,0.62990,1.95630,14.75910,0.8984,0.7849
2019-06-30,2023.38400,1028.83000,994.55410,-680.10000,680.10000,314.45410,-40.71800,273.73600,56.30900,217.42700,217.42700,216.70900,338.31910,314.45410,428.65200,434.38280,0.50670,0.49780,0.31600,0.46210,15.54100,15.54100,13.52860,10.71020,0.07640,3.61170,3.71860,0.82090,2.47030,14.60730,0.7462,0.5799
2019-03-31,1937.02200,988.65000,948.37190,-678.21200,678.21200,270.15990,-40.72100,229.43900,47.82500,181.61400,181.61400,180.72200,297.58390,270.15990,428.40000,433.50520,0.42220,0.41780,0.32410,0.47950,13.94720,13.94720,11.84490,9.32990,0.07570,3.12980,3.22600,0.70980,2.11540,14.09120,0.18070,0.05100
2018-12-31,1951.58600,1020.12700,931.45910,-728.24370,728.24400,203.21520,-40.57600,162.63900,26.36700,136.27200,136.27200,132.35800,257.78220,203.21510,427.50000,432.00000,0.30670,0.30670,0.33730,0.50910,10.41280,10.41280,8.33370,6.78210,0.07840,2.48680,2.56790,0.54740,1.64790,13.30900,0.6462,0.4702
2018-09-30,1937.90200,1017.72000,920.18200,-671.11100,671.11100,249.07090,-39.84800,209.22300,44.78000,164.44300,164.44300,161.92000,269.23990,249.07090,428.04220,433.89450,0.37780,0.37330,0.32990,0.49240,12.85260,12.85260,10.79640,8.35540,0.07800,3.00130,3.09810,0.66160,2.01110,13.29380,0.5138,0.4205
2018-06-30,1910.91600,973.63600,937.28000,-668.33300,668.33300,268.94700,-39.70500,229.24200,48.46400,180.77800,180.77800,180.07500,296.29200,268.94700,426.99600,433.14530,0.42220,0.41330,0.33060,0.49380,14.07430,14.07430,11.99650,9.42350,0.07760,3.30750,3.41950,0.73420,2.21410,13.30510,0.3219,0.097
2018-03-31,1891.24700,963.21900,928.02800,-679.98210,679.98200,248.04580,-37.05600,210.99000,43.41700,167.57300,167.57300,166.39600,277.07280,248.04580,426.51680,432.42300,0.39110,0.38670,0.32790,0.48790,13.11550,13.11550,11.15610,8.79820,0.07690,3.05110,3.15390,0.68150,2.05060,13.38870,-0.04630,-0.85740
2017-12-31,1934.95500,976.87280,958.08230,-719.80520,719.80520,238.27710,-36.87800,201.39900,45.12700,156.27200,156.27200,154.58900,273.09610,238.27700,420.75000,436.50000,0.36300,0.35260,0.31420,0.45810,12.31440,12.31430,10.40850,7.98930,0.07960,2.86680,2.96410,0.64310,1.96610,13.29190,0.4294,0.1596
2017-09-30,2031.34200,1081.17400,950.16810,-687.23400,687.23400,262.93410,-36.82100,226.11300,63.29500,162.81800,162.81800,162.05400,296.39210,262.93410,424.63570,435.18600,0.38220,0.37330,0.31260,0.45480,12.94390,12.94390,11.13120,7.97770,0.08350,2.97620,3.07360,0.66900,2.04580,13.31150,0.6811,0.6048
2017-06-30,1848.04900,964.69800,883.35100,-685.59100,685.59100,197.75990,-36.79900,160.96100,51.38800,109.57300,109.57300,109.00400,224.30590,197.75990,423.00230,434.02840,0.25780,0.25190,0.31830,0.46700,10.70100,10.70100,8.70980,5.89830,0.07700,2.05730,2.11490,0.45670,1.40240,13.01270,0.344,0.0253
2017-03-31,1870.41800,979.60300,890.81490,-669.71900,669.71900,221.09590,-36.79900,184.29700,59.62300,124.67400,124.67400,123.44700,239.22890,221.09590,411.38890,433.52890,0.29930,0.28440,0.32280,0.47660,11.82070,11.82070,9.85330,6.60000,0.07940,2.38910,2.45710,0.52950,1.61790,12.75580,0.17410,0.03300
2016-12-31,1971.33200,993.46110,977.87080,-709.16090,709.15990,268.71060,-36.87700,231.83300,78.16500,153.66800,153.66800,152.78800,285.60860,268.71040,413.94710,433.86640,0.37040,0.34960,0.32870,0.48970,13.63090,13.63090,11.76020,7.75050,0.08440,3.02430,3.11280,0.65770,2.03010,12.42240,0.2809,0.0407
2016-09-30,2019.72700,965.85600,1053.87100,-685.21300,685.21300,368.65800,-37.04300,331.61500,110.95200,220.66300,220.66300,220.65000,390.93800,368.65800,413.64670,433.87650,0.53330,0.50960,0.33410,0.50180,18.25290,18.25290,16.41880,10.92470,0.08650,4.44720,4.57080,0.94520,2.96120,12.08190,0.9087,0.6549
2016-06-30,1855.91400,964.16200,891.75200,-698.68600,698.68600,193.06600,-34.75200,158.31400,49.40800,108.90600,108.90600,108.96700,209.69400,193.06600,413.82900,433.94060,0.26370,0.25190,0.33920,0.51340,10.40280,10.40280,8.53020,5.87130,0.08060,2.20500,2.27610,0.47300,1.45700,11.93250,0.4413,0.2814
2016-03-31,1807.21100,922.32100,884.89010,-677.99000,677.99000,206.90000,-32.22400,174.67600,54.42800,120.24800,120.24800,119.51100,237.14500,206.90000,414.38250,433.78540,0.28740,0.27560,0.32080,0.47230,11.44860,11.44860,9.66550,6.61300,0.08130,2.51140,2.59470,0.54090,1.70580,11.57170,0.32450,0.17180
2015-12-31,1811.05600,922.97200,888.08390,-700.14190,700.14200,187.94190,-31.73600,156.20600,46.32800,109.87800,109.87800,109.74500,207.69690,187.94210,418.63500,439.38780,0.26370,0.25190,0.32050,0.47160,10.37750,10.37750,8.62510,6.05970,0.08330,2.37150,2.45270,0.50560,1.61160,11.13310,0.5804,0.3682
2015-09-30,1860.95700,926.35500,934.60210,-674.04100,674.04100,260.56100,-31.64100,228.92000,76.18400,152.73600,152.73600,152.60700,283.67800,260.56100,415.67510,435.19610,0.36740,0.34960,0.32070,0.47200,14.00150,14.00150,12.30120,8.20050,0.08560,3.30840,3.42200,0.70260,2.24750,11.09690,0.6666,0.4743
2015-06-30,1789.76500,906.23500,883.53000,-672.31200,672.31200,211.21800,-33.03100,178.18700,55.13800,123.04900,123.04900,123.03500,234.28200,211.21800,417.76090,438.70950,0.29330,0.28150,0.32500,0.48150,11.80140,11.80140,9.95590,6.87440,0.08250,2.71250,2.80570,0.56730,1.83100,10.97380,0.6223,0.4913
2015-03-31,1744.67900,900.70800,843.97090,-640.71600,640.71600,203.25490,-34.53800,168.71700,50.27300,118.44400,118.44400,118.30700,222.45790,203.25490,425.14540,447.13350,0.27850,0.26370,0.34710,0.53170,11.65000,11.65000,9.67040,6.78100,0.07990,2.56760,2.65420,0.54220,1.67630,10.94050,0.13650,0.02050
2014-12-31,1784.42800,913.57080,870.85740,-673.54910,673.54920,197.30830,-34.60400,162.70400,51.75300,110.95100,110.95100,110.71100,222.72930,197.30850,431.57470,451.07550,0.25780,0.24890,0.34680,0.53100,11.05720,11.05720,9.11800,6.20430,0.08220,2.39940,2.48040,0.51090,1.56720,10.80970,0.3486,0.4115
2014-09-30,1840.60500,887.12300,953.48200,-642.10000,642.10000,311.38210,-32.92900,278.45300,89.66200,188.79100,188.79100,188.53900,323.96510,311.38210,429.18190,448.87840,0.43850,0.42070,0.34170,0.51900,16.91740,16.91740,15.12830,10.24330,0.08330,3.98000,4.06870,0.85440,2.62010,11.07480,0.7145,0.2763
2014-06-30,1796.98900,867.77800,929.21100,-635.44600,635.44600,293.76500,-30.31100,263.45400,83.27700,180.17700,180.17700,179.96100,319.36100,293.76500,430.87950,449.90100,0.41780,0.40000,0.30440,0.43760,16.34760,16.34760,14.66090,10.01460,0.08490,3.87100,3.95910,0.85120,2.69260,10.80710,0.2528,0.924
2014-03-31,1706.90600,822.09500,884.81100,-606.89600,606.89600,277.91500,-30.33000,247.58500,77.90100,169.68400,169.68400,169.67300,303.15100,277.91500,438.32140,457.07290,0.38810,0.37040,0.31540,0.46080,16.28180,16.28180,14.50490,9.94040,0.08240,3.84700,3.94560,0.81960,2.63340,10.24390,0.31320,0.21370
2013-12-31,1696.67900,848.59910,848.08010,-635.84410,635.84390,212.23630,-30.51000,181.72600,46.33800,135.38800,135.38800,130.37900,235.27730,212.23630,456.65440,475.00760,0.28740,0.27560,0.31750,0.46510,12.50890,12.50890,10.71070,7.68440,0.08260,3.09860,3.17870,0.65880,2.11490,9.79060,0.4067,0.2513
2013-09-30,1634.12400,798.27600,835.84800,-607.26600,607.26600,228.58200,-30.34900,198.23300,60.04500,138.18800,138.18800,136.97400,258.01400,228.58200,456.52950,475.05820,0.29930,0.28740,0.31660,0.46330,13.98810,13.98810,12.13080,8.38210,0.07960,3.14400,3.22710,0.67330,2.14860,9.63690,0.6608,0.5764
