Date,revenue,cost-goods-sold,gross-profit,selling-general-administrative-expenses,operating-expenses,operating-income,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,net-income,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,debt-equity-ratio,pre-tax-profit-margin,net-profit-margin,asset-turnover,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2024-09-30,6.91900,3.01400,3.90500,4.36200,4.36200,-0.45700,-0.45700,-0.29800,-0.15900,-0.15900,-0.15900,5.43390,5.43390,-0.03000,-0.03000,1.16930,-11.93210,-4.15140,0.00680,-0.21730,-0.22230,-0.02820,-0.21730,12.26720,0.2821,0.2782
2024-06-30,7.01900,3.04400,3.97500,4.65000,4.65000,-0.67500,-0.67500,-0.15900,-0.51600,-0.51600,-0.51600,5.44750,5.44750,-0.09000,-0.09000,1.14870,-17.30770,-13.23080,0.00690,-0.72610,-0.74350,-0.09190,-0.72610,11.90500,-0.1464,-0.1664
2024-03-31,6.93700,2.97000,3.96700,4.37300,4.37300,-0.40600,-0.40600,-0.10000,-0.30600,-0.30600,-0.30600,5.46770,5.46770,-0.06000,-0.06000,1.17370,-10.43170,-7.86230,0.00690,-0.42790,-0.43830,-0.05420,-0.42790,11.89450,-0.07280,-0.07680
2023-12-31,4.07700,2.69700,1.38000,4.27500,4.27500,-2.89500,-2.89500,-0.61300,-2.28200,-2.28200,-2.28200,5.53400,5.53400,-0.41000,-0.41000,0.99280,-221.83930,-174.86610,0.00230,-3.13630,-3.21220,-0.40920,-3.13630,11.95740,-0.0696,-0.0806
2023-09-30,3.98800,2.41900,1.56900,3.78500,3.78500,-2.21600,-2.21600,1.42500,-3.64100,-3.64100,-3.64100,5.53470,5.53470,-0.66000,-0.66000,1.26520,-148.32660,-243.70820,0.00270,-5.18960,-5.32250,-0.65650,-5.18960,11.45450,0.0923,0.1023
2023-06-30,5.93700,1.95100,3.98600,4.76700,4.76700,-0.78100,-0.78100,-0.27300,-0.50800,-0.50800,-0.50800,5.54530,5.54530,-0.09000,-0.09000,1.34400,-19.96930,-12.98900,0.00710,-0.68530,-0.70220,-0.09180,-0.68530,12.03740,0.0456,0.0406
2023-03-31,5.48200,1.47700,4.00500,4.51700,4.51700,-0.51200,-0.51200,-0.15100,-0.36100,-0.36100,-0.36100,5.53550,5.53550,-0.07000,-0.07000,1.26370,-13.02800,-9.18580,0.00710,-0.47540,-0.48710,-0.06540,-0.47540,12.26410,-0.19640,-0.21080
2022-12-31,5.31900,0.88200,4.43700,4.41200,4.41200,0.02500,0.02500,0.00100,0.02400,0.02400,0.02400,5.77510,5.77510,0.00000,0.00000,0.96190,0.56500,0.54240,0.00810,0.03180,0.03270,0.00440,0.03180,12.14340,0.1544,0.1491
2022-09-30,4.79400,0.39800,4.39600,4.25100,4.25100,0.14500,0.14500,0.02100,0.12400,0.12400,0.12400,5.81020,5.98320,0.02000,0.02000,0.88500,3.29850,2.82070,0.00830,0.16340,0.16750,0.02340,0.16340,12.19520,0.1886,0.184
2022-06-30,3.78500,0.37000,3.41500,3.78900,3.78900,-0.37400,-0.37400,-0.13300,-0.24100,-0.24100,-0.24100,5.84310,5.84310,-0.04000,-0.04000,0.80500,-11.29910,-7.28100,0.00620,-0.29770,-0.30500,-0.04500,-0.29770,12.70450,0.1758,0.1701
2022-03-31,4.27700,0.34100,3.93600,4.05100,4.05100,-0.11500,-0.11500,-0.06000,-0.05500,-0.05500,-0.05500,5.87400,5.87400,-0.01000,-0.01000,0.74160,-3.00180,-1.43570,0.00700,-0.06460,-0.06610,-0.01010,-0.06460,13.37340,-0.07120,-0.08800
