Date,other-operating-income-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,current-ratio,long-term-debt-capital,debt-equity-ratio,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2024-06-30,,,,,,,,,,,,,,0.00000,,,,,,,,,,
2022-12-31,,-1.34940,-1.73460,-3.07570,,-2.96040,-2.96040,-2.96040,-1.34940,-1.34940,0.00970,0.00970,-306.34550,-306.34550,1.02960,0.65660,2.51620,-137.30940,103.11370,-26.22600,-47.15500,,-537.6625,-653.7403
2022-09-30,-2.32780,-2.32780,0.55870,-1.76920,0.10170,-1.87090,-1.87090,-1.87090,-2.32780,-2.32780,0.00190,0.00190,-198.29800,-198.29800,0.20410,,,28.28850,28.28850,-1.46580,28.28850,-3100.41200,-0.1331,-0.1331
2022-06-30,-1.26630,-1.26630,0.16530,-1.10090,0.01360,-1.11450,-1.11450,-1.11450,-1.26630,-1.26630,0.00190,0.00190,-115.67380,-115.67380,0.91310,,,25.86470,25.86470,-0.87360,25.86470,-2020.01400,-0.125,-0.125
2022-03-31,-0.24650,-0.24650,0.01660,-0.23820,,-0.23820,-0.23820,-0.23820,-0.24650,-0.24650,0.00190,0.00190,-16.52480,-16.52480,3.51280,,,7.45640,7.45630,-0.18620,7.45640,-1495.42400,-0.03390,-0.03390
2021-12-31,,,,,,,,,,,,,,0.00000,,,,,,,,,0.0001,0.0001
2021-09-30,-0.00280,-0.00280,,-0.00280,,-0.00280,-0.00280,-0.00280,-0.00280,-0.00280,0.00170,0.00170,0.00000,0.00000,1.05090,,,-13.38630,-13.38630,-0.64800,-13.38630,0.00680,-0.0001,-0.0001
2021-06-30,,,,,,,,,,,0.00170,0.00170,0.00000,0.00000,,,,,,,,,0,0
