Date,revenue,cost-goods-sold,gross-profit,selling-general-administrative-expenses,other-operating-income-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,long-term-debt-capital,debt-equity-ratio,operating-margin,ebit-margin,pre-tax-profit-margin,net-profit-margin,asset-turnover,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2024-09-30,76.52600,7.29500,69.23100,9.33000,,27.27400,41.95700,-1.74200,40.21500,40.21500,40.21500,39.65100,60.06100,41.95700,28.25500,28.58000,1.38000,1.37000,0.13260,0.15280,54.82710,54.82710,52.55080,51.81380,0.03190,2.09140,2.07410,1.67890,1.79210,68.70450,2.2684,2.2683
2024-06-30,79.79300,6.86300,72.93000,9.66100,-3.44900,30.58300,42.34700,-0.35400,41.99300,41.99300,41.99300,41.65500,60.15200,42.34700,28.25100,28.57200,1.45000,1.44000,0.13240,0.15260,53.07110,53.07110,52.62740,52.20380,0.03350,2.17220,2.16530,1.76130,1.87110,68.72790,2.2375,2.556
2024-03-31,75.45400,6.70900,68.74500,9.56200,,26.71200,42.03300,-2.60500,39.42800,39.42800,39.42800,39.09000,59.40100,42.03300,28.14500,28.46200,1.37000,1.36000,0.13180,0.15180,55.70680,55.70680,52.25440,51.80640,0.03140,2.03090,2.02470,1.64320,1.75060,69.02560,2.51440,2.51440
2023-12-31,79.15600,7.19300,71.96300,10.90800,,28.00600,43.95700,-2.32400,41.63300,41.63300,41.63300,41.29500,61.10100,43.95700,27.97800,28.25600,1.46000,1.45000,0.13350,0.15410,55.53210,55.53210,52.59620,52.16910,0.03310,2.14720,2.14080,1.74120,1.84720,69.39950,2.341,2.341
2023-09-30,77.82600,6.31800,71.50800,10.98100,,27.65900,43.84900,-2.25500,41.59400,41.59400,41.59400,41.25600,60.59800,43.84900,27.98300,28.26600,1.46000,1.45000,0.13360,0.15420,56.34240,56.34240,53.44490,53.01060,0.03260,2.14990,2.14380,1.74080,1.84930,69.49600,2.2303,2.2303
2023-06-30,76.45700,5.75900,70.69800,10.57000,,27.27400,43.42400,-2.15500,41.26900,41.26900,41.26900,40.93100,59.52200,43.42400,27.98200,28.25700,1.45000,1.44000,0.13320,0.15370,56.79530,56.79530,53.97680,53.53470,0.03190,2.12810,2.12230,1.72220,1.83140,69.65830,2.1831,2.1831
2023-03-31,76.06700,5.62300,70.44400,10.37300,,27.08700,43.35700,-2.26500,41.09200,41.09200,41.09200,40.75400,58.73300,43.35700,27.95000,28.22400,1.45000,1.43000,0.13280,0.15310,56.99840,56.99840,54.02080,53.57650,0.03150,2.11360,2.10810,1.70280,1.81980,69.84650,2.28940,2.28940
2022-12-31,70.46100,3.28800,67.17300,10.23200,,22.93300,44.24000,-2.73400,41.50600,41.50600,41.50600,41.16800,59.69600,44.24000,27.34500,27.66300,1.47000,1.46000,0.13320,0.15370,62.78650,62.78650,58.90630,58.42660,0.02920,2.13080,2.12550,1.71880,1.83380,70.13520,2.1147,2.9642
2022-09-30,70.88300,2.82300,68.06000,10.80400,,26.70400,41.35600,-3.74000,37.61600,37.61600,37.61600,37.27800,57.02900,41.35600,27.93900,28.15800,1.33000,1.32000,0.13280,0.15310,58.34400,58.34400,53.06770,52.59090,0.02920,1.92620,1.92150,1.54750,1.65850,70.31230,1.9983,1.9983
2022-06-30,70.51100,2.42700,68.08400,8.70700,,23.94000,44.14400,-3.93000,40.21400,40.21400,40.21400,39.87600,59.23400,44.14400,27.85100,28.03700,1.42000,1.42000,0.13210,0.15230,62.60580,62.60580,57.03220,56.55290,0.02910,2.04990,2.04520,1.65780,1.76640,70.63140,2.0772,2.0772
