Date,research-development-expenses,selling-general-administrative-expenses,other-operating-income-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,current-ratio,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2024-09-30,0.89750,1.23470,,-2.13230,0.00020,-2.13210,-2.13210,-2.13210,-2.13210,-2.13230,-2.13230,6.90400,6.90400,-0.31000,-0.31000,10.16480,-28.44870,-28.44870,-25.66450,-28.44870,1.08550,-0.2348,-0.2348
2024-06-30,0.56630,1.07950,,-1.64580,0.01340,-1.63250,-1.63250,-1.63250,-1.63250,-1.64580,-1.64580,6.87600,6.87600,-0.24000,-0.24000,14.62150,-17.47720,-17.47720,-16.27190,-17.47720,1.74300,-0.0903,-0.0903
2024-03-31,0.46590,1.58830,,-2.05420,0.01340,-2.04080,-2.04080,-2.04080,-2.04080,-2.05420,-2.05420,4.39900,4.39900,-0.46000,-0.46000,13.13820,-26.05500,-26.05500,-24.03370,-26.05500,1.77850,-0.39190,-0.39190
2023-12-31,0.91460,0.78320,,-1.69780,-0.00450,-1.70230,-1.70230,-1.70230,-1.70230,-1.69780,-1.69780,3.40900,3.40900,-0.25000,-0.25000,13.89170,-19.31040,-19.31040,-17.88050,-19.31040,2.02740,-0.9349,-0.9349
2023-09-30,0.97440,1.11860,,-2.09300,0.00640,-2.08660,-2.08660,-2.08660,-2.08660,-2.09300,-2.09300,3.48400,3.48400,-0.60000,-0.60000,7.63400,-19.85850,-19.85850,-17.26430,-19.85850,2.41770,-0.4106,-0.4106
2023-06-30,0.65220,1.05640,,-1.70860,-0.16440,-1.87300,-1.87300,-1.87300,-1.87300,-1.70860,-1.70860,3.30200,3.30200,-0.57000,-0.57000,6.92520,-18.82220,-18.82220,-15.71700,-18.82220,3.01370,-0.2104,-0.2104
2023-03-31,0.93890,1.25390,,-2.19280,0.00930,-2.18350,-2.18350,-2.18350,-2.18350,-2.19280,-2.19280,2.48300,2.48300,-0.88000,-0.88000,9.97620,-18.40210,-18.40210,-16.22030,-18.40210,3.59340,-0.92200,-0.92200
2022-12-31,1.46560,2.00240,,-3.42090,-0.05770,-3.47860,-3.47860,-3.47860,-3.47760,-3.42090,-3.42090,1.19800,1.19800,-2.61000,-2.61000,4.84700,-67.92000,-67.92000,-51.46360,-67.91990,3.93370,-2.5221,-2.5221
2022-09-30,1.46820,1.19860,,-2.68440,0.04020,-2.64420,-2.64420,-2.64420,-2.64420,-2.68440,-2.68440,1.28800,1.28800,-2.05000,-2.05000,9.42800,-30.70620,-30.70630,-26.72340,-30.70630,6.68590,-1.7264,-1.7264
2022-06-30,1.00760,1.27630,,-2.29950,-0.37800,-2.67760,-2.67760,-2.67760,-2.67760,-2.29950,-2.29950,1.24100,1.24100,-2.16000,-2.16000,15.74030,-23.86070,-23.86070,-21.85710,-23.86070,8.70960,-1.2848,-1.2848
