Date,revenue,cost-goods-sold,gross-profit,selling-general-administrative-expenses,operating-expenses,operating-income,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,net-income,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,debt-equity-ratio,pre-tax-profit-margin,net-profit-margin,asset-turnover,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2024-09-30,88.45400,26.05900,62.39500,36.26700,36.75100,25.64400,25.64400,4.59600,21.04800,21.04800,21.04800,29.67900,29.67900,0.71000,0.71000,0.27420,41.51530,34.07480,0.00990,2.82690,3.75180,0.33620,2.82690,25.08720,0.8253,0.7753
2024-06-30,90.50000,25.60600,64.89400,37.76700,38.29900,26.59500,26.59500,6.06500,20.53000,20.53000,20.53000,29.66800,29.66800,0.69000,0.69000,0.24230,41.38080,31.94390,0.01030,2.98480,4.07560,0.33020,2.98480,23.17530,0.6287,0.5726
2024-03-31,84.08000,23.26400,60.81600,37.06000,37.63800,23.17800,23.17800,4.15600,19.02200,19.02200,19.02200,29.59900,29.59900,0.64000,0.64000,0.29270,38.68420,31.74780,0.00980,2.90300,4.05390,0.31120,2.90300,22.08550,0.80590,0.76400
2023-12-31,82.60500,21.40400,61.20100,35.09800,35.73400,25.46700,25.46700,3.96000,21.50700,21.50700,21.50700,29.55800,29.55800,0.72000,0.72000,0.29230,41.61210,35.14160,0.00990,3.24120,4.50980,0.34960,3.24120,22.42890,1.002,1.1077
2023-09-30,80.44600,18.08300,62.36300,35.63600,36.32100,26.04200,26.04200,4.59100,21.45100,21.45100,21.45100,29.57300,29.57300,0.73000,0.73000,0.53160,42.37020,34.90070,0.01020,3.98430,6.11110,0.35720,3.98430,18.20430,0.8256,0.7992
2023-06-30,78.41000,15.25600,63.15400,35.54200,36.27600,26.87800,26.87800,4.75500,22.12300,22.12300,22.12300,29.57300,29.57300,0.75000,0.75000,0.37750,42.93340,35.33800,0.01030,3.67150,5.33810,0.36550,3.67150,20.37550,0.7339,0.6479
2023-03-31,75.45600,11.48000,63.97600,37.93100,38.71600,25.26000,25.26000,4.45300,20.80700,20.80700,20.80700,29.50700,29.50700,0.71000,0.71000,0.31560,40.17430,33.09210,0.01050,3.43730,4.99690,0.34700,3.43730,20.46900,1.06640,1.00150
2022-12-31,74.52900,8.48000,66.04900,35.27400,36.11400,29.93500,29.93500,5.52000,24.41500,24.41500,24.41500,29.46500,29.46500,0.83000,0.83000,0.36500,45.66810,37.24690,0.01060,4.37240,6.62350,0.39660,4.37240,18.93310,0.9366,0.8834
2022-09-30,70.62100,4.82600,65.79500,34.16900,35.06600,30.72900,30.72900,6.13300,24.59600,24.59600,24.59600,29.48400,29.48400,0.83000,0.83000,0.29520,46.95390,37.58270,0.01050,4.97190,8.09380,0.39290,4.97190,16.77810,1.0912,1.0546
2022-06-30,67.44600,2.66900,64.77700,35.04400,36.00100,28.77600,28.77600,5.02900,23.74700,23.74700,23.74700,29.48400,29.48400,0.81000,0.81000,0.25220,44.62990,36.83020,0.01000,4.13400,6.20320,0.36690,4.13400,19.48340,0.1332,0.0944
2022-03-31,65.46300,2.36700,63.09600,52.34300,53.36000,9.73600,9.73600,0.66900,9.06700,9.06700,9.06700,29.40300,29.40300,0.31000,0.31000,0.24050,16.81640,15.66080,0.00860,1.39700,1.97930,0.13540,1.39700,22.01170,1.57350,1.43560
