Date,revenue,gross-profit,selling-general-administrative-expenses,other-operating-income-expenses,operating-income,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,current-ratio,long-term-debt-capital,debt-equity-ratio,gross-margin,operating-margin,ebit-margin,pre-tax-profit-margin,net-profit-margin,asset-turnover,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2024-09-30,646.94800,646.94800,1029.12800,-47.91200,-497.31900,-497.31900,-15.89500,-481.42400,-481.42400,-22.01100,-430.09200,-458.69900,141.76320,2003.29700,-0.16000,-0.19000,15.47420,0.60220,1.51740,100.00000,-76.87160,-70.90200,-76.87160,-3.40230,0.02580,-5.76390,-156.42650,-1.91660,-2.29290,4.18920,20.2172,20.408
2024-06-30,1300.72200,1300.72200,997.30900,-44.99800,192.04200,192.04200,14.11700,177.92500,177.92500,1.29500,258.41500,230.40600,139.64780,139.64780,0.01000,0.01000,13.17930,0.55950,1.27360,100.00000,14.76430,17.71370,14.76430,0.09960,0.05500,2.01870,43.24730,0.75240,0.88930,4.43170,-20.9373,-21.1454
2024-03-31,1383.71600,1383.71600,984.05700,-35.90700,298.37000,298.37000,7.65600,290.71400,290.71400,16.21500,363.75200,336.73500,136.99170,1991.98300,0.12000,0.11000,12.82910,0.54600,1.20600,100.00000,21.56300,24.33560,21.56300,1.17180,0.06230,3.37670,43.24790,1.30840,1.53320,4.33140,-1.51240,-1.51950
2023-12-31,693.80600,693.80600,835.26710,-36.48600,-242.90500,-242.90500,-10.21100,-232.69400,-232.69400,-10.63500,-177.94700,-204.54000,128.64180,1980.52400,-0.08000,-0.08000,9.78160,0.47810,0.91970,100.00000,-35.01050,-29.48090,-35.01050,-1.53280,0.03610,-2.80300,-37.22170,-1.20990,-1.46300,4.18290,0.7027,0.7028
2023-09-30,1203.16800,1203.16800,982.38900,-37.16400,117.62500,117.62500,2.68000,114.94500,114.94500,6.20600,183.61500,155.97900,129.39050,1983.99200,0.05000,0.04000,11.14830,0.51300,1.05690,100.00000,9.77630,12.96400,9.77630,0.51580,0.05830,1.35130,19.61560,0.55670,0.65810,4.29580,0.1673,0.157
2023-06-30,1236.22700,1236.22700,998.40700,-35.75900,138.37000,138.37000,-0.78200,139.15200,139.15200,7.43800,202.06100,176.70400,126.74070,1979.45100,0.06000,0.05000,12.23610,0.52600,1.11390,100.00000,11.19290,14.29380,11.19290,0.60170,0.05930,1.66350,20.66970,0.66720,0.78860,4.23320,-0.1401,-0.1512
2023-03-31,666.06800,666.06800,980.76900,-32.26800,-415.98690,-415.98700,-4.50400,-411.48300,-411.48300,-18.52300,-346.96890,-377.65390,124.73270,1974.63000,-0.15000,-0.16000,12.64920,0.54440,1.19860,100.00000,-62.45410,-56.69900,-62.45410,-2.78090,0.03140,-5.07420,-221.11130,-1.94070,-2.31190,4.10670,-0.67420,-0.68340
2022-12-31,480.79220,480.79220,890.77890,-33.11100,-505.41760,-505.41800,-12.76300,-492.65500,-492.65500,-17.63100,-443.09760,-467.08450,120.57750,1971.62100,-0.14000,-0.18000,10.66600,0.49320,0.97730,100.00000,-105.12180,-97.14890,-105.12190,-3.66710,0.02390,-5.81270,-182.68020,-2.45320,-2.94560,4.29710,0.6157,0.6131
2022-09-30,1294.68600,1294.68600,1085.79500,-40.00800,106.35500,106.35500,10.13100,96.22400,96.22400,6.91300,168.88300,144.67200,119.02050,1970.66600,0.06000,0.04000,11.68800,0.52250,1.09760,100.00000,8.21470,11.17430,8.21470,0.53400,0.05730,1.07980,5.82750,0.42580,0.51560,4.52290,1.534,1.5214
2022-06-30,1392.41900,1392.41900,1215.35300,-35.48700,78.51690,78.51700,18.76100,59.75600,59.75600,3.41700,141.57880,116.79880,118.80150,1971.74200,0.03000,0.02000,14.96530,0.59390,1.46650,100.00000,5.63890,8.38820,5.63890,0.24540,0.05550,0.68120,2.82610,0.23830,0.27670,4.46370,-1.1009,-1.1194
2022-03-31,2670.59600,2670.59600,1457.83000,-90.60300,1062.45700,1062.45700,25.84900,1036.60800,1036.60800,53.74400,1122.16300,1101.12100,122.69170,1975.37900,0.44000,0.40000,13.53900,0.58350,1.40450,100.00000,39.78350,41.23130,39.78350,2.01240,0.10580,11.91330,45.24680,4.10570,4.96150,4.42030,4.44080,4.42730
2021-12-31,2592.76600,2592.76600,1425.49900,-166.71100,855.34500,855.34500,-9.97100,865.31640,865.31640,48.20100,1000.55600,981.31250,130.57820,1989.43400,0.29000,0.31000,21.68010,0.65760,1.92420,100.00000,32.98970,37.84810,32.98970,1.85910,0.07910,8.86640,28.12220,2.64020,3.03560,4.94070,2.2162,2.2063
2021-09-30,3114.73000,3114.73000,1499.88600,-135.41500,1425.68900,1425.68900,32.83000,1392.85900,1392.85900,75.33700,1479.42900,1459.85200,137.66450,1990.82800,0.55000,0.54000,24.49210,0.70440,2.38670,100.00000,45.77250,46.86930,45.77250,2.41870,0.08700,15.16320,31.05760,3.88970,4.48160,4.62470,0.3918,0.3763
2021-06-30,2668.09900,2668.09900,1409.97000,-141.80500,1060.69700,1060.69700,24.04700,1036.65000,1036.65000,61.12000,1116.32400,1095.73500,136.13940,1991.26800,0.45000,0.40000,24.42440,0.73250,2.74830,100.00000,39.75480,41.06800,39.75480,2.29080,0.07490,12.66400,29.27040,2.91040,3.38700,4.12410,-50.1327,-49.8665
2021-03-31,4538.87100,4538.87100,1454.46100,-190.36500,2843.17000,2843.17000,65.83200,2777.33800,2777.33800,123.70200,2894.04500,2878.74100,115.67350,122.01190,1.07000,1.07000,20.92090,0.68940,2.22870,100.00000,62.64050,63.42420,62.64050,2.72540,0.13070,33.43840,73.72070,7.99640,10.38510,4.18540,51.41720,51.11700
2020-12-31,4631.75100,4631.75100,1452.58200,-181.69300,2888.78300,2888.78200,48.01800,2840.76500,2840.76500,140.04800,2997.47600,2970.79200,111.92660,116.23850,1.23000,1.22000,28.46740,0.73100,2.72700,100.00000,62.36910,64.13970,62.36910,3.02370,0.12340,36.04050,59.00510,7.56840,9.69440,3.97200,20.0269,19.8008
2020-09-30,4616.19500,4616.19500,1347.67100,-158.11300,3057.06600,3057.06600,61.68300,2995.38300,2995.38300,57.90300,3110.41100,3095.08200,106.26540,106.26540,0.54000,0.54000,28.58900,0.78980,3.76810,100.00000,66.22480,67.04830,66.22480,1.25430,0.12230,47.09180,79.77930,7.93420,9.90020,3.20530,-34.4573,-35.1461
2020-06-30,5035.81300,5035.81300,1345.38800,-155.53800,3485.53000,3485.53000,21.44800,3464.08200,3464.08200,,3534.88700,3518.69800,,,,0.00000,69.24880,0.76800,3.32080,100.00000,69.21480,69.87350,69.21480,,0.17450,62.57170,108.69270,12.00450,14.51870,,0,0
2020-03-31,1366.30900,1366.30900,1095.67300,-121.13500,100.27880,100.27900,1.23200,99.04700,99.04700,,149.50080,133.38580,,,,0.00000,,,,100.00000,7.33940,9.76250,7.33940,,,,,,,,0.00000,
2019-12-31,,,,,,,,,,,,,,,,0.00000,,,,,,,,,,,,,,,0,0
2019-09-30,1620.42500,1620.42500,963.69290,-102.55100,499.74710,499.74700,5.11700,494.63000,494.63000,,554.18110,532.79910,,,,0.00000,,,,100.00000,30.84050,32.88020,30.84050,,,,,,,,0,0
2019-06-30,937.54500,937.54500,879.87500,-61.15600,-54.25900,-54.25900,-0.28300,-53.97600,-53.97600,-53.65100,-21.17300,-21.17300,,,,0.00000,,,,100.00000,-5.78740,-2.25830,-5.78730,-5.72250,,,,,,,0,0
2018-12-31,,,,,,,,,,,,,,,,0.00000,,,,,,,,,,,,,,,0,0
