Date,revenue,cost-goods-sold,gross-profit,selling-general-administrative-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,current-ratio,long-term-debt-capital,debt-equity-ratio,gross-margin,operating-margin,ebit-margin,pre-tax-profit-margin,net-profit-margin,asset-turnover,receiveable-turnover,days-sales-in-receivables,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2024-09-30,2.78800,0.82700,1.96100,3.35480,4.16130,-2.20030,-3.79050,-5.99080,,-5.99080,-5.99080,-6.66030,-1.39380,-2.20030,10.89910,10.89910,-0.61000,-0.61000,0.11060,7.84650,-3.63380,70.33750,-78.92150,-78.92150,-214.87800,-238.89270,0.19610,3.49230,25.77100,198.30030,132.96330,-42.12740,-1357.86200,-0.25520,-0.0173,-0.0666
2024-06-30,3.08790,0.60660,2.48130,9.18720,9.96910,-7.48780,-3.40760,-10.89540,,-10.89540,-10.89540,-11.34340,-6.70590,-7.48780,10.27210,10.27210,-1.10000,-1.10000,0.11150,0.88800,24.54660,80.35500,-242.48860,-242.48860,-352.84220,-367.35040,0.17710,4.38780,20.51150,-2656.10900,1014.17100,-62.50210,-297.06380,0.03950,-0.0002,-0.0124
2024-03-31,2.72340,0.51310,2.21030,4.51990,5.25240,-3.04220,-1.62680,-4.66900,0.05400,-4.72300,-4.72300,-5.17100,-2.30960,-3.04220,10.10040,10.10040,-0.51000,-0.51000,0.11160,0.16210,1.32020,81.15940,-111.70690,-111.70690,-171.44130,-189.87440,0.13260,5.31750,16.92520,-76.45520,-100.64040,-22.99900,-64.05490,0.60330,-0.09800,-0.13110
2023-12-31,2.45020,0.53580,1.91440,5.93430,6.30830,-4.39390,-3.06940,-7.46320,,-7.46320,-7.46320,-7.61340,-4.01980,-4.39390,7.34950,7.34950,-0.96000,-0.96000,0.39520,0.24220,1.50570,78.13300,-179.32520,-179.32520,-304.59520,-310.72450,0.15620,4.34510,20.71310,-167.94730,-252.20430,-47.57740,-127.26550,0.44140,-0.9581,-0.9876
2023-09-30,2.00490,0.51790,1.48700,3.58970,3.91010,-2.42310,-1.26870,-3.69180,,-3.69180,-3.69180,-3.91030,-2.10270,-2.42310,7.26020,7.26020,-0.54000,-0.54000,0.22440,,0.57700,74.16890,-120.86190,-120.86190,-184.14320,-195.04250,0.12220,3.35450,26.82950,-57.64710,-75.04460,-22.50450,-57.64430,1.77030,0.0496,0.0399
2023-06-30,1.85610,0.48400,1.37210,3.18910,3.48070,-2.10860,-0.59900,-2.70760,,-2.70760,-2.70760,-2.70760,-1.81700,-2.10860,6.56760,6.56760,-0.41000,-0.41000,0.05940,,-0.39860,73.92270,-113.60020,-113.60020,-145.87170,-145.87170,0.02160,,,127.72500,127.72530,-3.15270,127.72500,-1.00560,-0.1148,-0.1625
2023-03-31,1.84040,0.49140,1.34890,2.41110,2.70000,-1.35110,-0.33800,-1.68900,,-1.68900,-1.68900,-1.68900,-1.06210,-1.35110,6.49070,6.49070,-0.26000,-0.26000,0.40990,,,73.29620,-73.41230,-73.41230,-91.77680,-91.77680,0.02180,,,289.66900,289.66860,-1.99650,289.66900,-0.27660,-0.17750,-0.20740
2022-12-31,6.09910,1.72560,4.37350,6.80450,7.81000,-3.43640,-1.05470,-4.49110,,-4.49110,-4.49110,-6.28580,-3.14510,-3.43640,5.76820,5.76820,-0.73000,-0.73000,0.16060,-1.37730,-2.29010,71.70760,-56.34290,-56.34290,-73.63490,-103.06050,0.93030,14.70350,6.12100,179.53580,112.65840,-68.50160,426.81140,-0.41170,0.0693,0.0531
2022-09-30,1.88880,0.51770,1.37110,2.15170,2.43820,-1.06720,-0.33480,-1.40200,,-1.40200,-1.40200,-1.40200,-1.06720,-1.06720,5.77780,5.77780,-0.24000,-0.24000,14.64010,,,72.59270,-56.50060,-56.50060,-74.22700,-74.22700,0.02250,,,-143.81510,-143.81510,-1.66820,-143.81510,0.46270,-0.0786,-0.1134
2022-06-30,,,,0.18750,,-0.18750,0.09600,-0.09140,,-0.09140,-0.09140,-0.09140,-0.18750,-0.18750,2.10780,2.10780,-0.02000,-0.02000,15.97140,,,,,,,,,,,-8.54680,-8.54680,-0.10920,-8.54680,0.50760,0.0048,0.0048
2022-03-31,,,,0.11100,,-0.11100,0.01570,-0.09530,,-0.09530,-0.09530,-0.09530,-0.11100,-0.11100,1.84390,1.84390,-0.38000,-0.38000,16.43450,,,,,,,,,,,-7.57930,-7.57930,-0.11360,-7.57930,0.59660,-0.21620,-0.21620
2021-12-31,,,,,,,,,,,,,,,,,,0.00000,,,,,,,,,,,,,,,,,0,0
