Date,revenue,cost-goods-sold,gross-profit,research-development-expenses,selling-general-administrative-expenses,other-operating-income-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,other-income,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,current-ratio,long-term-debt-capital,debt-equity-ratio,gross-margin,operating-margin,ebit-margin,pre-tax-profit-margin,net-profit-margin,asset-turnover,inventory-turnover,receiveable-turnover,days-sales-in-receivables,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2024-09-30,83.47900,43.32200,40.15700,4.49000,17.28300,-0.02400,21.79700,18.36000,0.03400,18.39400,4.02900,14.36500,,14.18600,13.65300,23.29500,18.36000,19.89400,19.89400,0.69000,0.69000,2.19570,,0.00090,48.10430,21.99360,21.99360,22.03430,16.35500,0.26030,1.80820,1.74370,51.61590,7.54270,10.15450,4.42390,7.54270,,0.8664,0.7287
2024-06-30,84.86900,45.06500,39.80400,4.59400,17.54900,0.08400,22.05900,17.74500,0.05600,17.80100,3.77500,14.02600,,13.98500,13.12700,23.09800,17.74500,19.89400,19.89400,0.66000,0.66000,2.03880,,0.00130,46.90050,20.90870,20.90870,20.97470,15.46740,0.26630,1.81670,1.72610,52.14060,7.69840,10.51870,4.38740,7.69840,,1.153,1.0001
2024-03-31,85.02600,45.48300,39.54300,4.52300,18.03000,0.03900,22.51400,17.02900,0.07500,17.10400,3.43000,13.67400,,13.59300,13.03600,22.32700,17.02900,19.89400,19.89400,0.66000,0.66000,1.98310,,0.00180,46.50700,20.02800,20.02800,20.11620,15.33180,0.26470,1.74000,1.72570,52.15330,7.44640,10.22490,4.23200,7.44640,,0.57310,0.42360
2023-12-31,77.80800,39.40800,38.40000,4.24000,17.84000,0.18500,21.89500,16.50500,-1.64800,14.85700,2.53400,12.32300,,12.43900,12.01900,21.91200,16.50500,20.00000,20.00000,0.61000,0.61000,1.93090,0.00130,0.00330,49.35220,21.21250,21.21250,19.09440,15.44700,0.24420,1.46650,1.71420,52.50230,6.90100,9.56710,3.90320,6.89190,,1.0767,0.8792
2023-09-30,81.05300,41.64300,39.41000,4.39200,18.11600,-0.00900,22.51700,16.89300,-0.05300,16.84000,3.60100,13.23900,,13.04400,12.51400,22.50300,16.89300,19.91200,19.91200,0.63000,0.63000,1.93090,0.00160,0.01180,48.62250,20.84190,20.84190,20.77650,15.43930,0.27280,1.59400,1.78210,50.50140,7.72870,10.98820,4.39000,7.71670,,1.043,0.8488
2023-06-30,81.64500,42.98300,38.66200,4.21600,17.72600,-0.07500,22.01700,16.64500,0.32500,16.97000,3.80100,13.16900,,12.90800,12.24900,21.79100,16.64500,20.04500,20.04500,0.61000,0.61000,1.77710,0.00190,0.02690,47.35380,20.38700,20.38700,20.78510,15.00280,0.26850,1.53250,1.70420,52.81170,7.79270,11.19790,4.24440,7.77820,,0.8813,0.7134
2023-03-31,79.47200,42.78300,36.68900,4.13800,16.59600,-0.04300,20.77700,15.91200,-0.17400,15.73800,3.41900,12.31900,,11.95300,11.35500,20.81700,15.91200,20.22800,20.22800,0.56000,0.56000,1.71010,0.00180,0.05800,46.16590,20.02210,20.02210,19.80320,14.28810,0.26620,1.53000,1.65600,54.34750,7.54900,11.16330,4.00350,7.53570,,0.85990,0.71730
2022-12-31,74.94800,39.09500,35.85300,4.61600,15.87600,-0.05700,20.54900,15.30400,-1.29200,14.01200,3.74700,10.26500,,10.09200,9.57200,20.56700,15.30400,20.41800,20.41800,0.47000,0.47000,1.62040,0.00230,0.07970,47.83720,20.41950,20.41950,18.69560,12.77150,0.25760,1.37130,1.63570,55.02340,6.60220,10.01900,3.46890,6.58730,7.57630,0.7744,0.408
2022-09-30,72.66400,38.04900,34.61500,4.10100,15.87800,0.03100,19.94800,14.66700,-0.71400,13.95300,3.08000,10.87300,,10.58200,10.06400,19.64500,14.66700,20.34700,20.34700,0.49000,0.49000,1.58710,,0.10850,47.63710,20.18470,20.18470,19.20210,13.85010,0.25200,1.17100,1.63100,55.18110,7.18580,11.22330,3.67000,7.18580,,0.5652,0.3661
2022-06-30,73.38800,39.55700,33.83100,3.99100,15.44200,0.03900,19.39400,14.43700,-1.37300,13.06400,3.45400,9.61000,,9.53200,8.73800,19.42300,14.43700,20.46000,20.46000,0.43000,0.43000,1.57380,0.02640,0.14010,46.09880,19.67220,19.67220,17.80130,11.90660,0.25480,1.35680,1.60110,56.21260,6.63570,10.64050,3.30950,6.46030,,0.5316,0.1384
2022-03-31,72.07200,38.80900,33.26300,4.14000,14.83600,0.07900,18.89700,14.36600,-2.56500,11.80100,2.46400,9.33700,,9.29400,8.72900,19.27300,14.36600,20.53400,20.53400,0.43000,0.43000,1.60970,0.05450,0.17760,46.15250,19.93290,19.93290,16.37390,12.11150,0.23200,1.23010,1.49390,60.24600,6.23700,9.97600,2.99180,5.89680,,0.33850,0.05060
