Date,revenue,gross-profit,selling-general-administrative-expenses,other-operating-income-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,income-from-discontinued-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,long-term-debt-capital,debt-equity-ratio,operating-margin,ebit-margin,pre-tax-profit-margin,net-profit-margin,asset-turnover,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2024-09-30,194.89900,194.89900,16.67200,-80.31600,37.59800,-41.18200,-3.58400,0.61900,-4.20300,-4.20300,,-4.20300,98.91700,37.59800,217.31470,217.31470,-0.04000,-0.04000,0.47560,0.90690,19.29100,19.29100,-1.83890,-2.15650,0.02470,-0.10370,-0.10510,-0.05330,-0.05440,18.62550,0.1824,0.0887
2024-06-30,187.40800,187.40800,16.63200,-74.61500,34.42600,-36.92400,-2.49800,0.36200,-2.86000,-2.86000,,-7.82600,97.15600,34.42600,217.20490,217.20490,-0.04000,-0.04000,0.47520,0.90540,18.36960,18.36960,-1.33290,-4.17590,0.02370,-0.07050,-0.07150,-0.03620,-0.03700,18.65060,0.3083,0.191
2024-03-31,188.87700,188.87700,16.63400,-71.74000,39.38900,-22.31100,17.07800,0.34700,16.73100,16.73100,,9.86500,101.53100,39.38900,217.10600,217.18600,0.05000,0.05000,0.47360,0.89980,20.85430,20.85430,9.04190,5.22300,0.02380,0.41020,0.41660,0.21100,0.21590,18.76720,0.32180,0.14060
2023-12-31,192.47110,192.47110,15.67900,-77.01300,30.62310,-302.04800,-271.42500,0.30200,-271.72700,-271.72700,,-188.86400,99.63110,30.62310,216.92200,216.92200,-0.95000,-0.95000,0.48650,0.94730,15.91050,15.91050,-141.02120,-98.12590,0.02400,-6.76800,-6.88460,-3.39400,-3.47550,18.47060,0.4719,0.3189
2023-09-30,189.18100,189.18100,15.46000,-75.50200,37.82400,-62.62200,-24.79800,0.26300,-25.06100,-25.06100,,-25.06100,98.19500,37.82400,217.04300,217.04300,-0.04000,-0.04000,0.46870,0.88220,19.99360,19.99360,-13.10810,-13.24710,0.02280,-0.58150,-0.59170,-0.30240,-0.30890,19.82920,0.1728,0.0666
2023-06-30,172.66200,172.66200,16.22400,-71.14100,22.67000,-104.92600,-82.25600,0.57300,-82.82900,-82.82900,,-47.54800,85.38800,22.67000,217.00390,217.00390,-0.22000,-0.22000,0.46920,0.88380,13.12970,13.12970,-47.63990,-27.53820,0.02060,-1.90500,-1.94050,-0.98980,-1.01130,20.00870,0.3686,0.2516
2023-03-31,188.47400,188.47400,14.62300,-70.30900,44.65400,-36.05200,8.60200,0.28800,8.31400,8.31400,,1.72900,104.04400,44.65400,216.56300,216.61700,0.01000,0.01000,0.46400,0.86580,23.69240,23.69240,4.56400,0.91740,0.02220,0.18740,0.19100,0.09800,0.10040,20.42740,0.26760,0.18040
2022-12-31,184.02800,184.02800,13.98600,-70.10200,38.52300,-76.39800,-37.87500,1.70600,-39.58100,-39.58100,,-37.87700,100.11700,38.52300,221.31000,221.31000,-0.17000,-0.17000,0.46540,0.87070,20.93320,20.93320,-20.58110,-20.58220,0.02180,-0.89740,-0.91610,-0.46820,-0.47970,20.36750,0.3387,0.0874
2022-09-30,187.14700,187.14700,13.15000,-72.84500,42.76300,-40.86600,1.89700,0.67300,1.22400,1.22400,,-1.53700,102.66800,42.76300,224.86500,224.86500,-0.01000,-0.01000,0.46470,0.86800,22.85000,22.85000,1.01360,-0.82130,0.02200,0.02770,0.02830,0.01440,0.01480,19.88300,0.1877,0.1134
2022-06-30,185.51700,185.51700,16.70600,-67.81400,43.44000,-39.04300,4.39700,0.35900,4.03800,4.03800,,-0.36000,102.06200,43.44000,222.97200,222.97200,0.00000,0.00000,0.46300,0.86220,23.41570,23.41570,2.37010,-0.19410,0.02190,0.09070,0.09290,0.04760,0.04870,19.72900,0.3199,0.2097
2022-03-31,183.68500,183.68500,15.64500,-66.66100,45.75500,-39.10600,6.64900,0.52700,6.12200,6.12200,,3.37100,102.55900,45.75500,218.78200,218.84000,0.02000,0.02000,0.46230,0.85970,24.90950,24.90950,3.61980,1.83520,0.02160,0.13720,0.14070,0.07200,0.07380,20.37190,0.26810,0.13550
