Date,revenue,cost-goods-sold,gross-profit,selling-general-administrative-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,current-ratio,debt-equity-ratio,gross-margin,operating-margin,ebit-margin,pre-tax-profit-margin,net-profit-margin,asset-turnover,inventory-turnover,roe,return-on-tangible-equity,roa,roi
2024-06-30,,,,,,,,,,,,,,,,,0.00000,,,,,,,,,,,,,
2020-09-30,2.93520,3.47560,-0.54040,0.63120,0.63110,-1.17150,0.68180,-0.48980,-0.48980,-0.48980,-0.48980,-1.17150,-1.17150,0.50000,0.50000,-1.00000,-1.00000,0.19140,0.06610,-18.40950,-39.91290,-39.91290,-16.68600,-16.68600,0.06580,14.84180,-1.70500,-2.11730,-1.09790,-1.70500
2019-12-31,,,,,,,,,,,,,,,,,0.00000,,,,,,,,,,,,,
