Date,revenue,cost-goods-sold,gross-profit,selling-general-administrative-expenses,operating-expenses,operating-income,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,net-income,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,long-term-debt-capital,debt-equity-ratio,pre-tax-profit-margin,net-profit-margin,asset-turnover,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2024-09-30,61.83200,34.72900,27.10300,24.61000,24.61000,2.49300,2.49300,0.56600,1.92700,1.92700,1.34500,12.50500,12.50500,0.11000,0.11000,0.44170,0.79130,11.23020,6.05880,0.00570,0.86280,0.80350,0.04910,0.41960,20.50350,0.3881,0.406
2024-06-30,69.17700,32.40900,36.76800,27.41400,27.41400,9.35400,9.35400,2.15300,7.20100,7.20100,6.61900,12.50500,12.50500,0.53000,0.53000,0.46730,1.11250,31.21850,22.09060,0.00830,3.24240,3.02100,0.19920,1.50340,20.40340,0.6315,1.7126
2024-03-31,55.21600,30.98700,24.22900,21.23800,21.23800,2.99100,2.99100,0.68100,2.31000,2.31000,1.72800,12.49000,12.49000,0.14000,0.14000,0.47300,0.89740,13.64200,7.88140,0.00620,1.06320,0.99000,0.06500,0.48640,20.01760,0.15980,0.03220
2023-12-31,52.88600,29.26800,23.61800,22.00000,22.00000,1.61800,1.61800,0.31500,1.30300,1.30300,0.72000,11.16500,11.16500,0.06000,0.06000,0.46320,1.10320,7.56320,3.36560,0.00600,0.60160,0.56060,0.03670,0.28020,20.01050,1.1709,0.5678
2023-09-30,50.11600,27.18200,22.93400,20.62300,20.62300,2.31100,2.31100,0.53900,1.77200,1.77200,1.19000,11.43100,11.43100,0.10000,0.10000,0.45320,1.43610,10.36000,5.33460,0.00650,0.86120,0.79980,0.05180,0.40570,20.89250,-0.2994,-0.6234
2023-06-30,46.59300,22.86800,23.72500,20.28300,20.28300,3.44200,3.44200,0.76600,2.67600,2.67600,2.09400,10.91300,10.91300,0.19000,0.19000,0.23340,0.89050,14.85090,9.03480,0.00720,1.30030,1.20880,0.08270,0.85890,20.89560,0.6971,0.4259
2023-03-31,43.99100,18.98600,25.00500,20.48000,20.48000,4.52500,4.52500,1.05700,3.46800,3.46800,2.88600,10.71700,10.71700,0.27000,0.27000,0.21520,0.58040,18.32650,11.68850,0.00760,1.77280,1.64360,0.10710,1.19010,21.33770,0.37620,0.27300
2022-12-31,40.80900,15.00700,25.80200,19.40500,19.40500,6.39700,6.39700,1.27500,5.12200,5.12200,4.54000,10.71700,10.71700,0.43000,0.43000,0.15580,0.78030,25.54300,18.12810,0.00790,2.53650,2.35920,0.16250,1.84010,21.92690,0.3082,0.2413
2022-09-30,39.26800,9.80100,29.46700,19.29700,19.29700,10.17000,10.17000,2.11700,8.05300,8.05300,7.47100,10.71700,10.71700,0.70000,0.70000,0.16020,0.62280,36.37600,26.72220,0.00900,4.05940,3.77590,0.26000,2.92220,21.59540,1.2284,1.1747
2022-06-30,35.06700,6.23000,28.83700,18.57600,18.57600,10.26100,10.26100,2.13700,8.12400,8.12400,7.54200,10.71700,10.71700,0.70000,0.70000,0.16540,0.28650,36.54200,26.85900,0.00950,4.19890,3.89970,0.27450,2.99290,21.13800,1.1264,1.0566
