Date,revenue,gross-profit,research-development-expenses,selling-general-administrative-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,current-ratio,long-term-debt-capital,debt-equity-ratio,gross-margin,operating-margin,ebit-margin,pre-tax-profit-margin,net-profit-margin,asset-turnover,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2024-09-30,,,0.64400,0.94600,-1.59000,0.06600,-1.52400,,-1.52400,-1.52400,-1.52400,-1.59000,-1.59000,0.99000,0.99000,-1.54000,-1.54000,6.38080,,,,,,,,,-30.81280,-30.81280,-25.98470,-30.81280,5.16280,1.6257,1.6257
2024-06-30,,,0.86600,1.04800,-1.91400,0.06800,-1.84600,,-1.84600,-1.84600,-1.84600,-1.91300,-1.91400,0.51020,0.51020,-3.62000,-3.62000,3.47470,,,,,,,,,-48.92650,-48.92660,-34.85650,-48.92660,7.39800,-3.4726,-3.4726
2024-03-31,,,1.14800,1.06100,-2.20900,0.05500,-2.15400,,-2.15400,-2.15400,-2.15400,-2.20800,-2.20900,0.50880,0.50880,-4.23040,-4.23040,5.48280,,,,,,,,,-38.43680,-38.43680,-31.43150,-38.43680,10.98460,-3.95210,-3.95210
2023-12-31,,,1.00700,0.76600,-1.89900,0.00400,-1.89500,,-1.89500,-1.89500,-1.89500,-1.88900,-1.89900,0.23150,0.23150,5.06820,5.06820,5.70500,,,,,,,,,-24.51490,-24.51490,-20.23710,-24.51490,18.58170,-15.5067,-15.5098
2023-09-30,,,1.80800,0.96800,-2.77600,-0.00400,-2.78000,,-2.78000,-2.78000,-2.78000,-2.76100,-2.77600,0.27100,0.27100,-10.25000,-10.25000,4.01030,,,,,,,,,-38.54150,-38.54150,-29.14350,-38.54150,28.14200,-2.3904,-2.3828
2023-06-30,,,1.38300,1.16400,-2.54700,-0.00200,-2.54900,,-2.54900,-2.54900,-2.54900,-2.53200,-2.54700,0.19210,0.19210,-13.27000,-13.27000,5.03140,,,,,,,,,-25.73710,-25.73710,-20.73030,-25.73710,44.90930,-7.1848,-7.2109
2023-03-31,,,2.13400,1.46800,-3.60200,,-3.60200,,-3.60200,-3.60200,-3.60200,-3.58600,-3.60200,0.12690,0.12690,-28.35280,-28.35280,3.92490,,,,,,,,,-49.26820,-49.26820,-37.10720,-49.26820,57.17250,-21.34360,-21.34360
2022-12-31,,,1.61400,1.11600,-2.73000,-0.01600,-2.74600,,-2.74600,-2.74600,-2.73100,-2.71500,-2.73000,0.12630,0.12630,-21.60220,-21.60220,6.41880,,,,,,,,,-25.33680,-25.33680,-21.42970,-25.33680,85.64680,-21.5447,-21.5464
2022-09-30,,,2.50800,1.06300,-3.57100,,-3.57100,,-3.57100,-3.57100,-3.57600,-3.55600,-3.57100,0.12650,0.12650,-28.26280,-28.26280,7.00870,,,,,,,,,-26.39900,-26.39910,-22.61420,-26.39910,106.93930,-27.8231,-27.8777
2022-06-30,,,1.30400,1.21700,-2.52100,,-2.52100,,-2.52100,-2.52100,-2.53100,-2.50200,-2.52100,0.12640,0.12640,-19.98200,-19.98200,6.48270,,,,,,,,,-14.82680,-14.82680,-12.51490,-14.82680,134.50780,-19.0177,-19.0909
2022-03-31,,,1.58600,1.05400,-2.64000,-0.00200,-2.64200,,-2.64200,-2.64200,-2.64200,-2.61800,-2.64000,0.12550,0.12550,-21.06210,-21.06210,8.42090,,,,,,,,,-13.58280,-13.58290,-11.92130,-13.58290,153.87350,-27.63200,-28.46040
2021-12-31,,,2.22500,1.22500,-3.45000,-0.00400,-3.45400,,-3.45400,-3.45400,-3.45100,-3.43000,-3.45000,0.11880,0.11880,-25.43800,-25.43800,8.05960,,,,,,,,,-15.74870,-15.74870,-13.72270,-15.74870,175.00690,-24.9042,-24.9265
2021-09-30,,,2.67300,1.06600,-3.73900,,-3.73900,,-3.73900,-3.73900,-3.74200,-3.72000,-3.73900,0.12530,0.12530,-30.25510,-30.25510,11.00200,,,,,,,,,-14.81030,-14.81030,-13.38080,-14.81030,201.54650,-22.8763,-23.1158
2021-06-30,,,1.55900,1.12500,-2.68400,-0.00300,-2.68700,,-2.68700,-2.68700,-2.68700,-2.66600,-2.68400,0.12530,0.12530,-21.61080,-21.61080,12.08500,,,,,,,,,-9.31530,-9.31530,-8.48790,-9.31530,230.29540,-19.0195,-19.1264
2021-03-31,,,2.42900,1.20900,-3.63800,0.23100,-3.40700,,-3.40700,-3.40700,-3.40700,-3.62000,-3.63800,0.09880,0.09880,-34.57730,-34.57730,15.20860,,,,,,,,,-10.85030,-10.85030,-10.06320,-10.85030,250.69420,-33.04350,-33.10420
2020-12-31,,,0.46300,1.99900,-2.46200,,-2.46200,,-2.46200,-2.46200,-2.46200,-2.44500,-2.46200,0.04250,0.04250,16.20810,16.20810,6.90530,0.01740,0.01770,,,,,,,-18.91370,-18.91370,-15.64270,-18.58390,243.30380,-91.8319,-91.943
2020-09-30,,,1.25600,1.05000,-2.30600,-0.00300,-2.30900,,-2.30900,-2.30900,-2.30900,-2.28800,-2.30600,0.05350,0.05350,-43.22160,-43.22160,7.90130,0.01470,0.01490,,,,,,,-14.94210,-14.94210,-12.65970,-14.72200,288.83560,-23.9522,-24.0711
2020-06-30,,,0.77900,0.89000,-1.66900,-0.00300,-1.67200,,-1.67200,-1.67200,-1.67200,-1.65000,-1.66900,0.04600,0.04600,-36.73840,-36.73840,10.32960,0.01290,0.01300,,,,,,,-9.42880,-9.42870,-8.27270,-9.30750,331.50890,41.0536,41.4455
2020-03-31,,,1.21800,1.13800,-2.35600,0.00500,-2.35100,,-2.35100,-2.35100,-2.35100,-2.33800,-2.35600,0.01640,0.01640,-143.71180,-143.71180,7.02170,,,,,,,,,-19.61620,-19.61620,-16.43480,-19.61620,451.54370,-132.61450,-133.22400
2019-12-31,,,1.02300,1.64600,-2.66900,0.00900,-2.66000,,-2.66000,-2.66000,-2.66000,-2.65300,-2.66900,0.00430,0.00430,-483.00130,-483.00130,3.88300,,,,,,,,,-46.27700,-46.27700,-33.08870,-46.27700,928.39230,-599.853,-598.72
2019-09-30,,,1.04200,1.07100,-2.11300,0.01900,-2.09400,,-2.09400,-2.09400,-2.09400,-2.09800,-2.11300,0.00430,0.00430,-489.48470,-489.48470,4.56390,,,,,,,,,-27.53450,-27.53450,-20.77590,-27.53450,1759.93500,-417.621,-431.701
2019-06-30,,,1.14600,0.91300,-2.05900,0.02400,-2.03500,,-2.03500,-2.03500,-2.03500,-2.04100,-2.05900,0.00410,0.00410,-499.20950,-499.20950,5.87450,,,,,,,,,-20.96430,-20.96430,-16.80710,-20.96430,2296.87100,-375.3617,-378.9995
