Date,other-operating-income-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,current-ratio,long-term-debt-capital,debt-equity-ratio,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2024-06-30,,,,,,,,,,,,,0.00000,,,,,,,,,,
2022-12-31,,,,,,,,,,,,,0.00000,,,,,,,,,0.2324,0.2324
2022-06-30,-4.39750,-4.39750,7.16460,2.76710,2.76710,2.76710,2.76710,-4.39750,-4.39750,8.62500,8.62500,0.06000,0.06000,0.32040,-0.04450,-0.04260,-5.60910,-5.60910,0.80040,-5.85850,-5.71960,-0.1843,-0.1843
2022-03-31,-4.00350,-4.00350,7.02640,3.02290,3.02290,3.02290,3.02290,-4.00350,-4.00350,8.62500,8.62500,0.07000,0.07000,0.70790,-0.02980,-0.02900,-5.83730,-5.83730,0.87290,-6.01140,-6.00420,-0.04810,-0.04810
2021-12-31,,-143.13280,-14.33520,-14.99590,-24.59790,-24.59790,-24.59790,-143.13280,-0.66080,8.00000,8.00000,-2.48700,-2.48700,1.44680,0.72500,3.02930,-62.68750,28.99880,-13.32600,-17.24210,4.90490,0.5766,0.5236
2021-09-30,-0.64510,-0.64510,8.40250,7.75740,7.75740,7.75740,7.75740,-0.64510,-0.64510,8.62500,8.62500,0.18000,0.18000,4.20820,,,-21.93870,-21.93870,2.24400,-21.93870,-4.09960,-0.06,-0.06
2021-06-30,-0.20160,-0.20160,-1.34990,-1.55150,-1.55150,-1.55150,-1.55150,-0.20160,-0.20160,8.62500,8.62500,-0.04000,-0.04000,10.90340,,,-31.03010,-31.03020,-0.44800,-31.03010,0.37210,-0.0674,-0.0674
2021-03-31,-0.11750,-0.11750,-1.06640,-1.18400,-1.18400,-1.18400,-1.18400,-0.11750,-0.11750,6.63900,6.63900,-0.10000,-0.10000,3.33820,,,-23.67910,-23.67900,-0.34120,-23.67910,0.37640,-0.00810,-0.00810
2020-12-31,,,,,,,,,,,,,0.00000,,,,,,,,,0,0
