Date,revenue,cost-goods-sold,gross-profit,selling-general-administrative-expenses,other-operating-income-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,long-term-debt-capital,debt-equity-ratio,operating-margin,ebit-margin,pre-tax-profit-margin,net-profit-margin,asset-turnover,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2024-09-30,51.87100,17.37400,34.49700,3.58200,,24.59200,9.90500,-25.25000,-15.34500,-15.34500,-15.34500,-15.69000,31.08600,9.90500,45.00930,45.00930,-0.35000,-0.35000,0.58710,1.86730,19.09540,19.09540,-29.58300,-30.24810,0.03470,-3.47790,-3.86760,-1.02550,-1.43590,9.72050,0.3907,-2.0212
2024-06-30,48.68600,13.56900,35.11700,3.88000,,25.22700,9.89000,-8.56200,1.32800,1.32800,1.32800,1.22000,31.38200,9.89000,44.99120,45.02750,0.03000,0.03000,0.59760,1.80890,20.31390,20.31390,2.72770,2.50590,0.03420,0.27650,0.30330,0.09340,0.11120,10.58060,0.4407,0.317
2024-03-31,50.22800,16.64200,33.58600,3.36400,,25.73200,7.85400,-1.56800,6.28600,6.28600,6.28600,6.12400,30.34200,7.85400,44.93660,44.97090,0.14000,0.14000,0.59380,1.77900,15.63670,15.63670,12.51490,12.19240,0.03500,1.28320,1.41750,0.43800,0.52130,10.79420,0.36940,0.28580
2023-12-31,50.78400,15.14400,35.64000,4.31800,,27.11100,8.52900,0.84800,9.37700,9.37700,9.37700,9.19200,31.39700,8.52900,43.55450,43.63170,0.21000,0.21000,0.59500,1.78710,16.79470,16.79470,18.46450,18.10020,0.03520,1.92060,2.14690,0.65030,0.77790,10.78980,0.4432,0.2482
2023-09-30,49.76500,15.75400,34.01100,3.29700,,26.17800,7.83300,2.56700,10.40000,10.40000,10.40000,7.50500,30.86700,7.83300,44.05690,44.13960,0.17000,0.17000,0.62250,1.77850,15.74000,15.74000,20.89820,15.08090,0.03370,2.07170,2.33350,0.70440,0.78210,11.09370,0.507,0.3399
2023-06-30,49.89900,15.69000,34.20900,3.84200,,27.25900,6.95000,-9.58400,-2.63400,-2.63400,-2.63400,-3.60200,30.26800,6.95000,42.64650,42.64650,-0.08000,-0.08000,0.62610,1.84950,13.92810,13.92810,-5.27870,-7.21860,0.03330,-0.58200,-0.59990,-0.17550,-0.19720,11.58640,0.4896,0.2658
2023-03-31,49.40000,15.95400,33.44600,3.44700,,27.24700,6.19900,-9.53500,-3.33600,-3.33600,-3.33600,-4.30400,29.83300,6.19900,42.60480,42.60480,-0.10000,-0.10000,0.62500,1.84110,12.54860,12.54860,-6.75300,-8.71260,0.03280,-0.73200,-0.76440,-0.22140,-0.24890,11.67800,0.43660,0.22610
2022-12-31,47.32600,14.23200,33.09400,4.16300,,27.71600,5.37800,-8.91400,-3.53600,-3.53600,-3.53600,-4.49400,28.97800,5.37800,39.77910,39.77910,-0.10000,-0.10000,0.61590,1.75190,11.36380,11.36370,-7.47160,-9.49580,0.03110,-0.74230,-0.78140,-0.23240,-0.25960,12.21080,0.3848,-0.2078
2022-09-30,47.79000,14.49500,33.29500,4.07800,,28.93800,4.35700,-8.98300,-4.62600,-4.62600,-4.62600,-7.99000,29.24100,4.35700,41.12840,41.12840,-0.19000,-0.19000,0.60930,1.68450,9.11700,9.11700,-9.67980,-16.71900,0.03120,-0.94080,-1.00070,-0.30210,-0.33540,12.57800,0.5191,-0.1814
2022-06-30,45.61400,13.79900,31.81500,4.14600,,28.35400,3.46100,-7.92500,-4.46400,-4.46400,-4.46400,-6.56800,27.65100,3.46100,39.10660,39.10660,-0.17000,-0.17000,0.61090,1.64540,7.58760,7.58760,-9.78650,-14.39910,0.03040,-1.01610,-0.98460,-0.29770,-0.32400,13.35880,0.5174,-0.745
