Date,revenue,cost-goods-sold,gross-profit,selling-general-administrative-expenses,operating-expenses,operating-income,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,net-income,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,long-term-debt-capital,debt-equity-ratio,pre-tax-profit-margin,net-profit-margin,asset-turnover,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2024-09-30,72.27500,24.34600,47.92900,33.62300,33.62300,14.30600,14.30600,3.09400,11.21200,11.21200,11.21200,16.38610,17.05700,0.68000,0.66000,0.19930,0.24890,30.15980,23.63710,0.01090,2.53020,2.82170,0.25850,2.02590,27.04110,1.0316,0.987
2024-06-30,71.91700,23.32000,48.59700,34.34700,34.34700,14.25000,14.25000,3.11600,11.13400,11.13400,11.13400,16.42500,16.93200,0.68000,0.66000,0.20870,0.26380,30.43440,23.77940,0.01110,2.66370,3.00770,0.26380,2.10770,25.44970,1.074,1.0144
2024-03-31,70.13600,23.35900,46.77700,32.76000,32.76000,14.01700,14.01700,3.14300,10.87400,10.87400,10.87400,16.42990,16.93890,0.66000,0.64000,0.21240,0.26970,30.50690,23.66640,0.01090,2.66060,3.01800,0.25770,2.09550,24.87290,1.13110,1.10310
2023-12-31,66.38200,22.07400,44.30800,31.19700,31.19700,13.11100,13.11100,2.78700,10.32400,10.32400,10.32400,16.84380,17.33320,0.65000,0.60000,0.21300,0.27060,29.99680,23.62040,0.01040,2.53590,2.87740,0.24550,1.99580,24.79830,0.3821,0.3836
2023-09-30,68.80500,20.83900,47.96600,30.78900,30.78900,17.17700,17.17700,3.68300,13.49400,13.49400,13.49400,16.84260,17.35420,0.80000,0.78000,0.24790,0.32950,35.29570,27.72780,0.01160,3.63020,4.19030,0.32230,2.73040,22.39250,1.5156,1.447
2023-06-30,97.93300,16.24000,81.69300,44.19900,44.19900,37.49400,37.49400,7.81100,29.68300,29.68300,29.68300,17.04800,17.38700,1.74000,1.71000,0.23800,0.31230,48.07360,38.05860,0.01880,7.57160,8.64830,0.71520,5.76960,23.12580,0.0346,-0.0602
2023-03-31,58.13900,13.13300,45.00600,33.37100,33.37100,11.63500,11.63500,2.39100,9.24400,9.24400,9.24400,17.04670,17.56080,0.54000,0.53000,0.24960,0.33260,26.44560,21.01100,0.01080,2.51220,2.90080,0.22780,1.88510,21.56500,1.44500,1.39270
2022-12-31,58.90400,9.90600,48.99800,32.95600,32.95600,16.04200,16.04200,3.42100,12.62100,12.62100,12.62100,17.37310,18.01980,0.74000,0.71000,0.25520,0.34270,32.90670,25.88920,0.01240,3.53520,4.12880,0.32000,2.63280,20.96750,0.2143,0.1632
2022-09-30,62.04500,6.00600,56.03900,36.61900,36.61900,19.42000,19.42000,3.96200,15.45800,15.45800,15.45800,17.28650,17.90190,0.89000,0.86000,0.26350,0.35780,34.17750,27.20470,0.01420,4.52250,5.34610,0.38720,3.33070,20.02920,1.6807,1.608
2022-06-30,59.58700,3.64700,55.94000,36.05600,36.05600,19.88400,19.88400,4.00100,15.88300,15.88300,15.88300,17.49070,18.02060,0.91000,0.88000,0.25130,0.33570,35.54520,28.39290,0.01410,4.36080,5.08910,0.39960,3.26490,20.91190,1.1242,1.096
2022-03-31,56.77700,3.13300,53.64400,35.83900,35.83900,17.80500,17.80500,3.52700,14.27800,14.27800,14.27800,17.71610,18.39240,0.81000,0.78000,0.24000,0.31570,31.94930,25.62040,0.01390,3.68880,4.24140,0.35700,2.80360,21.90170,3.83940,3.77000
2021-12-31,57.52800,3.15100,54.37700,36.13200,36.13200,18.24500,18.24500,3.63100,14.61400,14.61400,14.61400,17.95360,18.49220,0.81000,0.79000,0.23070,0.29990,33.55280,26.87530,0.01390,3.58690,4.03340,0.37450,2.75950,22.94070,0.9977,1.0384
2021-09-30,60.22900,3.26000,56.96900,38.06300,38.06300,18.90600,18.90600,3.71600,15.19000,15.19000,15.19000,17.93120,18.46370,0.85000,0.82000,0.23470,0.30660,33.18650,26.66360,0.01510,3.81390,4.28670,0.40250,2.91890,22.34490,0.4781,0.4214
2021-06-30,55.26600,3.42300,51.84300,34.77100,34.77100,17.07200,17.07200,3.42200,13.65000,13.65000,13.65000,18.03960,18.55310,0.76000,0.74000,0.23710,0.32070,31.70290,25.34820,0.01450,3.47490,3.89320,0.36760,2.65110,21.80610,3.29,3.231
2021-03-31,59.48200,3.43800,56.04400,37.14600,37.14600,18.89800,18.89800,3.73800,15.16000,15.16000,15.16000,18.06920,18.51110,0.84000,0.82000,0.28180,0.43920,33.77360,27.09320,0.01500,4.04620,4.53260,0.40610,2.90590,20.75400,0.44020,0.43620
2020-12-31,60.15600,3.61900,56.53700,36.64500,36.64500,19.89200,19.89200,3.96800,15.92400,15.92400,15.92400,18.05440,18.33900,0.88000,0.86000,0.34740,0.60410,35.27200,28.23610,0.01570,4.30320,4.76870,0.44240,2.80830,20.47180,-1.5471,-1.553
2020-09-30,66.16300,3.23000,62.93300,42.05500,42.05500,20.87800,20.87800,4.14700,16.73100,16.73100,16.73100,18.05920,18.25620,0.93000,0.92000,0.35840,0.58060,36.71120,29.41920,0.01610,4.74550,5.25300,0.47230,3.04470,19.52310,2.3247,2.2892
2020-06-30,58.90300,3.55900,55.34400,48.34000,48.34000,7.00400,7.00400,1.38900,5.61500,5.61500,5.61500,18.06170,18.22460,0.31000,0.31000,0.41920,0.75010,16.59280,13.30220,0.01180,1.66850,1.84500,0.15660,0.96910,18.63530,-0.7045,-0.7734
2020-03-31,54.61200,5.53800,49.07400,40.24500,40.24500,8.82900,8.82900,1.74600,7.08300,7.08300,7.08300,18.04310,18.46190,0.39000,0.38000,0.33930,0.56680,20.60930,16.53360,0.01330,2.16680,2.37120,0.22020,1.43160,18.10420,0.23370,0.17560
2019-12-31,51.50400,6.14000,45.36400,32.61000,32.61000,12.75400,12.75400,2.64500,10.10900,10.10900,10.10900,16.81870,17.04060,0.59000,0.57000,0.35410,0.66960,28.68130,22.73320,0.01370,3.30160,3.65290,0.31230,2.13250,16.97620,0.5652,0.5095
2019-09-30,47.78000,7.09700,40.68300,30.44800,30.44800,10.23500,10.23500,1.97700,8.25800,8.25800,8.25800,17.98540,18.36300,0.46000,0.45000,0.35950,0.59430,25.42040,20.51020,0.01440,2.76160,2.78460,0.29540,1.76870,16.60890,-0.0839,-0.1097
2019-06-30,46.21200,7.67200,38.54000,30.80500,30.80500,7.73500,7.73500,1.65500,6.08000,6.08000,6.08000,16.45940,16.56350,0.37000,0.37000,0.36570,0.60690,20.53630,16.14230,0.01360,2.08850,2.08850,0.21890,1.32470,16.19180,-0.6779,-0.749
2019-03-31,44.07900,7.45800,36.62100,30.64400,30.64400,5.97700,5.97700,1.20400,4.77300,4.77300,4.77300,14.77150,14.77160,0.32000,0.32000,0.51140,1.16470,16.59680,13.25360,0.01310,2.97620,2.97620,0.17380,1.45410,10.85710,1.98550,1.91580
2018-12-31,46.06200,7.00500,39.05700,36.30200,36.30200,2.75500,7.39100,1.52800,5.86300,5.86300,5.86300,14.77200,14.77200,0.40000,0.40000,0.53150,1.24920,18.26740,14.49090,0.01490,3.79290,3.79290,0.21610,1.77680,10.46440,-1.2374,-1.2691
2018-09-30,44.02600,5.94300,38.08300,32.06100,32.06100,6.02200,6.02200,1.10900,4.91300,4.91300,4.91300,14.77200,14.77200,0.33000,0.33000,,,17.37050,14.17160,,,,,,,1.6583,1.6005
2018-06-30,41.37600,4.96900,36.40700,29.96200,29.96200,6.44500,6.44500,-6.56800,13.01300,13.01300,13.01300,14.77150,14.77150,0.88000,0.88000,,,18.48450,37.32180,,,,,,,0.3444,0.2793
2018-03-31,38.75100,4.56500,34.18600,28.65500,28.65500,5.53100,5.53100,0.03000,5.50100,5.50100,5.50100,14.77200,14.77200,0.37000,0.37000,,,16.55590,16.46610,,,,,,,1.05710,1.00800
2017-12-31,,,,,,,,,,,,,,,0.00000,,,,,,,,,,,0,0
