Date,revenue,cost-goods-sold,gross-profit,research-development-expenses,selling-general-administrative-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,current-ratio,debt-equity-ratio,gross-margin,operating-margin,ebit-margin,pre-tax-profit-margin,net-profit-margin,asset-turnover,inventory-turnover,receiveable-turnover,days-sales-in-receivables,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2024-09-30,208.06700,190.92700,17.14000,0.94700,25.11800,26.06500,-8.92500,-4.58800,-13.51300,0.02400,-13.53700,-13.53700,-13.53700,-8.46200,-8.92500,27.43900,27.43900,-0.49000,-0.49000,1.22600,3.87630,8.23770,-4.28950,-4.28950,-6.49450,-6.50610,0.61470,0.74440,37.22800,2.41750,-20.91850,-20.91850,-3.99930,-20.91850,2.36520,1.4467,1.4146
2024-06-30,251.12200,229.25100,21.87100,0.96400,30.76800,31.73200,-9.86100,-3.97500,-13.83600,-0.05400,-13.78200,-13.78200,-13.78200,-9.37800,-9.86100,27.38500,27.38500,-0.50000,-0.50000,1.22310,3.91640,8.70930,-3.92680,-3.92680,-5.50970,-5.48820,0.61760,0.74490,37.23080,2.41740,-17.76790,-17.76790,-3.38940,-17.76790,2.83830,-1.9861,-1.9859
2024-03-31,285.35800,262.76300,22.59500,1.77300,34.40700,36.18000,-13.58500,-3.80700,-17.39200,0.12300,-17.51500,-17.51500,-17.51500,-12.60100,-13.58500,27.33900,27.33900,-0.64000,-0.64000,1.29830,2.88990,7.91810,-4.76070,-4.76070,-6.09480,-6.13790,0.77180,0.98740,65.64480,1.37100,-19.88060,-19.88060,-4.73730,-19.88060,3.22710,0.08730,0.07550
2023-12-31,240.45800,223.76590,16.69210,1.23600,26.70700,27.94300,-11.25090,-4.19800,-15.44900,-0.00800,-15.44100,-15.44100,-15.44100,-9.81590,-11.25090,26.38500,26.38500,-0.38000,-0.38000,1.34630,2.52740,6.94180,-4.67890,-4.67890,-6.42480,-6.42150,0.63330,0.80930,24.20310,3.71850,-15.17160,-15.17160,-4.06670,-15.17160,3.73720,-0.2379,-0.2394
2023-09-30,234.22800,210.25500,23.97300,2.15600,41.35900,43.51500,-19.54200,-0.43800,-19.98000,0.00600,-19.98600,-19.98600,-19.98600,-18.26600,-19.54200,27.27600,27.27600,-0.73000,-0.73000,1.35700,2.39350,10.23490,-8.34320,-8.34320,-8.53020,-8.53270,0.55480,0.72600,60.46150,1.48860,-17.34640,-17.34640,-4.73440,-17.34640,4.23080,-3.475,-3.475
2023-06-30,230.14700,207.91600,22.23100,2.31200,41.75300,44.06500,-21.83400,-0.46700,-22.30100,0.04300,-22.34400,-22.34400,-22.34400,-20.57000,-21.83400,27.25800,27.25800,-0.82000,-0.82000,1.58440,1.43560,9.65950,-9.48700,-9.48700,-9.68990,-9.70860,0.65180,0.98480,155.60990,0.57840,-16.77340,-16.77340,-6.32790,-16.77340,4.89300,-4.3942,-4.3944
2023-03-31,609.57900,602.29400,7.28500,2.24100,56.83000,59.07110,-51.78610,-7.53900,-59.32500,0.12200,-59.44700,-59.44700,-59.44700,-50.69010,-51.78610,23.66100,23.66100,-2.51000,-2.51000,1.81650,1.01120,1.19510,-8.49540,-8.49540,-9.73210,-9.75210,1.80370,3.48850,253.56860,0.35490,-38.72740,-38.72740,-17.59040,-38.72740,5.78790,18.02300,18.01990
2022-12-31,677.21400,722.07410,-44.86010,2.97800,62.06100,65.03910,-109.89920,-10.91400,-120.81300,0.32400,-121.13700,-121.13700,-121.13700,-108.85320,-109.89920,16.34300,16.34300,-7.48870,-7.28880,1.16480,5.46510,-6.62420,-16.22810,-16.22810,-17.83970,-17.88760,0.82080,1.08630,288.17620,0.31230,-99.39280,-99.39290,-14.68200,-99.39280,7.39590,24.2659,24.2562
2022-09-30,821.73200,819.57300,2.15900,2.68700,69.68300,72.37000,-70.21100,-13.28500,-83.49600,-3.47400,-80.02200,-80.02200,-80.02200,-69.08200,-70.21100,16.47700,16.47700,-4.86000,-4.86000,1.20000,4.75440,0.26270,-8.54430,-8.54430,-10.16100,-9.73820,0.57160,0.69220,90.09230,0.99900,-33.20420,-33.20420,-5.56640,-33.20420,14.61680,0.8917,0.8777
2022-06-30,1079.53100,986.55000,92.98100,3.24300,81.36000,84.60300,8.37810,4.79000,13.16800,1.61000,11.55800,11.55800,11.55800,9.33710,8.37810,16.39000,17.38300,0.71000,0.66000,1.26480,3.58320,8.61310,0.77610,0.77610,1.21980,1.07070,0.70710,0.76510,83.49690,1.07790,3.62680,3.62680,0.75700,3.62680,19.34610,-22.6308,-22.6505
