Date,revenue,gross-profit,selling-general-administrative-expenses,other-operating-income-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,current-ratio,long-term-debt-capital,debt-equity-ratio,gross-margin,operating-margin,ebit-margin,pre-tax-profit-margin,net-profit-margin,asset-turnover,receiveable-turnover,days-sales-in-receivables,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2024-06-30,7.78400,7.78400,4.91200,-0.22800,2.58500,0.20300,2.78800,0.75900,2.02900,2.02900,2.02900,2.72300,2.58500,7.67900,7.73200,0.26000,0.26000,17.38590,0.30410,0.43700,100.00000,33.20920,33.20920,35.81710,26.06630,0.05210,2.44860,36.75620,2.25040,2.25040,1.35760,1.56610,11.73850,0.4581,0.4457
2024-03-31,6.94000,6.94000,4.76300,-0.20100,1.91900,0.20300,2.12200,0.58200,1.54000,1.54000,1.54000,2.05400,1.91900,7.67600,7.70000,0.20000,0.20000,20.01450,0.30660,0.44220,100.00000,27.65130,27.65130,30.57640,22.19020,0.04710,2.24600,40.07200,1.73190,1.73190,1.04520,1.20090,11.58140,0.2431,0.234
2023-12-31,6.14400,6.14400,4.50100,-0.14900,1.42500,0.21900,1.64400,0.44400,1.20000,1.20000,1.20000,1.57000,1.42500,7.67200,7.67400,0.16000,0.16000,22.62190,0.30800,0.44510,100.00000,23.19340,23.19340,26.75780,19.53130,0.04240,2.30110,39.11130,1.36110,1.36110,0.82760,0.94190,11.48830,0.05420,0.04820
2023-09-30,6.25800,6.25800,4.29400,-0.14300,1.75500,0.19800,1.95300,0.61200,1.34100,1.34100,1.34100,1.89600,1.75500,7.58000,7.60400,0.17000,0.17000,15.19590,0.30860,0.44630,100.00000,28.04410,28.04410,31.20810,21.42860,0.04290,2.45800,36.61550,1.52820,1.52820,0.92030,1.05660,11.43950,0.3274,0.3205
2023-06-30,5.70100,5.70100,4.14400,-0.11600,1.38200,0.14600,1.52800,0.41200,1.11600,1.11600,1.11600,1.51600,1.38200,7.57700,7.60600,0.15000,0.15000,17.86070,0.30900,0.44710,100.00000,24.24140,24.24140,26.80230,19.57550,0.03950,2.64300,34.05190,1.27650,1.27650,0.77290,0.88210,11.53670,0.3539,0.3474
2023-03-31,5.91600,5.91600,4.13600,-0.13200,1.59200,0.01800,1.61000,0.41500,1.19500,1.19500,1.19500,1.71900,1.59200,7.57000,7.61100,0.16000,0.16000,23.12940,0.30940,0.44800,100.00000,26.91010,26.91010,27.21430,20.19950,0.04140,2.70510,33.27080,1.37220,1.37220,0.83580,0.94760,11.49540,0.2611,0.2547
2022-12-31,6.14500,6.14500,4.39600,-0.09500,1.60500,-0.09600,1.50900,0.39000,1.11900,1.11900,1.11900,1.72700,1.60500,7.57200,7.58100,0.15000,0.15000,22.40370,0.31010,0.44940,100.00000,26.11880,26.11880,24.55660,18.20990,0.04320,2.63510,34.15460,1.29130,1.29130,0.78680,0.89090,11.44110,-0.00420,-0.01270
2022-09-30,6.47900,6.47900,4.29300,-0.08600,2.04800,-0.35300,1.69500,0.32100,1.37400,1.37400,1.37400,2.17100,2.04800,7.48300,7.55800,0.19000,0.19000,13.07120,0.31050,0.45040,100.00000,31.60980,31.60980,26.16150,21.20700,0.04510,2.69060,33.44960,1.59220,1.59220,0.95650,1.09770,11.39700,0.3215,0.3135
2022-06-30,6.90900,6.90900,4.40900,-0.11700,2.33100,-0.54500,1.78600,0.48500,1.30100,1.30100,1.30100,2.45500,2.33100,7.48100,7.57700,0.17000,0.17000,17.12260,0.31090,0.45130,100.00000,33.73860,33.73860,25.85030,18.83050,0.04850,2.81890,31.92790,1.51320,1.51320,0.91380,1.04270,11.49150,0.3556,0.3483
2022-03-31,7.74500,7.74500,4.84400,-0.17800,2.67300,-0.48900,2.18400,0.58200,1.60200,1.60200,1.60200,2.78800,2.67300,7.47900,7.54800,0.21000,0.21000,18.21010,0.31200,0.45350,100.00000,34.51260,34.51260,28.19880,20.68430,0.05480,2.66880,33.72240,1.87600,1.87600,1.13360,1.29070,11.41630,0.3153,0.3096
2021-12-31,8.53400,8.53400,5.53900,-0.15500,2.78700,-0.50600,2.28100,0.36800,1.91300,1.91300,1.91300,2.89500,2.78700,7.47300,7.52300,0.26000,0.25000,15.86960,0.31390,0.45740,100.00000,32.65760,32.65760,26.72840,22.41620,0.06080,2.65530,33.89500,2.26350,2.26350,1.36240,1.55300,11.30210,0.15410,0.14650
2021-09-30,8.51000,8.51000,5.46200,-0.12600,2.87100,0.00200,2.87100,0.87200,1.99900,1.99900,1.99900,2.92200,2.87100,7.36800,7.40900,0.27000,0.27000,3.54420,,,100.00000,33.73670,33.73670,33.73680,23.49000,0.08350,2.77020,32.48890,2.40090,2.40090,1.96160,2.40090,11.14620,0.4311,0.422
2021-06-30,8.52700,8.52700,5.31700,-0.11800,3.03600,0.00100,3.03700,0.79300,2.24400,2.24400,2.24400,3.09200,3.03600,7.36500,7.43200,0.30000,0.30000,3.91720,,,100.00000,35.60460,35.60460,35.61630,26.31640,0.08540,2.68060,33.57450,2.73040,2.73040,2.24840,2.73040,11.15600,0.48,0.4735
2021-03-31,7.93400,7.93400,5.18800,-0.12000,2.56300,,2.56300,0.67700,1.88600,1.88600,1.88600,2.62600,2.56300,7.36100,7.38300,0.26000,0.26000,3.89310,,,100.00000,32.30400,32.30400,32.30400,23.77110,0.08140,2.59450,34.68870,2.34080,2.34080,1.93610,2.34080,10.94270,0.348,0.339
2020-12-31,7.78900,7.78900,5.19700,-0.12100,2.40900,-0.00100,2.41000,0.63700,1.77300,1.77300,1.77300,2.47100,2.40900,7.35800,7.36700,0.24000,0.24000,3.75200,,,100.00000,30.92820,30.92820,30.94110,22.76290,0.08220,2.89770,31.05920,2.23530,2.23530,1.87190,2.23530,10.77680,0.14270,0.13370
2020-09-30,7.37100,7.37100,4.88300,-0.11400,2.31200,0.00000,2.31200,0.84400,1.46800,1.46800,1.46800,2.37400,2.31200,7.35200,7.37900,0.21000,0.20000,2.62800,,,100.00000,31.36620,31.36620,31.36620,19.91590,0.07780,2.65050,33.95610,1.87780,1.87780,1.54880,1.87780,10.62630,0.3389,0.3299
2020-06-30,6.89500,6.89500,4.44000,-0.10900,2.28300,0.00100,2.28400,0.50900,1.77500,1.77500,1.77500,2.34600,2.28300,7.26200,7.27900,0.24000,0.24000,2.64440,,,100.00000,33.11090,33.11090,33.12550,25.74330,0.07390,2.57280,34.98190,2.28840,2.28840,1.90230,2.28840,10.17380,0.3853,0.3803
2020-03-31,8.87900,8.87900,5.71000,-0.11500,2.99300,-0.22800,2.76500,0.79500,1.97000,1.97000,1.97000,3.05400,2.99300,7.36400,7.39300,0.27000,0.27000,2.42000,,,100.00000,33.70880,33.70880,31.14090,22.18720,0.09660,3.18020,28.30050,2.58120,2.58120,2.14350,2.58120,10.51100,0.5449,0.5401
2019-12-31,10.24400,10.24400,6.32100,-0.13900,3.73100,-0.13100,3.60000,0.97200,2.62800,2.62800,2.62800,3.78400,3.73100,7.50100,7.53800,0.35000,0.35000,3.03350,0.13460,0.21180,100.00000,36.42130,36.42130,35.14250,25.65400,0.09430,2.60460,34.55390,3.41640,3.41640,2.41860,2.95640,10.30320,0.17050,0.16600
2019-09-30,10.17300,10.17300,6.43700,-0.15700,3.51900,-0.13500,3.38400,0.97700,2.40700,2.40700,2.40700,3.57900,3.51900,7.75800,7.77200,0.32000,0.32000,2.55320,0.14730,0.23940,100.00000,34.59160,34.59160,33.26450,23.66070,0.09230,2.76220,32.58330,3.18690,3.18690,2.18410,2.71740,10.03430,0.5288,0.5254
2019-06-30,10.44200,10.44200,6.32100,-0.12600,3.93900,-0.16400,3.77500,1.11800,2.65700,2.65700,2.65700,3.99500,3.93900,7.70700,7.72500,0.34000,0.34000,2.94680,0.16000,0.24720,100.00000,37.72270,37.72270,36.15210,25.44530,0.09610,2.74000,32.84720,3.55780,3.55780,2.44640,2.98840,9.95890,0.6333,0.6216
2019-03-31,10.45600,10.45600,6.33800,-0.10600,3.95800,-0.21500,3.74300,0.84300,2.90000,2.90000,2.90000,4.01200,3.95800,7.91800,7.92200,0.37000,0.37000,3.49530,0.16780,0.25700,100.00000,37.85390,37.85390,35.79760,27.73530,0.09490,2.55590,35.21330,3.79990,3.79990,2.63320,3.16240,9.63720,0.4583,0.4543
2018-12-31,11.64400,11.64400,6.86100,-0.12300,4.60500,-0.23200,4.37300,1.30600,3.06700,3.06700,3.06700,4.66000,4.60500,7.91400,7.91700,0.39000,0.39000,3.15120,0.18240,0.28040,100.00000,39.54830,39.54830,37.55580,26.33970,0.10740,2.86730,31.38870,4.16010,4.16010,2.82870,3.40150,9.31110,0.23140,0.22420
2018-09-30,13.20400,13.20400,7.34400,-0.14100,5.65400,-0.24300,5.41100,1.75600,3.65500,3.65500,3.65500,5.71900,5.65400,7.80800,7.89100,0.47000,0.46000,2.55450,0.19780,0.30610,100.00000,42.82030,42.82040,40.98000,27.68100,0.12060,2.82620,31.84490,5.14930,5.14930,3.33850,4.13090,8.98820,0.8784,0.8676
2018-06-30,13.56700,13.56700,7.23800,-0.14000,6.12700,-0.27100,5.85600,1.63800,4.21800,4.21800,4.21800,6.18800,6.12700,7.80800,7.92450,0.54000,0.53000,2.50400,0.21440,0.33500,100.00000,45.16110,45.16110,43.16360,31.09010,0.12890,2.74580,32.77730,6.20160,6.20160,4.00610,4.87220,8.71090,0.8059,0.7989
2018-03-31,14.00600,14.00600,7.56500,-0.12300,6.26000,-0.28100,5.97900,1.42400,4.55500,4.55500,4.55500,6.28200,6.26000,7.80600,7.88600,0.58000,0.58000,2.33330,0.23450,0.37230,100.00000,44.69510,44.69510,42.68890,32.52180,0.13880,2.69450,33.40140,7.11360,7.11360,4.51400,5.44560,8.20080,0.7383,0.7177
2017-12-31,13.81300,13.81300,7.21300,-0.12000,6.43400,-0.28700,6.14700,-2.04000,8.18700,8.18700,8.18700,6.51700,6.43400,7.80000,7.84300,1.05000,1.04000,2.33720,0.25740,0.41760,100.00000,46.57930,46.57930,44.50160,59.27030,0.14250,2.62260,34.31770,13.73150,13.73150,8.44550,10.19640,7.63990,0.30600,0.29870
2017-09-30,13.24700,13.24700,7.37200,-0.06100,5.87000,-0.42200,5.44800,2.09000,3.35800,3.35800,3.35800,6.07100,5.87000,7.69200,7.79100,0.44000,0.42000,1.78430,0.29660,0.50370,100.00000,44.31190,44.31190,41.12630,25.34910,0.13620,2.69850,33.35170,6.51660,6.51660,3.45270,4.58380,6.62590,0.7435,0.7353
2017-06-30,13.17800,13.17800,6.73700,-0.08000,6.27000,-0.27800,5.99200,2.03200,3.96000,3.96000,3.96000,6.32400,6.27000,7.69000,7.78800,0.51000,0.51000,1.82300,0.31880,0.55480,100.00000,47.57930,47.57930,45.46970,30.05010,0.14110,2.68170,33.56050,8.13280,8.13280,4.24000,5.54020,6.33100,0.7611,0.7554
2017-03-31,13.23600,13.23600,6.96200,-0.07200,6.11100,-0.27800,5.83300,2.20500,3.62800,3.62800,3.62800,6.16600,6.11100,7.68900,7.77400,0.47000,0.47000,1.61370,0.34750,0.62700,100.00000,46.16950,46.16950,44.06920,27.41010,0.14830,2.59730,34.65100,8.10350,8.10350,4.06530,5.28760,5.82200,0.7356,0.731
2016-12-31,13.29400,13.29400,6.89800,-0.06100,6.24200,-0.26600,5.97600,1.98000,3.99600,3.99600,3.99600,6.29800,6.24200,7.68600,7.75600,0.52000,0.52000,1.35570,0.37920,0.71710,100.00000,46.95350,46.95350,44.95260,30.05870,0.15540,2.92630,30.75600,9.70330,9.70330,4.67130,6.02370,5.35600,0.30710,0.30300
2016-09-30,13.07000,13.07000,6.94500,-0.09300,5.94400,-0.27900,5.66100,2.12100,3.54000,3.54000,3.54000,5.94400,5.94400,7.60100,7.71800,0.47000,0.45670,0.90320,0.41010,0.80860,100.00000,45.47820,45.47820,43.31290,27.08490,0.15390,2.71730,33.12170,9.48270,9.48270,4.16770,5.59360,4.87220,-1.7037,-1.688
2016-06-30,12.99500,12.99500,6.54300,-0.23100,6.13300,-0.28000,5.85500,1.96100,3.89400,3.89400,3.89400,6.18400,6.13300,7.60000,7.73100,0.51000,0.50000,1.80910,0.44660,0.93630,100.00000,47.19510,47.19510,45.05580,29.96540,0.15920,3.05050,29.50370,11.49520,11.49520,4.76900,6.36090,4.45690,0.7058,0.7031
2016-03-31,12.19200,12.19200,6.35000,-0.30100,5.45200,-0.31000,5.14400,1.86100,3.28300,3.28300,3.28300,5.46800,5.45200,7.59800,7.69400,0.43000,0.43000,1.60530,0.48640,1.09270,100.00000,44.71790,44.71790,42.19160,26.92750,0.15680,2.52010,35.71360,10.93240,10.93240,4.22190,5.61500,3.95180,0.6343,0.6325
2015-12-31,13.15300,13.15300,6.65400,-0.15000,6.26100,-0.36100,5.90000,2.25000,3.65000,3.65000,3.65000,6.34900,6.26100,7.59450,7.68150,0.48000,0.47330,1.36700,0.52520,1.27000,100.00000,47.60130,47.60130,44.85670,27.75030,0.17660,2.97310,30.27140,13.67140,13.67140,4.90160,6.49130,3.51410,0.36360,0.35240
2015-09-30,12.47900,12.47900,6.15500,-0.30300,5.95300,-0.25600,5.69700,2.27100,3.42600,3.42600,3.42600,6.02100,5.95300,8.83100,8.94100,0.37000,0.37000,0.91690,0.57010,1.51550,100.00000,47.70410,47.70410,45.65270,27.45410,0.17060,3.07970,29.22350,14.83440,14.83440,4.68460,6.37750,3.05070,0.4518,0.4359
2015-06-30,11.96800,11.96800,5.74200,-0.48000,5.67900,-0.24200,5.43700,2.13400,3.30300,3.30300,3.30300,5.74600,5.67900,8.66400,8.78250,0.38000,0.37330,2.13950,0.30990,0.53270,100.00000,47.45150,47.45150,45.42950,27.59860,0.14460,3.02070,29.79450,7.35930,7.35930,3.99090,5.07830,4.96620,0.6919,0.6843
2015-03-31,10.55800,10.55800,5.31500,-0.75800,4.42000,-0.24900,4.17100,1.57700,2.59400,2.59400,2.59400,4.48500,4.42000,8.66400,8.79450,0.30000,0.29330,1.99130,0.33560,0.59480,100.00000,41.86400,41.86400,39.50560,24.56910,0.13680,2.67430,33.65410,6.21010,6.21010,3.36080,4.12610,4.62200,0.2739,0.2721
2014-12-31,9.73400,9.73400,5.04500,-0.86200,3.76200,-0.26400,3.49800,1.43200,2.06600,2.06600,2.06600,3.82700,3.76200,8.66400,8.76000,0.24000,0.23330,1.98510,0.35920,0.65600,100.00000,38.64800,38.64800,35.93590,21.22460,0.12880,2.88840,31.15880,5.25630,5.25630,2.73280,3.36820,4.34910,0.19790,0.19430
