Date,revenue,cost-goods-sold,gross-profit,other-operating-income-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,current-ratio,long-term-debt-capital,debt-equity-ratio,gross-margin,operating-margin,ebit-margin,pre-tax-profit-margin,net-profit-margin,asset-turnover,receiveable-turnover,days-sales-in-receivables,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2024-09-30,461.14200,391.80000,69.34200,-0.45200,35.43100,33.91100,-17.32000,16.59100,4.33500,12.25600,12.25600,3.20900,86.18100,33.91100,73.49500,75.16500,0.04000,0.04000,2.16160,0.47080,0.91070,15.03700,7.35370,7.35370,3.59780,0.69590,0.14080,2.31640,38.85320,1.09460,3.79030,0.37420,0.57920,15.13510,0.7216,0.2101
2024-06-30,459.71400,389.72400,69.99000,-0.66900,35.14400,34.84600,-25.44500,9.40100,2.45600,6.94500,6.94500,-2.98200,91.92600,34.84600,73.41900,73.41900,-0.04000,-0.04000,2.11880,0.47840,0.93940,15.22470,7.57990,7.57990,2.04500,-0.64870,0.14240,2.35400,38.23230,0.63550,2.31650,0.21510,0.33150,14.77450,1.5662,0.9768
2024-03-31,431.70700,387.58900,44.11800,-0.41100,32.77900,11.33900,-7.79300,3.54600,-1.86400,5.41000,5.41000,-2.77900,59.90500,11.33900,69.30700,69.30700,-0.04000,-0.04000,1.85990,0.43050,0.77470,10.21940,2.62650,2.62650,0.82140,-0.64370,0.14540,2.27730,39.52100,0.50220,1.82680,0.18220,0.28600,14.57780,0.24650,-0.58180
2023-12-31,420.38300,356.59200,63.79100,-6.77100,39.45700,24.33410,-17.60600,6.72800,0.73200,5.99600,5.99600,-1.86000,72.13810,24.33410,63.58000,64.65800,0.01000,0.04000,1.32420,0.49960,1.02050,15.17450,5.78850,5.78850,1.60040,-0.44250,0.15620,2.56790,35.04810,0.73720,13.85370,0.22290,0.36890,11.96890,1.4984,0.7515
2023-09-30,401.96800,341.63500,60.33300,15.12800,17.08200,43.25100,-11.96500,31.28600,7.22000,24.06600,24.06600,17.54000,93.06900,43.25100,67.79300,68.81000,0.26000,0.25000,1.42150,0.51470,1.08060,15.00940,10.75980,10.75980,7.78320,4.36350,0.14950,2.39640,37.55580,3.02280,86.10690,0.89530,1.46700,11.73440,0.2646,-0.154
2023-06-30,403.71500,345.14700,58.56800,-1.94700,34.12700,24.44100,-10.49700,13.94400,-0.61400,14.55800,14.55800,8.36900,74.19300,24.44100,59.88100,60.91700,0.14000,0.12000,1.38790,0.52710,1.13580,14.50730,6.05400,6.05400,3.45390,2.07300,0.14920,2.31380,38.89700,1.91300,-53.31040,0.53810,0.90460,11.24580,1.0876,0.4921
2023-03-31,390.56400,351.86500,38.69900,-0.71300,32.02800,6.67100,-19.81900,-13.14800,1.13500,-14.28300,-14.28300,-21.00500,55.35300,6.67100,57.70100,57.70100,-0.36000,-0.36000,0.84170,0.63350,1.76090,9.90850,1.70800,1.70800,-3.36640,-5.37810,0.16180,2.21470,40.63830,-2.89660,4.80930,-0.59170,-1.06160,8.46230,0.56530,-0.40370
2022-12-31,383.87510,329.58890,54.28620,-2.01800,32.68590,21.60030,-14.35900,7.24100,2.27400,4.96700,4.96700,-0.93600,71.20830,21.60020,56.29300,57.32100,-0.01000,-0.02000,0.78670,0.63070,1.73310,14.14160,5.62690,5.62690,1.88630,-0.24380,0.15770,2.30750,39.00260,1.01070,-1.69850,0.20410,0.37320,8.51400,0.9452,0.5876
2022-09-30,350.04400,313.94300,36.10100,0.05200,29.17700,6.92400,1.71100,8.63500,2.18800,6.44700,6.44700,0.66800,55.24300,6.92400,56.74400,57.65200,0.01000,0.01000,0.79300,0.61610,1.62810,10.31330,1.97800,1.97800,2.46680,0.19080,0.15580,2.02920,44.35340,1.40640,-3.13960,0.28690,0.54000,8.00110,0.455,-0.0001
2022-06-30,354.37500,305.77500,48.60000,-0.18000,29.04200,19.55800,-2.32400,17.23400,3.40300,13.83100,13.83100,7.90500,67.24400,19.55800,56.06000,56.96700,0.14000,0.13000,0.78880,0.62050,1.65950,13.71430,5.51900,5.51900,4.86320,2.23070,0.15820,2.12980,42.25700,3.06410,-6.28220,0.61730,1.16300,7.87700,1.1381,0.5816
