Date,revenue,gross-profit,selling-general-administrative-expenses,other-operating-income-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,current-ratio,long-term-debt-capital,debt-equity-ratio,gross-margin,operating-margin,ebit-margin,pre-tax-profit-margin,net-profit-margin,asset-turnover,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2024-09-30,55.96500,55.96500,13.30200,-0.14700,25.63400,-6.02300,19.61100,19.61100,19.61100,18.73600,35.16000,42.51600,50.83860,56.44660,0.37000,0.35000,1.11090,0.48340,0.93590,100.00000,45.80360,75.96890,35.04160,33.47810,0.03080,2.28940,2.16310,1.07940,1.11740,17.82970,1.1103,1.1103
2024-06-30,58.26400,58.26400,13.63900,-0.15900,27.85000,-9.10400,18.74600,18.74600,18.74600,17.87100,57.45600,44.46600,50.79490,56.36580,0.35000,0.33000,1.85460,0.49870,0.99480,100.00000,47.79970,76.31810,32.17420,30.67250,0.03120,2.17770,2.05820,1.00430,1.03180,17.93120,1.2676,1.2676
2024-03-31,62.00700,62.00700,14.71400,-0.15100,29.27900,-0.01500,29.26400,29.26400,29.26400,28.38900,29.32500,47.14200,50.79490,56.33060,0.56000,0.52000,1.45460,0.50360,1.01460,100.00000,47.21890,76.02690,47.19470,45.78350,0.03270,3.37600,3.19190,1.54420,1.58440,18.04940,1.43800,1.43800
2023-12-31,62.68500,62.68500,14.71200,-0.11100,29.52700,0.06600,29.59300,29.59300,29.59300,28.71800,44.85800,47.86200,50.81800,56.31200,0.57000,0.52000,1.21910,0.51780,1.07380,100.00000,47.10380,76.35320,47.20910,45.81320,0.03230,3.42980,3.24200,1.52340,1.56330,17.97050,0.9734,0.9734
2023-09-30,60.50100,60.50100,14.21500,-0.10300,27.96100,2.02600,29.98700,29.98700,29.98700,29.11200,46.17900,46.18300,50.79490,55.99350,0.57000,0.54000,1.17460,0.52540,1.10680,100.00000,46.21580,76.33430,49.56450,48.11820,0.03090,3.50130,3.30820,1.53250,1.57020,17.84510,0.8074,0.8074
2023-06-30,60.06500,60.06500,14.26000,-0.10700,27.82500,-23.11200,4.71300,4.71300,4.71300,3.83800,58.63600,45.69800,50.79490,50.79490,0.08000,0.08000,1.18410,0.53550,1.15280,100.00000,46.32480,76.08090,7.84650,6.38970,0.03030,0.55470,0.52390,0.23770,0.24330,17.71200,1.8604,1.8604
2023-03-31,58.37500,58.37500,13.87800,-0.12300,27.09300,0.89400,27.98700,27.98700,27.98700,27.11200,28.65000,44.37400,50.88710,56.28940,0.53000,0.50000,0.96330,0.54340,1.19010,100.00000,46.41200,76.01540,47.94350,46.44450,0.02840,3.22360,3.04810,1.36160,1.39180,18.07640,0.45400,0.45400
2022-12-31,56.03600,56.03600,14.32600,-0.12100,26.35100,-13.89200,12.45900,12.45900,12.45900,11.58400,48.74800,41.58900,52.11200,57.48200,0.24000,0.23000,0.64790,0.54010,1.17420,100.00000,47.02510,74.21840,22.23390,20.67240,0.02740,1.43630,1.35800,0.61020,0.62460,17.96760,-0.3509,-0.3509
2022-09-30,59.14300,59.14300,15.43100,-0.17300,31.60200,6.22800,37.83000,37.83000,37.83000,36.95500,38.32700,43.53900,51.86300,57.18300,0.71000,0.66000,1.18830,0.53130,1.13360,100.00000,53.43320,73.61650,63.96360,62.48420,0.02880,4.27140,4.04320,1.84170,1.89500,18.12680,1.323,1.323
2022-06-30,44.56800,44.56800,13.16600,-0.18600,22.04600,-17.38100,4.66500,4.66500,4.66500,3.79000,53.39300,31.21600,52.42100,52.42100,0.07000,0.07000,0.99460,0.53820,1.16560,100.00000,49.46600,70.04130,10.46720,8.50390,0.02180,0.53220,0.50350,0.22800,0.23250,17.76660,-1.5926,-1.5926
2022-03-31,47.50900,47.50900,13.86100,-0.16000,25.87200,4.81100,30.68300,30.68300,30.68300,29.80800,36.33900,33.48800,52.89200,58.19400,0.56000,0.53000,1.76980,0.51170,1.04800,100.00000,54.45710,70.48770,64.58360,62.74180,0.02390,3.40720,3.22800,1.54500,1.57620,18.05500,0.87300,0.87300
2021-12-31,43.97200,43.97200,13.28100,1.31800,22.80500,11.15600,33.96100,33.96100,33.96100,33.08600,29.04500,32.00900,54.24400,59.53200,0.61000,0.57000,0.08600,,,100.00000,51.86260,72.79410,77.23330,75.24330,0.02160,3.77850,3.57940,1.67180,3.57940,17.85410,1.5801,1.5801
2021-09-30,43.76200,43.76200,13.40500,-0.58900,22.24900,25.37100,47.62000,47.62000,47.62000,46.74500,13.95700,29.76800,53.95500,59.23100,0.87000,0.80000,1.21610,0.52930,1.12430,100.00000,50.84090,68.02250,108.81590,106.81640,0.02140,5.32430,5.04240,2.32960,2.37360,17.58190,-0.8152,-0.8152
2021-06-30,42.65600,42.65600,13.17000,-0.65500,21.77600,21.09200,42.86800,42.86800,42.86800,41.99300,9.87300,28.83100,54.53800,59.80500,0.77000,0.72000,1.64550,0.51980,1.08260,100.00000,51.05030,67.58960,100.49700,98.44570,0.02170,4.90010,4.63520,2.18470,2.22570,17.06020,-0.0329,-0.0329
2021-03-31,40.84800,40.84800,12.43500,-0.63500,20.80300,15.10100,35.90400,35.90400,35.90400,35.02900,14.17200,27.77800,55.03900,60.30600,0.64000,0.60000,0.73800,0.50940,1.03840,100.00000,50.92780,68.00330,87.89660,85.75450,0.02150,4.17240,3.94320,1.88560,1.93450,16.61260,0.53510,0.53510
2020-12-31,43.51400,43.51400,12.91400,2.01100,21.94300,16.22000,38.16300,38.16300,38.16300,37.29800,5.19400,32.61100,56.42100,56.42100,0.63000,0.71000,1.83300,0.52190,1.09160,100.00000,50.42740,74.94370,87.70280,85.71490,0.02260,4.48260,4.23390,1.98500,2.02430,16.29360,3.0496,3.0496
2020-09-30,42.78400,42.78400,13.05800,-0.81400,21.62100,11.98700,33.60800,33.60800,33.60800,32.75200,14.09300,28.91200,56.30900,61.57200,0.58000,0.55000,0.96690,0.54560,1.20060,100.00000,50.53530,67.57670,78.55270,76.55200,0.02130,3.97620,3.75420,1.67340,1.70600,15.89840,-0.1982,-0.1982
2020-06-30,45.27500,45.27500,13.13100,-0.90900,21.79200,34.36600,56.15800,56.15800,56.15800,55.60400,-50.60800,31.23500,56.30900,59.54700,0.99000,0.94000,0.75680,0.53970,1.17260,100.00000,48.13250,68.98950,124.03750,122.81390,0.02310,6.73920,6.35770,2.86720,2.92630,15.68670,2.736,2.736
2020-03-31,50.54500,50.54500,13.65600,-0.68600,24.02400,-145.12400,-121.10000,-121.10000,-121.10000,-121.10000,182.07100,36.20300,57.11200,57.11200,-2.12000,-2.12000,1.00300,0.61260,1.58160,100.00000,47.52990,71.62530,-239.58850,-239.58850,0.02380,-15.16530,-15.16530,-5.69390,-5.87440,14.18130,-0.17880,-0.17880
2019-12-31,53.46500,53.46500,14.44800,-1.37900,25.61200,1.22400,26.83600,26.83600,26.83600,26.83600,14.11500,37.63800,60.19000,60.19000,0.46000,0.46000,0.69040,0.55190,1.23140,100.00000,47.90420,70.39750,50.19360,50.19360,0.02440,2.80570,2.80570,1.22680,1.25740,16.55830,0.5697,0.5697
2019-09-30,55.77900,55.77900,14.80400,-0.63300,26.80400,-35.79300,-8.98900,-8.98900,-8.98900,-8.98900,65.88900,40.34200,59.58800,59.58800,-0.15000,-0.15000,1.57400,0.55140,1.22900,100.00000,48.05390,72.32470,-16.11540,-16.11540,0.02510,-0.91860,-0.91860,-0.40380,-0.41210,16.58280,-0.9795,-0.9795
2019-06-30,56.86700,56.86700,15.04500,-0.75900,28.03100,-18.27400,9.75700,9.75700,9.75700,9.75700,51.92300,41.06300,60.59600,60.59600,0.16000,0.16000,1.23170,0.51630,1.06720,100.00000,49.29220,72.20880,17.15760,17.15760,0.02620,0.95040,0.95040,0.44910,0.45980,17.05810,1.2063,1.2063
2019-03-31,55.18700,55.18700,14.91300,-0.66100,27.62200,6.10400,33.72600,33.72600,33.72600,33.72600,34.64600,39.61300,61.77300,61.77300,0.55000,0.55000,0.85210,0.51080,1.04420,100.00000,50.05170,71.77960,61.11220,61.11220,0.02490,3.18110,3.18110,1.52310,1.55620,17.30300,-2.32320,-2.32320
2018-12-31,56.31100,56.31100,15.14200,-0.69300,29.57100,-30.73100,-1.16000,-1.16000,-1.16000,-1.16000,72.96100,40.47600,62.53400,62.53400,-0.02000,-0.02000,1.43290,0.47470,0.90360,100.00000,52.51370,71.87940,-2.06000,-2.06000,0.02700,-0.10910,-0.10910,-0.05560,-0.05730,17.08530,0.6825,0.6825
2018-09-30,51.28000,51.28000,14.51800,-0.67500,25.71500,-19.63500,6.08000,6.08000,6.08000,6.08000,52.10500,36.08700,62.56900,62.56900,0.10000,0.10000,2.63240,0.47520,0.90540,100.00000,50.14630,70.37250,11.85650,11.85650,0.02390,0.55040,0.55040,0.28310,0.28880,17.65640,-0.5539,-0.5539
2018-06-30,52.45200,52.45200,14.82900,-0.67400,28.24000,-15.13400,13.10600,13.10600,13.10600,13.10600,54.13100,36.94900,62.56900,62.56900,0.21000,0.21000,0.52600,0.43290,0.76330,100.00000,53.83970,70.44350,24.98670,24.98670,0.02580,1.16830,1.16830,0.64520,0.66260,17.92920,-0.8278,-0.8278
2018-03-31,47.48300,47.48300,13.90500,-0.62300,25.14000,-4.05100,21.08900,21.08900,21.08900,21.08900,37.11900,32.95500,62.50400,62.50400,0.34000,0.34000,0.76230,0.41380,0.70590,100.00000,52.94530,69.40380,44.41380,44.41380,0.02390,1.86320,1.86320,1.05940,1.09220,18.08970,1.15970,1.15970
2017-12-31,49.51000,49.51000,14.56500,-0.51800,26.61100,0.37200,26.98300,26.98300,26.98300,26.98300,30.24700,34.42700,52.99700,52.99700,0.45000,0.45000,0.53280,0.42520,0.73980,100.00000,53.74870,69.53550,54.50010,54.50010,0.02450,2.39360,2.39360,1.33490,1.37580,18.12150,-0.5661,-0.5661
