Date,revenue,cost-goods-sold,gross-profit,research-development-expenses,selling-general-administrative-expenses,other-operating-income-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,current-ratio,gross-margin,operating-margin,ebit-margin,pre-tax-profit-margin,net-profit-margin,asset-turnover,receiveable-turnover,days-sales-in-receivables,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2024-09-30,1.80290,0.71670,1.08620,0.84850,2.12240,,3.01810,-1.93190,1.35890,-0.57300,-0.57300,-0.57300,0.00980,-1.36550,-1.93190,3.02400,3.02400,0.00000,0.00000,0.49410,60.24710,-107.15160,-107.15160,-31.78270,0.54510,0.25850,2.01700,44.62160,-26.39570,25.03680,-8.21730,-26.39560,0.55890,0.2723,0.2731
2024-06-30,1.88170,0.77160,1.11000,0.86870,1.61740,3.49800,-0.94870,2.05870,0.02870,2.08750,2.08750,2.08750,2.37630,2.64590,2.05870,2.72300,2.72300,0.87000,0.87000,0.52720,58.99100,109.41170,109.41170,110.93880,126.28820,0.26100,2.24120,40.15690,68.91490,-118.00820,28.95900,68.91480,0.88490,-0.1916,-0.2008
2024-03-31,3.02900,0.66660,2.36240,1.06340,2.44070,,3.57780,-1.21530,-0.46810,-1.68340,-1.68340,-1.68340,-1.63480,-0.61340,-1.21530,2.72300,2.72300,-0.60000,-0.60000,0.47290,77.99210,-40.12250,-40.12250,-55.57540,-53.96930,0.30830,2.12800,42.29340,-169.72880,38.63150,-17.13640,-169.72730,0.28980,-0.31130,-0.31130
2023-12-31,1.74730,0.67410,1.07320,1.48540,2.18650,,3.80440,-2.73120,5.40220,2.67100,2.67100,2.67100,3.82540,-2.12840,-2.73120,2.57700,2.57700,1.62000,1.62000,0.46340,61.42010,-156.30680,-156.30680,152.86400,218.93000,0.17910,2.37460,37.90120,127.81830,-72.07090,27.37070,127.81810,0.61050,-1.2967,-1.2991
2023-09-30,1.69390,0.83150,0.86240,1.56680,1.88470,,3.52720,-2.66480,-0.86930,-3.53410,-3.53410,-3.53410,-3.56350,-2.16340,-2.66480,2.72000,2.72000,-1.31000,-1.31000,0.35790,50.91250,-157.31980,-157.31980,-208.64230,-210.37650,0.14840,2.40420,37.43460,-708.39200,47.09190,-30.96420,-708.38920,0.14590,-0.4424,-0.4433
2023-06-30,1.73910,0.86620,0.87300,1.78780,3.58900,0.01160,9.47470,-8.60170,0.40090,-8.20090,-8.20090,-8.20090,-8.21210,-4.08820,-8.60170,2.70400,2.70400,-3.04000,-3.04000,0.61160,50.19540,-494.60040,-494.60040,-471.55080,-472.19520,0.13040,1.70710,52.72210,-239.79550,160.03460,-61.49320,-239.79520,1.00000,-0.6801,-0.6822
2023-03-31,1.72940,1.24870,0.48060,2.39710,3.39750,,5.89200,-5.41140,0.15220,-5.25920,-5.25920,-5.25920,-5.10090,-4.90900,-5.41140,2.19200,2.19200,-2.33000,-2.33000,1.15990,27.79180,-312.91380,-312.91380,-304.11290,-294.96240,0.07830,1.92170,46.83440,-46.54720,307.65800,-23.79960,-46.54720,3.32410,-2.59290,-2.59980
2022-12-31,3.77060,1.48750,2.28310,2.70020,4.48610,,7.46830,-5.18520,0.33610,-4.84900,-4.84900,-4.84900,-4.93260,-4.51020,-5.18520,1.17100,1.17100,-4.13000,-4.13000,0.30350,60.55050,-137.51400,-137.51400,-128.59940,-130.81620,0.19950,2.08430,43.18100,-254.75600,42.32430,-25.65920,-254.75610,1.01030,-2.1677,-2.1887
2022-09-30,1.22310,0.60290,0.62030,2.63110,5.44900,,8.17270,-7.55250,-0.98420,-8.53670,-8.53670,-8.53670,-8.51530,-7.04760,-7.55250,1.16700,1.16700,-7.29000,-7.29000,0.59550,50.71250,-617.46530,-617.46530,-697.93320,-696.18110,0.05890,2.05470,43.80220,-122.85070,131.75070,-41.13020,-122.85060,3.72190,-4.1772,-4.2377
2022-06-30,2.00900,0.85620,1.15280,2.68160,4.88980,,7.83820,-6.68540,-0.80230,-7.48770,-7.48770,-7.48770,-7.40530,-6.04270,-6.68540,1.16700,1.16700,-6.34000,-6.34000,1.59860,57.38370,-332.77540,-332.77540,-372.70880,-368.60850,0.08040,1.36440,65.96290,-49.87300,-995.29970,-29.95600,-49.87300,8.03980,-5.5357,-5.6175
2022-03-31,3.32180,2.01380,1.30800,2.40430,5.11160,,16.91130,-15.60340,-0.36370,-15.96710,-15.96710,-15.96710,-15.13760,-5.74650,-15.60340,1.16700,1.16700,-12.97000,-12.97000,2.49250,39.37590,-469.72740,-469.72740,-480.67610,-455.70670,0.09890,1.20620,74.61300,-71.97730,-232.25290,-47.54710,-71.97730,11.87930,-4.78930,-4.87580
