Date,revenue,cost-goods-sold,gross-profit,research-development-expenses,selling-general-administrative-expenses,other-operating-income-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,current-ratio,long-term-debt-capital,debt-equity-ratio,gross-margin,operating-margin,ebit-margin,pre-tax-profit-margin,net-profit-margin,asset-turnover,receiveable-turnover,days-sales-in-receivables,roe,return-on-tangible-equity,roa,roi
2024-06-30,,,,,,,,,,,,,,,,,,,,0.00000,,,,,,,,,,,,,,,
2021-06-30,153.61500,142.49200,11.12300,0.69200,13.11700,0.40500,13.40400,-2.28100,-1.31900,-3.60000,1.73500,-5.33500,-5.33500,-4.79300,-2.28100,-2.28100,4.36320,4.36320,-1.10000,-1.10000,1.27270,0.00700,0.28290,7.24080,-1.48490,-1.48490,-2.34350,-3.12010,0.86100,2.30380,39.06530,-6.48320,-12.13580,-2.99040,-6.43790
2021-03-31,129.20100,132.59800,-3.39700,0.71900,6.74900,0.05400,7.41400,-10.81100,-3.30000,-14.11100,-1.12100,-12.99000,-12.99000,-12.29100,-10.81100,-10.81100,4.33010,4.33010,-2.80000,-2.80000,1.34550,0.02830,0.26140,-2.62920,-8.36760,-8.36760,-10.92170,-9.51310,0.78470,2.23930,40.19110,-16.26390,-29.20610,-7.88990,-15.80330
2020-09-30,113.34200,101.42600,11.91600,0.44600,15.20000,0.19300,15.45300,-3.53700,4.29100,0.75400,2.33000,-1.57600,-1.57600,-1.41500,-3.53700,-3.53700,4.01310,4.01310,-0.40000,-0.40000,1.74210,0.01250,0.26210,10.51330,-3.12060,-3.12060,0.66520,-1.24840,0.75360,2.55110,35.27920,-1.94150,-2.53230,-1.04790,-1.91720
2020-06-30,77.50400,68.96200,8.54200,0.38700,4.17400,0.20300,4.35800,4.18400,0.23000,4.41400,1.63000,2.78400,2.78400,2.92300,4.18400,4.18400,1.49730,3.91030,0.70000,0.70000,1.20830,-0.01130,-0.15740,11.02140,5.39840,5.39840,5.69520,3.77140,0.86390,2.48200,36.26060,-2.53780,-2.25550,3.10340,-2.56640
2019-12-31,,,,,,,,,,,,,,,,,,,,0.00000,,,,,,,,,,,,,,,
