Date,research-development-expenses,selling-general-administrative-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,current-ratio,long-term-debt-capital,debt-equity-ratio,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2024-09-30,28.35060,13.32670,-41.67730,-3.93480,-45.61210,0.25300,-45.86520,-45.86520,-45.86520,-41.62640,-41.67730,54.07000,54.07000,-0.84670,-0.84670,19.07510,0.00010,0.00040,-14.05410,-14.05410,-13.31870,-14.05330,6.01750,-0.6957,-0.702
2024-06-30,24.84190,12.18410,-37.02600,5.08460,-31.94130,0.07610,-32.01740,-32.01740,-32.01740,-36.95260,-37.02600,53.94000,53.94000,-0.59230,-0.59230,18.44700,0.00010,0.00040,-8.93450,-8.93450,-8.45000,-8.93330,6.63530,-0.547,-0.5478
2024-03-31,20.09960,10.63860,-30.73820,0.62780,-30.11040,0.30960,-30.42000,-30.42000,-30.42000,-30.66610,-30.73820,53.74800,53.74800,-0.56460,-0.56460,20.52560,0.00020,0.00050,-7.80100,-7.80100,-7.42030,-7.79950,7.24580,-0.48950,-0.49010
2023-12-31,20.03510,9.22880,-29.26380,-5.25090,-34.51480,0.80810,-35.32290,-35.32290,-35.32290,-29.19350,-29.26380,38.39200,38.39200,-0.81020,-0.81020,27.24540,0.00010,0.00060,-8.49810,-8.49810,-8.18590,-8.49710,7.94900,-0.781,-0.7819
2023-09-30,20.17440,8.34310,-28.51750,2.99200,-25.52550,0.15920,-25.68470,-25.68470,-25.68470,-28.44380,-28.51750,40.91000,40.91000,-0.63130,-0.63130,10.45870,0.00060,0.00190,-15.41100,-15.41100,-13.93570,-15.40130,4.06660,-0.4005,-0.4004
2023-06-30,16.00920,8.47610,-24.48530,0.71060,-23.77480,0.10270,-23.87740,-23.87740,-23.87740,-24.41700,-24.48530,34.55600,34.55600,-0.68700,-0.68700,11.88520,0.00060,0.00190,-12.60450,-12.60450,-11.54080,-12.59650,4.64040,-0.6417,-0.6429
2023-03-31,14.75330,7.86970,-22.62300,-1.60390,-24.22700,0.06510,-24.29210,-24.29210,-24.29210,-22.55660,-22.62300,33.82400,33.82400,-0.71800,-0.71800,7.95530,0.00120,0.00300,-17.52330,-17.52330,-15.31180,-17.50190,4.09760,-0.79990,-0.80050
2022-12-31,16.49210,7.82040,-24.31250,-15.96950,-40.28200,0.17620,-40.45820,-40.45820,-40.45820,-24.25890,-24.31250,33.58600,33.58600,-1.19680,-1.19680,9.15510,0.00170,0.00290,-25.72710,-25.72710,-22.89350,-25.68410,4.65040,-0.7132,-0.7141
2022-09-30,14.19030,8.35760,-22.54790,11.57770,-10.97020,-2.42120,-8.54890,-8.54890,-8.54890,-22.51290,-22.54790,33.78500,33.78500,-0.25180,-0.25180,11.43090,0.00050,0.00110,-4.58380,-4.58380,-4.18160,-4.58160,5.51990,-0.3933,-0.3947
2022-06-30,14.60260,8.15190,-22.75450,12.24020,-10.51430,2.91710,-13.43130,-13.43130,-13.43130,-22.71880,-22.75450,33.58200,33.58200,-0.40440,-0.40440,12.84540,0.00050,0.00110,-6.62270,-6.62270,-6.10470,-6.61910,6.00630,-0.3948,-0.3955
2022-03-31,15.16600,6.58170,-21.74770,3.80560,-17.94210,0.04340,-17.98550,-17.98550,-17.98550,-21.71080,-21.74770,33.13600,33.13600,-0.53870,-0.53870,19.84050,0.00060,0.00120,-8.39600,-8.39600,-7.96840,-8.39060,6.46160,-0.60560,-0.60650
2021-12-31,12.33790,6.38360,-18.72150,4.52890,-14.19260,-0.01630,-14.16920,-14.16920,-14.16920,-18.68190,-18.72150,30.41200,30.41200,0.73190,0.73190,30.30800,0.00070,0.00120,-5.84340,-5.84340,-5.64680,-5.83910,7.31420,-0.1094,-0.1113
2021-09-30,10.56110,5.15790,-15.71900,5.01690,-10.70210,0.08040,-10.78250,-10.78250,-10.78250,-15.68530,-15.71900,23.28200,23.28200,-0.45990,-0.45990,29.72460,0.00080,0.00080,-4.24460,-4.24460,-4.09870,-4.24120,7.66790,0.0197,0.019
2021-06-30,9.71220,5.62050,-15.33270,-2.98150,-18.31430,-0.00360,-18.31780,-18.31780,-18.31780,-15.31830,-15.33270,16.15400,16.15400,-1.13260,-1.13260,31.38690,0.00090,0.00090,-6.84110,-6.84110,-6.61780,-6.83520,8.08240,-0.2948,-0.2959
2021-03-31,9.73090,4.54720,-14.27810,7.01520,-7.26290,0.02240,-7.28530,-7.28530,-7.28530,-14.27440,-14.27810,9.10500,9.10500,-0.79570,-0.79570,28.86630,,,-2.56510,-2.56510,-2.47630,-2.56510,8.58170,-1.35050,-1.35190
2020-12-31,,,,,,,,,,,,,,,0.00000,,,,,,,,,0,0
