Date,revenue,gross-profit,research-development-expenses,selling-general-administrative-expenses,other-operating-income-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,current-ratio,gross-margin,operating-margin,ebit-margin,pre-tax-profit-margin,net-profit-margin,asset-turnover,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2024-09-30,0.03400,0.03400,39.50000,11.76900,0.73000,-50.50500,5.92200,-44.58300,-44.58300,-44.58300,-44.58300,-49.41200,-50.50500,256.30900,256.30900,-0.17000,-0.17000,13.42940,100.00000,-148544.10000,-148544.10000,-131126.50000,-131126.50000,0.00010,-8.40080,-8.40080,-7.19990,-8.40080,2.06850,-0.1356,-0.1358
2024-06-30,0.01300,0.01300,40.26100,12.25600,0.97600,-51.52800,5.71900,-45.80900,-45.80900,-45.80900,-45.80900,-50.38900,-51.52800,255.39800,255.39800,-0.18000,-0.18000,16.18650,100.00000,-396369.20000,-396369.20000,-352376.90000,-352376.90000,0.00000,-8.08630,-8.08630,-7.00290,-8.08630,2.21330,-0.1484,-0.1497
2024-03-31,0.00300,0.00300,43.17400,13.49400,1.09000,-55.57500,-5.09200,-60.66700,-60.66700,-60.66700,-60.66700,-54.91800,-55.57500,254.25200,254.25200,-0.24000,-0.24000,16.51050,100.00000,-1852500.00000,-1852500.00000,-2022233.00000,-2022233.00000,0.00000,-10.05820,-10.05820,-8.73890,-10.05820,2.36600,-0.16530,-0.16540
2023-12-31,0.01300,0.01300,46.99500,13.16700,0.64100,-59.50800,6.57800,-52.93000,-52.93000,-52.93000,-52.93000,-57.83500,-59.50800,250.98300,250.98300,-0.20000,-0.20000,16.06900,100.00000,-457754.10000,-457754.00000,-407154.10000,-407154.00000,0.00000,-8.08150,-8.08150,-7.05710,-8.08150,2.57900,-0.1625,-0.1627
2023-09-30,0.02500,0.02500,43.84900,15.50700,0.29200,-59.03900,8.18600,-50.85300,-50.85300,-50.85300,-50.85300,-56.22200,-59.03900,251.31800,251.31800,-0.20000,-0.20000,16.73670,100.00000,-236156.00000,-236156.00000,-203412.00000,-203412.00000,0.00000,-7.29000,-7.29000,-6.39670,-7.29000,2.76960,-0.1485,-0.1491
2023-06-30,0.02700,0.02700,47.47100,19.03000,0.56900,-65.90500,2.01500,-63.89000,-63.89000,-63.89000,-63.89000,-62.91800,-65.90500,250.20400,250.20400,-0.26000,-0.26000,17.63330,100.00000,-244092.60000,-244092.60000,-236629.60000,-236629.60000,0.00000,-8.67060,-8.67060,-7.64830,-8.67060,2.93540,-0.156,-0.1598
2023-03-31,0.06500,0.06500,44.63000,19.27900,1.28800,-62.55600,-4.40300,-66.95900,-66.95900,-66.95900,-66.95900,-59.37900,-62.55600,249.59100,249.59100,-0.27000,-0.27000,20.27460,100.00000,-96240.01000,-96240.01000,-103013.90000,-103013.90000,0.00010,-8.54260,-8.54260,-7.60510,-8.54260,3.14020,-0.18520,-0.19130
2022-12-31,48.38600,48.38600,38.03200,26.34800,1.21000,-14.78400,6.38700,-8.39700,-8.39700,-8.39700,-8.39700,-10.95100,-14.78400,247.08000,247.08000,-0.03000,-0.03000,17.58930,100.00000,-30.55430,-30.55430,-17.35420,-17.35420,0.05160,-1.00770,-1.00770,-0.89560,-1.00770,3.33880,-0.1655,-0.1845
2022-09-30,0.00300,0.00300,41.60700,26.08400,1.25100,-66.43700,-3.81700,-70.25400,-70.25400,-70.25400,-70.25400,-62.24400,-66.43700,248.32000,248.32000,-0.28000,-0.28000,12.88140,100.00000,-2214567.00000,-2214567.00000,-2341800.00000,-2341800.00000,0.00000,-8.56730,-8.56730,-7.18880,-8.56730,3.29010,-0.1464,-0.1571
2022-06-30,35.74100,35.74100,43.71900,30.45400,1.17100,-37.26100,0.93800,-36.32300,-36.32300,-36.32300,-36.32300,-32.85900,-37.26100,246.31200,246.31200,-0.15000,-0.15000,13.25840,100.00000,-104.25280,-104.25280,-101.62840,-101.62840,0.03500,-4.18450,-4.18450,-3.55520,-4.18450,3.51280,-0.1783,-0.2071
2022-03-31,0.55300,0.55300,35.83000,34.42100,1.12200,-68.57600,0.43200,-68.14400,-68.14400,-68.14400,-68.14400,-63.91400,-68.57600,244.17800,244.17800,-0.28000,-0.28000,15.24070,100.00000,-12400.72000,-12400.72000,-12322.61000,-12322.60000,0.00050,-7.73270,-7.73270,-6.35610,-7.73270,3.59070,-0.19600,-0.23580
2021-12-31,2.82200,2.82200,19.28500,31.87300,0.79800,-47.53800,-36.16800,-83.70600,-83.70600,-83.70600,-83.70600,-42.50600,-47.53800,135.91800,135.91800,3.02000,3.02000,13.39990,100.00000,-1684.55000,-1684.55100,-2966.19500,-2966.19500,0.00250,-9.00270,-9.00270,-7.42470,-9.00270,3.83040,-0.5403,-0.7914
2021-09-30,2.75500,2.75500,31.43300,21.24100,0.75800,-49.16100,0.28600,-48.87500,-48.87500,-48.87500,-48.87500,-44.51800,-49.16100,239.38400,239.38400,-0.20000,-0.20000,10.64670,100.00000,-1784.42800,-1784.42800,-1774.04700,-1774.04700,0.00230,-4.95450,-4.95450,-4.07860,-4.95450,4.11390,1.1927,1.9826
2021-06-30,2.62800,2.62800,46.44600,19.11200,0.22300,-62.70700,0.11200,-62.59500,-62.59500,-62.59500,-62.59500,-59.29800,-62.70700,42.71300,42.71300,-1.47000,-1.47000,13.11340,100.00000,-2386.11100,-2386.11100,-2381.84900,-2381.84900,0.00210,-6.12500,-6.12500,-5.08960,-6.12500,4.28400,0.3639,0.4542
2021-03-31,2.44500,2.44500,41.52900,16.83100,0.54500,-55.37000,0.32700,-55.04300,-55.04300,-55.04300,-55.04300,-52.92900,-55.37000,17.27200,17.27200,-3.19000,-3.19000,,100.00000,-2264.62200,-2264.62200,-2251.24800,-2251.24700,,,,,,,-1.94520,-3.05620
2020-12-31,,,,,,,,,,,,,,,,,0.00000,,,,,,,,,,,,,9.6554,11.57
2020-09-30,1.07000,1.07000,24.50100,13.57000,0.15800,-36.84300,1.12400,-35.71900,-35.71900,-35.71900,-35.71900,-35.55400,-36.84300,13.89300,13.89300,-2.57000,-2.57000,,100.00000,-3443.27100,-3443.27100,-3338.22400,-3338.22400,,,,,,,-0.5176,-1.2985
2020-06-30,3.11800,3.11800,97.15200,9.56200,1.03000,-102.56600,1.91000,-100.65600,-100.65600,-100.65600,-100.65600,-102.56600,-102.56600,12.31300,12.31300,-8.18000,-8.18000,,100.00000,-3289.48000,-3289.48000,-3228.22300,-3228.22300,,,,,,,-9.1378,-10.2715
2019-12-31,,,,,,,,,,,,,,,,,0.00000,,,,,,,,,,,,,0,0
