Date,revenue,cost-goods-sold,gross-profit,research-development-expenses,selling-general-administrative-expenses,other-operating-income-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,income-from-discontinued-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,current-ratio,debt-equity-ratio,gross-margin,operating-margin,ebit-margin,pre-tax-profit-margin,net-profit-margin,asset-turnover,inventory-turnover,receiveable-turnover,days-sales-in-receivables,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2024-09-30,,,,0.37700,0.89500,0.69700,,-0.58200,0.03100,-0.55100,,-0.55100,-0.55100,0.75000,0.19900,-0.57600,-0.58200,15.03500,15.03500,0.01000,0.01000,0.55670,,,,,,,,,,,32.75850,32.75860,-9.02830,32.75860,-0.11170,-0.042,-0.0354
2024-06-30,,,,0.47200,1.28400,-0.06900,,-1.84000,-0.06300,-1.90300,,-1.90300,-1.90300,-0.84400,-2.74700,-1.82500,-1.84000,14.59700,14.59700,-0.19000,-0.19000,0.51840,,,,,,,,,,,97.04240,97.04230,-31.37160,97.04230,-0.13070,-0.2287,-0.2292
2024-03-31,,,,0.60600,1.11900,0.01100,,-1.73700,-0.01000,-1.74700,,-1.74700,-1.74700,-2.81800,-4.56500,-1.71400,-1.73700,14.18600,14.18600,-0.32000,-0.32000,0.81460,,,,,,,,,,,-281.30560,-281.32070,-15.38530,-281.32050,0.04260,-0.10160,-0.10030
2023-12-31,0.30000,1.13300,-0.83300,1.97300,1.08200,1.51400,1.99100,-2.82400,0.04900,-2.77500,,-2.78600,-2.78600,,-1.29700,-2.36700,-2.82400,8.54000,8.54000,-0.02000,-0.02000,1.53600,,-277.66700,-941.33450,-941.33450,-925.00100,-432.33360,0.02010,,0.09420,955.80080,-54.48880,-54.48860,-18.68550,-54.48860,0.36300,-0.3781,-0.1203
2023-09-30,2.51200,3.32000,-0.80800,0.72600,1.20300,0.42800,1.54500,-2.35300,-0.24600,-2.59900,,-2.59900,-2.59900,-0.57800,-3.17700,-2.31600,-2.35300,8.37800,8.37800,-0.38000,-0.38000,1.06090,,-32.16560,-93.67040,-93.67040,-103.46340,-126.47290,0.20420,10.88530,0.79900,112.64330,-103.01190,-103.01230,-21.12320,-103.01230,0.29430,-0.1784,-0.1757
2023-06-30,4.97300,3.85900,1.11400,0.99900,1.25900,0.06300,2.22700,-1.11300,0.08000,-1.03300,,-1.03300,-1.03300,-0.45500,-1.48800,-1.08100,-1.11300,7.11500,7.11500,-0.21000,-0.21000,1.60120,,22.40100,-22.38090,-22.38090,-20.77220,-29.92160,0.32730,3.02670,1.70540,52.77300,-18.42020,-18.42010,-6.79960,-18.42010,0.70670,-0.2154,-0.2135
2023-03-31,4.21700,4.04600,0.17100,1.49000,1.52000,0.01300,3.00100,-2.83000,0.02000,-2.81000,,-2.81000,-2.81000,-0.45600,-3.26600,-2.82600,-2.83000,6.89000,6.89000,-0.47000,-0.47000,1.28100,,4.05500,-67.10930,-67.10930,-66.63510,-77.44840,0.31050,2.71540,1.79980,50.00470,-68.85580,-68.85570,-20.68920,-68.85570,0.58970,-0.38880,-0.38820
2022-12-31,4.58500,4.20300,0.38200,3.29500,1.23200,0.27800,4.37700,-3.99500,0.09300,-3.90200,0.13200,-4.03400,-4.03400,,-4.08000,-3.86700,-3.99500,6.64700,6.64700,-0.71850,-0.71850,1.83260,,8.33150,-87.13200,-87.13190,-85.10360,-88.98580,0.30680,3.06560,3.12970,28.75680,-62.25330,-62.25310,-26.99410,-62.25310,0.94780,-0.4996,-0.5004
2022-09-30,5.26800,4.37400,0.89400,2.90000,1.11200,0.31300,3.78800,-2.89400,0.15100,-2.74300,,-2.74300,-2.74300,,-2.69700,-2.80500,-2.89400,6.71500,6.71500,-0.40000,-0.40000,2.27130,,16.97040,-54.93550,-54.93550,-52.06910,-51.19590,0.28400,2.44900,2.97630,30.23920,-28.48390,-28.48390,-14.78790,-28.48390,1.43750,-0.4064,-0.4094
2022-06-30,5.92600,4.63900,1.28700,3.11000,1.47500,0.43100,4.24100,-2.95400,0.01200,-2.94200,-0.12900,-2.81300,-2.81300,,-2.81300,-2.86700,-2.95400,6.64200,6.64200,-0.42000,-0.42000,2.69980,,21.71790,-49.84810,-49.84810,-49.64560,-47.46880,0.27800,2.59890,3.54850,25.36280,-23.18460,-23.18470,-13.19540,-23.18470,1.81170,-0.4737,-0.4553
