Date,revenue,cost-goods-sold,gross-profit,selling-general-administrative-expenses,other-operating-income-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,income-from-discontinued-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,current-ratio,debt-equity-ratio,gross-margin,operating-margin,ebit-margin,pre-tax-profit-margin,net-profit-margin,asset-turnover,receiveable-turnover,days-sales-in-receivables,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2024-09-30,465.79400,219.49600,246.29800,4.04500,-26.85800,154.95600,91.34200,2.47100,93.81300,7.33100,86.48200,86.48200,,78.14700,221.62100,149.27900,102.38100,103.39500,0.76000,0.76000,0.08150,27.15170,52.87700,19.61000,32.04830,20.14050,16.77720,0.12460,2.80030,32.13960,73.05890,176.50110,2.31300,72.96090,1.15580,0.445,0.6881
2024-06-30,443.59400,205.85700,237.73700,6.52300,-329.09900,455.52800,-217.79100,-15.11200,-232.90300,-13.03300,-219.87000,-219.87000,,-228.20500,-94.31700,-162.59500,100.95900,100.95900,-2.26000,-2.26000,0.09860,44.23930,53.59340,-49.09690,-36.65400,-52.50360,-51.44460,0.12860,2.87950,31.25510,-316.77890,-964.38890,-6.37440,-316.05500,0.68060,-1.8551,-1.4102
2024-03-31,326.69400,142.80400,183.89000,8.57800,-26.27900,138.66300,45.22700,-0.03300,45.19400,5.57200,39.62200,39.62200,,31.28700,154.69400,92.93400,100.24600,100.96000,0.31000,0.31000,0.07160,15.16700,56.28820,13.84380,28.44680,13.83370,9.57690,0.10290,2.37770,37.85170,22.32890,31.34830,1.24760,22.30890,1.77170,-0.00340,-1.48830
2023-12-31,312.73700,135.22300,177.51400,8.33000,-29.84600,133.31600,44.19800,6.77600,50.97400,-67.38600,118.36000,118.36000,,110.02500,146.84900,87.86100,99.90800,100.42600,1.09000,1.10000,0.07830,14.31260,56.76140,14.13260,28.09420,16.29930,35.18130,0.10550,2.71580,33.13980,67.35560,98.09140,3.99230,67.29480,1.75450,0.1222,-1.2057
2023-09-30,291.09600,116.70700,174.38900,7.59200,-33.88700,129.88400,44.50500,0.50700,45.01200,3.70500,41.30700,41.30700,,32.97300,146.30900,84.69000,99.92800,100.48200,0.33000,0.33000,0.06730,23.97730,59.90770,15.28880,29.09350,15.46290,11.32720,0.11050,2.69970,33.33690,43.52550,77.07860,1.56840,43.45270,0.94840,0.4928,-0.4051
2023-06-30,274.34500,104.53200,169.81300,8.75100,-24.79700,113.23300,56.58000,0.02800,56.60800,1.85500,54.75300,54.75300,,46.41800,146.18600,95.07900,99.73200,100.46200,0.47000,0.46000,0.06160,23.79720,61.89760,20.62370,34.65670,20.63390,16.91960,0.10860,2.33390,38.56150,60.06320,117.40720,2.16790,59.95860,0.91560,0.2861,-0.5015
2023-03-31,292.71800,145.67000,147.04800,7.06400,-23.75400,114.29800,32.75000,-1.32700,31.42300,2.02600,29.39700,29.39700,,22.60600,122.82900,72.04200,99.72800,100.97400,0.23000,0.22000,0.07000,28.34440,50.23540,11.18820,24.61140,10.73490,7.72280,0.11990,2.57790,34.91150,39.72730,103.41220,1.20410,39.64210,0.74360,0.38320,0.62800
2022-12-31,274.29100,128.24600,146.04500,5.89800,-33.12000,118.33590,27.70910,-2.96500,24.74400,-2.05700,26.80100,26.80100,,20.01000,110.85610,64.70400,99.42100,99.42100,0.19000,0.20000,0.06740,112.13930,53.24460,10.10210,23.58960,9.02110,7.29520,0.11290,2.75830,32.62910,139.08850,-118.83480,1.10310,138.13520,0.19460,0.0065,-1.3633
2022-09-30,230.36500,95.94800,134.41700,3.35800,-31.88800,113.11800,21.29900,-21.25700,0.04200,4.18900,-4.14700,-4.14700,-14.78200,-22.84900,112.63800,61.47000,99.37880,99.37880,-0.23000,-0.23000,0.98310,0.01510,58.34960,9.24580,26.68370,0.01820,-9.91860,0.11410,2.77960,32.37880,-0.23130,-0.23510,-0.20550,-0.23130,17.04630,0.2723,0.9152
2022-06-30,112.06400,15.14100,96.92300,3.90600,-19.88600,114.20300,-17.28000,64.79800,47.51800,1.82900,45.68900,45.68900,-35.92900,11.44900,106.59300,30.60900,99.37030,99.80550,0.12000,0.11000,0.12350,5.07430,86.48900,-15.41980,27.31390,42.40260,10.21650,0.02300,0.67280,133.76800,6.62990,13.81970,0.93580,6.62860,6.94830,-0.506,-1.2725
