Date,revenue,gross-profit,selling-general-administrative-expenses,other-operating-income-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,current-ratio,gross-margin,operating-margin,ebit-margin,pre-tax-profit-margin,net-profit-margin,asset-turnover,receiveable-turnover,days-sales-in-receivables,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2024-09-30,170.00000,170.00000,146.00000,-29.00000,-5.00000,134.00000,129.00000,129.00000,129.00000,129.00000,-5.00000,-5.00000,419.00000,427.80000,0.31000,0.30000,0.94330,100.00000,-2.94120,-2.94120,75.88240,75.88240,0.03930,0.18420,488.64710,3.97170,3.97170,2.98330,3.97170,7.74020,0.3808,0.3833
2024-06-30,48.00000,48.00000,47.00000,-4.00000,-3.00000,127.00000,124.00000,124.00000,124.00000,124.00000,-3.00000,-3.00000,409.10000,416.70000,0.30000,0.30000,0.92430,100.00000,-6.25000,-6.25000,258.33330,258.33330,0.01150,0.06240,1441.87500,3.80370,3.80370,2.96300,3.80370,7.78280,0.3653,0.3671
2024-03-31,144.00000,144.00000,79.00000,-68.00000,-3.00000,105.00000,102.00000,102.00000,102.00000,102.00000,-3.00000,-3.00000,389.60000,398.10000,0.26000,0.25000,0.91100,100.00000,-2.08330,-2.08330,70.83330,70.83330,0.04490,0.17890,503.12500,4.58020,4.58020,3.18250,4.58020,5.70010,0.36420,0.26880
2023-12-31,160.00000,160.00000,173.00000,8.00000,-5.00000,100.00000,95.00000,95.00000,95.00000,95.00000,-5.00000,-5.00000,391.70000,396.50000,0.25000,0.23000,0.83480,100.00000,-3.12500,-3.12500,59.37500,59.37500,0.04990,0.18060,498.37500,4.55640,4.55640,2.96410,4.55640,5.36330,0.2984,0.2986
2023-09-30,38.00000,38.00000,32.00000,-5.00000,1.00000,121.00000,122.00000,122.00000,122.00000,122.00000,1.00000,1.00000,390.70000,395.80000,0.31000,0.31000,0.87340,100.00000,2.63160,2.63160,321.05260,321.05260,0.01200,0.04620,1949.21000,5.62990,5.62990,3.84860,5.62990,5.55550,0.3116,0.3114
2023-06-30,47.00000,47.00000,37.00000,-13.00000,-3.00000,112.00000,109.00000,109.00000,109.00000,109.00000,-3.00000,-3.00000,392.10000,396.30000,0.28000,0.28000,0.92400,100.00000,-6.38300,-6.38300,231.91490,231.91490,0.01480,0.05800,1551.06400,4.87910,4.87910,3.44070,4.87910,5.70360,0.3364,0.3362
2023-03-31,138.00000,138.00000,84.00000,-57.00000,-3.00000,128.00000,125.00000,125.00000,125.00000,125.00000,-3.00000,-3.00000,392.60000,397.30000,0.31000,0.31000,0.95380,100.00000,-2.17390,-2.17390,90.57970,90.57970,0.04180,0.15770,570.65220,5.36710,5.36710,3.78560,5.36710,5.93480,0.33480,0.23160
2022-12-31,,,,,,,,,,,,,,,,0.00000,,,,,,,,,,,,,,,0,0
