Date,revenue,cost-goods-sold,gross-profit,research-development-expenses,selling-general-administrative-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,income-after-taxes,income-from-continuous-operations,income-from-discontinued-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,current-ratio,long-term-debt-capital,debt-equity-ratio,gross-margin,operating-margin,ebit-margin,pre-tax-profit-margin,net-profit-margin,asset-turnover,inventory-turnover,receiveable-turnover,days-sales-in-receivables,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2024-09-30,,,,0.93100,0.82500,,-1.75600,0.01900,-1.73700,-1.73700,-1.73700,,-1.73700,-1.74000,-1.75600,2.82700,2.82700,-0.61000,-0.61000,1.78030,,,,,,,,,,,,-63.09470,-63.09480,-27.71660,-63.09480,0.60870,-0.4148,-0.415
2024-06-30,0.00300,,0.00300,0.80000,0.85200,,-1.64900,0.00300,-1.64600,-1.64600,-1.64600,,-1.64600,-1.63200,-1.64900,1.87700,1.87700,-0.88000,-0.88000,0.38640,,,100.00000,-54966.66000,-54966.66000,-54866.67000,-54866.67000,0.00100,,0.30000,300.00000,83.93680,83.93680,-56.95500,83.93680,-0.92330,-0.6014,-0.603
2024-03-31,0.05500,,0.05500,1.24100,1.08900,,-2.27500,0.00800,-2.26700,-2.26700,-2.26700,,-2.26700,-2.25600,-2.27500,1.67640,1.67640,-1.34930,-1.34930,0.30930,,,100.00000,-4136.36300,-4136.36300,-4121.81800,-4121.81800,0.02050,,0.94830,94.90910,99.64800,99.64840,-84.62110,99.64840,-1.27100,-0.91270,-0.91270
2023-12-31,0.01300,,0.01300,1.15600,0.94100,,-2.08400,0.01200,-2.07200,-2.07200,-2.07200,,-2.07200,-2.06400,-2.08400,1.41270,1.41270,-1.38720,-1.38720,0.40490,,,100.00000,-16030.77000,-16030.76000,-15938.46000,-15938.46000,0.00440,,0.20630,436.15370,129.25790,129.25760,-69.36730,129.25760,-1.01580,-1.4231,-1.4233
2023-09-30,0.35700,,0.35700,1.87200,1.08300,,-2.59800,0.02400,-2.57400,-2.57400,-2.57400,,-2.57400,-2.57700,-2.59800,1.44100,1.44100,-1.79000,-1.79000,0.63540,,,100.00000,-727.73110,-727.73110,-721.00840,-721.00840,0.09530,,3.43270,26.21850,390.00680,389.99990,-68.69500,390.00000,-0.45770,-1.4347,-1.4342
2023-06-30,0.04300,,0.04300,2.31400,1.18100,,-3.45200,0.02800,-3.42400,-3.42400,-3.42400,,-3.42400,-3.43100,-3.45200,1.35900,1.35900,-2.52000,-2.52000,1.28600,,,100.00000,-8027.90700,-8027.90700,-7962.79100,-7962.79100,0.00670,,0.37390,240.69770,-209.41970,-209.41900,-53.59210,-209.41900,1.13560,-2.3002,-2.3016
2023-03-31,0.06400,,0.06400,2.38400,1.19000,,-3.51000,0.00900,-3.50100,-3.50100,-3.50100,,-3.50100,-3.48800,-3.51000,1.34580,1.34580,-2.54870,-2.54870,1.32230,,,100.00000,-5484.37500,-5484.37500,-5470.31200,-5470.31200,0.00900,,0.41830,215.15620,-184.26230,-184.26320,-49.11620,-184.26320,1.41000,-1.90220,-1.90960
2022-12-31,0.10600,,0.10600,2.20000,0.92400,,-3.01800,-0.01000,-3.02800,-3.02800,-3.02800,,-3.02800,-2.99700,-3.01800,1.18200,1.18200,-2.54870,-2.54870,2.19360,,,100.00000,-2847.17000,-2847.16900,-2856.60300,-2856.60300,0.01080,,0.52740,170.66040,-61.89700,-61.89700,-30.92000,-61.89700,3.65310,-2.58,-2.5822
2022-09-30,0.21200,,0.21200,2.14400,1.12800,,-3.06000,0.00300,-3.05700,-3.05700,-3.05700,,-3.05700,-3.03100,-3.06000,1.19030,1.19030,-2.54870,-2.54870,1.94190,,,100.00000,-1443.39600,-1443.39600,-1441.98100,-1441.98100,0.02310,,0.70670,127.35850,-74.61560,-74.61560,-33.30430,-74.61560,3.44270,-1.6343,-1.6455
2022-06-30,0.97400,,0.97400,2.30400,1.16600,,-2.49600,-0.00100,-2.49700,-2.49700,-2.49700,,-2.49700,-2.48000,-2.49600,1.17740,1.17740,-2.09900,-2.09900,2.99670,,,100.00000,-256.26280,-256.26280,-256.36550,-256.36550,0.08650,,4.61610,19.49690,-37.08040,-37.08050,-22.16400,-37.08050,5.68520,-2.1615,-2.182
