Date,revenue,gross-profit,selling-general-administrative-expenses,other-operating-income-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,income-from-discontinued-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,long-term-debt-capital,debt-equity-ratio,operating-margin,ebit-margin,pre-tax-profit-margin,net-profit-margin,asset-turnover,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2024-09-30,226.53700,226.53700,,,226.53700,-242.41400,-15.87700,-8.40400,-7.47300,-7.47300,0.19400,-11.30900,241.47300,226.53700,168.33500,169.50900,-0.07000,-0.07000,0.34030,1.44990,100.00000,100.00000,-7.00860,-4.99210,0.02010,-0.33680,-0.33810,-0.06640,-0.21080,13.87520,1.3049,1.4356
2024-06-30,234.11900,234.11900,,,234.11900,-314.12500,-80.00600,-48.57900,-31.42700,-31.42700,-2.77400,-38.02000,227.34500,234.11900,168.65400,169.86400,-0.23000,-0.23000,0.33040,1.45660,100.00000,100.00000,-34.17320,-16.23960,0.01990,-1.37810,-1.37810,-0.26690,-0.87670,14.27290,0.0088,0.2055
2024-03-31,232.35400,232.35400,,0.91400,233.26800,-339.06100,-105.79300,-30.21100,-75.58200,-75.58200,1.41500,-76.28300,263.59000,233.26800,172.03300,173.10400,-0.44000,-0.44000,0.30710,1.31960,100.39340,100.39340,-45.53100,-32.83050,0.01930,-3.16440,-3.14310,-0.62760,-2.08800,14.71590,0.13550,0.14300
2023-12-31,250.13100,250.13100,,0.28600,250.41700,-224.46300,25.95400,1.27100,24.68300,24.68300,-13.80200,7.76400,273.61800,250.41700,146.84200,148.56700,-0.17000,-0.08000,0.29550,1.21360,100.11430,100.11430,10.37620,3.10400,0.02010,0.97680,0.97030,0.19840,0.65700,15.36350,-0.1189,0.1316
2023-09-30,248.71100,248.71100,,,248.71100,-202.38200,46.32900,2.80800,43.52100,43.52100,3.65800,43.66300,274.05400,248.71100,171.97400,174.44100,0.25000,0.25000,0.29110,1.29400,100.00000,100.00000,18.62760,17.55570,0.01940,1.68680,1.81940,0.34000,1.14280,15.69420,0.2001,0.2289
2023-06-30,231.00400,231.00400,,,231.00400,15.72200,246.72600,2.19400,244.53200,244.53200,8.84100,246.88300,239.26800,231.00400,131.65100,141.58400,1.87000,1.76000,0.31060,1.33420,100.00000,100.00000,106.80590,106.87390,0.01870,9.43530,10.12530,1.97470,6.21700,15.79610,0.2705,0.2372
2023-03-31,215.96800,215.96800,,1.19600,217.16400,-177.75400,39.41000,0.90100,38.50900,38.50900,-1.53100,33.14400,226.88200,217.16400,110.67300,121.02600,0.30000,0.29000,0.37370,1.91830,100.55380,100.55380,18.24810,15.34670,0.01870,2.17690,2.40470,0.33380,1.28260,16.97880,-0.00750,0.27150
2022-12-31,199.11500,199.11500,,0.50100,199.61600,-247.01410,-47.39800,-17.46800,-29.93000,-29.93000,,9.45500,219.78200,199.61600,106.87800,117.19400,0.03000,0.04000,0.37220,2.00190,100.25160,100.25160,-23.80430,4.74850,0.01710,-1.68250,-1.65990,-0.25760,-0.99410,17.10250,1.9334,1.9417
2022-09-30,186.02600,186.02600,,0.55900,186.58500,-115.55600,71.02900,4.77600,66.25300,66.25300,,61.23100,179.15000,186.58500,114.37100,125.66700,0.53000,0.50000,0.36240,2.26910,100.30050,100.30050,38.18230,32.91530,0.01570,3.56680,3.91760,0.55870,2.14540,17.26850,0.4981,0.5417
2022-06-30,153.67100,153.67100,,7.05900,160.73000,-91.44700,69.28300,10.31800,58.96500,58.96500,,54.09200,156.17100,160.73000,114.35900,125.06500,0.47000,0.45000,0.34240,2.15790,104.59360,104.59360,45.08530,35.19990,0.01290,3.18610,3.45120,0.49400,1.97630,17.15470,0.4786,0.4759
2022-03-31,124.40500,124.40500,,9.03200,133.43700,-51.32500,82.11200,17.84900,64.26300,64.26300,,61.48900,127.69800,133.43700,87.70700,95.40200,0.70000,0.66000,0.31530,2.13220,107.26020,107.26020,66.00380,49.42650,0.01080,3.47860,3.74800,0.56000,2.24630,17.13140,0.15450,0.16940
2021-12-31,113.64200,113.64200,,3.13900,116.78100,-113.22300,3.55800,-7.35700,10.91500,10.91500,,51.21800,103.50300,116.78100,68.51200,68.66100,0.69000,0.69000,0.41190,2.66650,102.76220,102.76220,3.13090,45.06960,0.01190,0.93350,1.01440,0.11450,0.50120,16.88600,0.6207,1.2287
2021-09-30,105.13600,105.13600,,6.38600,111.52200,-58.44700,53.07500,6.54000,46.53500,46.53500,,43.78000,109.23500,111.52200,71.61800,71.78700,0.61000,0.60000,0.33770,2.17270,106.07400,106.07400,50.48220,41.64130,0.01130,4.16260,4.39750,0.50230,2.50710,16.85830,-1.4155,-1.4449
2021-06-30,103.04700,103.04700,,6.14000,109.18700,-71.28800,37.89900,6.99500,30.90400,30.90400,,27.23600,95.76700,109.18700,71.22200,71.38600,0.38000,0.38000,0.32560,1.79620,105.95850,105.95850,36.77840,26.43070,0.01150,2.86480,2.68390,0.34430,1.60710,18.20480,1.1764,1.1868
2021-03-31,73.37100,73.37100,,1.50800,74.87900,-37.25100,37.62800,8.68100,28.94700,28.94700,,28.00700,79.93200,74.87900,56.81800,56.84300,0.49000,0.49000,0.34300,2.24520,102.05530,102.05530,51.28460,38.17180,0.00920,2.67900,2.73260,0.36110,1.58730,16.82410,-0.88320,-0.86420
2020-12-31,64.80000,64.80000,,5.23200,70.03200,-38.20600,31.82600,4.26700,27.55900,27.55900,,26.91100,77.61100,70.03200,53.73600,53.81800,0.54000,0.54000,0.34670,2.08220,108.07410,108.07410,49.11420,41.52930,0.01210,3.30360,3.83010,0.51300,2.15810,15.34350,1.2849,1.6116
2020-09-30,61.07400,61.07400,,6.84400,67.91800,-26.00100,41.91700,6.55400,35.36300,35.36300,,34.55800,76.50000,67.91800,54.62700,54.70500,0.63000,0.63000,0.34910,1.96400,111.20610,111.20610,68.63310,56.58380,0.01150,4.29070,4.95190,0.66500,2.79270,15.21280,-0.894,-0.9
2020-06-30,63.21100,63.21100,,6.09300,69.30400,-29.14100,40.16300,5.50000,34.66300,34.66300,,33.85300,77.32700,69.30400,53.98000,54.01400,0.62000,0.62000,0.35190,2.08520,109.63910,109.63910,63.53800,53.55560,0.01160,4.26340,4.91480,0.63470,2.76310,14.81690,2.8129,2.6619
2020-03-31,69.55100,69.55100,,-0.05400,69.49700,-128.95000,-59.45300,-7.93700,-51.51600,-51.51600,,-50.45200,78.86300,69.49700,51.98400,51.99000,-0.98000,-0.98000,0.36240,2.75890,99.92240,99.92240,-85.48120,-72.53960,0.01320,-6.64240,-7.74160,-0.97750,-4.23540,14.88830,-1.92370,-1.77270
2019-12-31,64.40600,64.40600,,2.39100,66.79700,-47.81100,18.98600,-1.94800,20.93400,20.93400,,20.42800,69.62400,66.79700,42.01200,42.04800,0.30000,0.30000,0.34260,1.92910,103.71240,103.71240,29.47860,31.71760,0.01290,2.47800,2.89620,0.42060,1.62900,16.52330,0.2127,0.2125
2019-09-30,59.72300,59.72300,,1.04700,60.77000,-50.98800,9.78200,-2.64500,12.42700,12.42700,,12.10400,63.20300,60.77000,44.43900,44.46800,0.27000,0.27000,0.34800,2.31380,101.75310,101.75310,16.37900,20.26690,0.01450,1.68160,1.98980,0.30140,1.09640,16.63620,-0.1532,-0.3802
2019-06-30,57.03400,57.03400,,2.08300,59.11700,-50.82800,8.28900,-2.95600,11.24500,11.24500,,10.96900,60.29100,59.11700,44.42600,44.43100,0.25000,0.25000,0.31160,1.77580,103.65220,103.65220,14.53340,19.23240,0.01490,1.50450,1.77750,0.29280,1.03560,16.82780,-1.338,-1.1224
2019-03-31,48.75300,48.75300,,2.92900,51.68200,-24.23500,27.44700,-3.00300,30.45000,30.45000,,29.46700,59.65700,51.68200,32.55700,32.56400,0.90000,0.90000,0.30750,1.55880,106.00780,106.00780,56.29810,60.44140,0.01490,4.00190,4.71920,0.92860,2.77140,17.13870,0.03240,0.04120
2018-12-31,46.20400,46.20400,,2.72800,48.93200,-42.18300,6.74900,-2.73700,9.48600,9.48600,,9.17700,53.54800,48.93200,32.08600,32.10200,0.27000,0.27000,0.37420,2.07750,105.90430,105.90430,14.60700,19.86190,0.01520,1.68170,2.13640,0.31240,1.05240,17.56970,0.1624,0.2132
2018-09-30,44.28700,44.28700,,2.17800,46.46500,-28.00100,18.46400,0.89500,17.56900,17.56900,,16.93100,50.05000,46.46500,32.11000,32.13000,0.53000,0.53000,0.37180,2.03720,104.91790,104.91790,41.69170,38.23020,0.01530,3.08750,3.89720,0.60570,1.93950,17.74630,2.3938,2.3619
2018-06-30,41.85800,41.85800,,1.50300,43.36100,-26.81200,16.54900,0.66500,15.88400,15.88400,,15.29600,49.17600,43.36100,32.07400,32.09300,0.48000,0.48000,0.37340,1.80810,103.59070,103.59070,39.53610,36.54260,0.01490,2.81350,3.50420,0.56470,1.76310,17.61380,0.3094,0.2984
