Date,research-development-expenses,selling-general-administrative-expenses,other-operating-income-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,current-ratio,long-term-debt-capital,debt-equity-ratio,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2024-09-30,0.54060,1.16300,-0.18090,-1.88460,0.07800,-1.80660,-1.80660,-1.80660,-1.80660,-1.82200,-1.88460,39.53400,39.53400,-0.05000,-0.05000,0.88870,-0.35630,-0.26270,10.29160,10.29160,-24.49710,13.95870,-0.44380,-0.0679,-0.0679
2024-06-30,1.83990,1.06180,-0.16940,-3.07110,0.36930,-2.70180,-2.70180,-2.70180,-2.70180,-3.02600,-3.07110,37.14200,37.14200,-0.07000,-0.07000,0.93360,-0.36200,-0.26580,16.29940,16.29940,-26.17120,22.19970,-0.42020,-0.0567,-0.0567
2024-03-31,2.54950,1.28040,,-3.82990,0.01660,-3.81330,-3.81330,-3.81330,-3.81330,-3.77610,-3.82990,34.64300,34.64300,-0.11000,-0.11000,0.54000,-0.26180,-0.20750,18.78540,18.78540,-55.31370,23.70330,-0.58500,-0.07340,-0.07340
2023-12-31,3.31060,2.18950,,-5.50010,0.04150,-5.45860,-5.45860,-5.45860,-5.45860,-5.44650,-5.50010,34.36000,34.36000,-0.15000,-0.15000,0.31560,,,30.23240,30.23240,-119.90910,30.23240,-0.52180,-0.0898,-0.0899
2023-09-30,3.42740,1.79620,,-5.22360,0.10730,-5.11630,-5.11630,-5.11630,-5.11630,-5.17010,-5.22360,34.49800,34.49800,-0.15000,-0.15000,0.62250,,,37.67280,37.67280,-68.56780,37.67280,-0.39340,-0.1214,-0.122
2023-06-30,4.55840,1.78490,,-6.34330,0.14640,-6.19700,-6.19700,-6.19700,-6.19700,-6.29140,-6.34330,34.40900,34.40900,-0.18000,-0.18000,0.96420,,,65.26300,65.26300,-51.16410,65.26300,-0.27550,-0.119,-0.1201
2023-03-31,4.19360,1.66050,,-5.85410,0.16810,-5.68600,-5.68600,-5.68600,-5.68600,-5.80840,-5.85410,33.96700,33.96700,-0.17000,-0.17000,1.37970,,,127.04030,127.04020,-34.27650,127.04020,-0.13050,-0.12850,-0.12890
2022-12-31,5.81190,2.07730,,-7.88920,0.11950,-7.76970,-7.76970,-7.76970,-7.76970,-7.85130,-7.88920,33.67300,33.67300,-0.23000,-0.23000,1.60880,,,1936.13600,1936.12200,-36.18610,1936.12800,-0.01190,-0.1326,-0.1364
2022-09-30,6.14980,1.83760,,-7.98730,1.65570,-6.33160,-6.33160,-6.33160,-6.33160,-7.95890,-7.98730,33.75700,33.75700,-0.19000,-0.19000,1.32590,,,-93.71670,-93.71680,-25.06370,-93.71670,0.20000,-0.1653,-0.167
2022-06-30,5.87610,1.82230,,-7.69840,1.58570,-6.11270,-6.11270,-6.11270,-6.11270,-7.67010,-7.69840,33.61900,33.61900,-0.18000,-0.18000,1.74040,,,-44.65170,-44.65170,-19.64440,-44.65170,0.40660,-0.1371,-0.139
2022-03-31,5.27730,2.09700,,-7.37430,-0.40280,-7.77710,-7.77710,-7.77710,-7.77710,-7.34720,-7.37430,33.50400,33.50400,-0.23000,-0.23000,1.88370,,,-44.93270,-44.93270,-21.51820,-44.93270,0.51570,-0.12530,-0.12530
2021-12-31,3.94990,2.36220,-0.04940,-6.36150,0.59720,-5.76430,-5.76430,-5.76430,-5.76430,-6.33770,-6.36150,26.02500,26.02500,-0.15000,-0.15000,2.40720,,,-24.24380,-24.24380,-14.32430,-24.24380,0.71020,-0.0333,-0.0325
2021-09-30,3.33410,0.81490,-9.22740,-13.37640,-0.89070,-14.26710,-14.26710,-14.26710,-14.26710,-13.35620,-13.37640,24.20500,24.20500,-0.59000,-0.59000,0.04270,,-0.85510,18.64710,18.64710,-349.90340,18.64710,-3.15910,-0.1441,-0.1487
2021-06-30,3.58460,0.86790,-1.15990,-5.61240,-0.72280,-6.33520,-6.33520,-6.33520,-6.33520,-5.59470,-5.61240,24.17700,24.17700,-0.26000,-0.26000,,,,,,,,,-0.1414,-0.1455
2021-03-31,3.09770,0.59500,0.68440,-3.00830,-0.83790,-3.84620,-3.84620,-3.84620,-3.84620,-2.99210,-3.00830,24.17700,24.17700,-0.16000,-0.16000,,,,,,,,,-0.17410,-0.17570
2020-12-31,,,,,,,,,,,,,,,0.00000,,,,,,,,,0.2745,0.2784
2020-09-30,2.50390,0.46690,2.95320,-0.01760,-0.11910,-0.13670,-0.13670,-0.13670,-6.04320,-0.01760,-0.01760,24.12100,24.12100,-0.25000,-0.25000,,,,,,,,,-0.2745,-0.2784
2019-12-31,,,,,,,,,,,,,,,0.00000,,,,,,,,,0,0
