Date,revenue,gross-profit,research-development-expenses,selling-general-administrative-expenses,other-operating-income-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,income-from-discontinued-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,current-ratio,long-term-debt-capital,debt-equity-ratio,gross-margin,operating-margin,ebit-margin,pre-tax-profit-margin,net-profit-margin,asset-turnover,receiveable-turnover,days-sales-in-receivables,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2023-09-30,,,0.32900,1.07100,,-1.40000,0.17100,-1.22900,,-1.22900,-1.22900,,-1.22900,-1.40000,-1.40000,0.80400,0.80400,-1.53000,-1.53000,3.36680,,,,,,,,,,,-22.86510,-22.86510,-16.07380,-22.86510,6.67700,-0.2272,-0.2272
2023-06-30,,,0.34400,1.21600,,-1.56000,0.18900,-1.37100,,-1.37100,-1.37100,,-1.37100,-1.56000,-1.56000,0.75470,0.75470,-1.80000,-1.80000,3.66690,,,,,,,,,,,-20.89940,-20.89940,-14.98520,-20.89940,8.68700,-4.5038,-4.5038
2023-03-31,,,0.52400,3.81900,-0.05600,-4.39900,0.42100,-3.97800,,-3.97800,-3.97800,,-3.97800,-4.27200,-4.39900,0.75470,0.75470,-5.20000,-5.20000,4.01760,,,,,,,,,,,-50.49510,-50.49510,-37.05640,-50.49510,10.43240,-3.04890,-3.04890
2022-12-31,,,0.73900,1.96300,,-2.70200,0.48200,-2.22000,,-2.22000,-2.22000,,-3.92800,-2.51200,-2.70200,0.75360,0.75360,-2.89000,-3.54000,11.18210,,,,,,,,,,,-18.83110,-18.83110,-16.33800,-18.83110,14.64470,-5.7098,-5.7098
2022-09-30,,,2.74700,2.97500,-1.93600,-7.65800,1.24700,-6.41100,,-6.41100,-6.41100,,-7.57800,-7.31100,-7.65800,0.75400,0.75400,-8.51000,-10.06000,4.66900,,,,,,,,,,,-46.29220,-46.29220,-34.03230,-46.29220,18.36010,-7.8743,-7.8743
2022-06-30,,,1.74300,3.24500,,-4.98800,2.91800,-2.07000,,-2.07000,-2.07000,,-4.95600,-4.73200,-4.98800,0.75360,0.75360,-2.80000,-6.60000,4.84930,,,,,,,,,,,-10.30010,-10.30010,-7.60610,-10.30010,26.63030,-7.8924,-7.8924
2022-03-31,,,3.68700,3.28300,,-6.97000,1.33400,-5.63600,,-5.63600,-5.63600,,-5.63600,-6.70800,-6.97000,0.75360,0.75370,-7.40000,-9.20000,5.41210,,,,,,,,,,,-25.32690,-25.32690,-17.19030,-25.32690,29.37040,-6.55960,-6.55960
2021-12-31,,,4.73700,4.49100,,-9.22800,3.00400,-6.22400,,-6.22400,-6.22400,,-9.22700,-8.96500,-9.22800,0.66440,0.68320,-8.40600,-12.40600,6.95670,,,,,,,,,,,-22.81190,-22.81190,-16.03090,-22.81190,35.96630,-5.1659,-5.1636
2021-09-30,,,2.59400,1.25700,,-3.85100,0.22300,-3.62800,,-3.62800,-3.62800,,-3.85000,-3.58800,-3.85100,0.66810,0.67190,-5.40000,-5.80000,7.94640,,,,,,,,,,,-21.00150,-21.00140,-16.14310,-21.00150,25.84040,-5.8183,-5.8421
2021-06-30,,,2.27300,1.40000,,-3.67300,0.11700,-3.55600,,-3.55600,-3.55600,,-3.67200,-3.39900,-3.67300,0.65430,0.67180,-5.99700,-5.99700,7.08100,,,,,,,,,,,-17.46480,-17.46480,-13.31390,-17.46480,30.51560,-3.4438,-3.4433
2021-03-31,,,2.29600,1.52300,,-3.81900,0.15200,-3.66700,,-3.66700,-3.66700,,-3.81800,-3.52500,-3.81900,0.65160,0.66950,-5.99700,-5.99700,10.71990,,,,,,,,,,,-21.85730,-21.85730,-16.87840,-21.85730,25.70700,-6.19410,-6.31510
2020-12-31,,,2.14500,1.76600,,-3.91100,-0.70500,-4.61600,,-4.61600,-4.61600,,-4.61600,-3.61900,-3.91100,0.57640,0.57640,-5.99700,-2.99850,10.08340,,,,,,,,,,,-26.35910,-26.35910,-20.17660,-26.35910,27.15380,-5.6608,-5.6894
2020-09-30,,,1.65500,1.64700,,-3.30200,-0.06600,-3.36800,,-3.36800,-3.36800,,-3.36800,-3.00800,-3.30200,0.59570,0.59570,-5.99700,-5.99700,5.64670,,,,,,,,,,,-31.40330,-31.40330,-21.66750,-31.40330,17.48360,-3.4145,-3.4951
