Date,revenue,cost-goods-sold,gross-profit,selling-general-administrative-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,current-ratio,debt-equity-ratio,gross-margin,operating-margin,ebit-margin,pre-tax-profit-margin,net-profit-margin,asset-turnover,receiveable-turnover,days-sales-in-receivables,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2023-11-30,21.65750,17.83940,3.81810,3.18510,3.18510,0.63300,0.03470,0.66760,0.18100,0.48660,0.48660,0.46000,0.68770,0.63300,2.14400,2.25000,0.21000,0.20000,3.31710,,17.62930,2.92260,2.92260,3.08270,2.12390,0.89260,1.95150,46.11720,2.80330,3.17690,2.00560,2.80330,8.09670,0.5064,0.5064
2023-08-31,22.51330,18.48660,4.02670,3.25180,3.25170,0.77500,-0.00030,0.77470,0.20300,0.57170,0.57170,0.54680,0.83470,0.77500,2.14400,2.24700,0.26000,0.24000,3.17190,,17.88590,3.44220,3.44220,3.44090,2.42870,0.94890,1.86580,48.23620,3.39330,3.87070,2.40950,3.39330,7.85780,0.25220,0.25220
2023-05-31,24.94570,20.51340,4.43220,3.71760,3.71760,0.71460,-0.00250,0.71210,0.20200,0.51010,0.51010,0.49380,0.77440,0.71460,2.14100,2.23800,0.23000,0.22000,3.00590,,17.76750,2.86470,2.86470,2.85450,1.97970,1.06840,2.05130,43.87480,3.13890,3.60970,2.18460,3.13890,7.57920,-0.2871,-0.2871
2023-02-28,24.25720,20.26730,3.98980,3.76890,3.76890,0.22090,-0.01320,0.20770,0.11000,0.09770,0.09770,0.07960,0.28060,0.22090,2.13500,2.23500,0.04000,0.04000,2.67150,,16.44810,0.91080,0.91080,0.85640,0.32830,1.01860,2.08800,43.10370,0.62010,0.71870,0.41040,0.62010,7.33810,0.227,0.2258
2022-11-30,26.03080,21.39960,4.63120,3.62520,3.62520,1.00600,-0.01820,0.98790,0.30100,0.68690,0.68690,0.67380,1.06700,1.00600,2.14000,2.23200,0.31000,0.30000,2.49730,,17.79130,3.86480,3.86480,3.79510,2.58860,1.05660,2.05990,43.69120,4.36140,5.07050,2.78820,4.36140,7.38710,0.2526,0.2518
2022-08-31,26.19940,21.76690,4.43250,3.67760,3.67760,0.75490,-0.02920,0.72570,0.21800,0.50770,0.50770,0.49470,0.81720,0.75490,2.14600,2.23700,0.23000,0.22000,2.30800,,16.91840,2.88140,2.88140,2.77010,1.88840,1.06770,2.05590,43.77590,3.36040,3.94650,2.06920,3.36040,7.04080,0.59130,0.59050
2022-05-31,26.19970,21.85310,4.34660,3.99110,3.99110,0.35550,-0.02340,0.33200,0.00000,0.33200,0.33200,0.33130,0.42030,0.35550,2.02400,2.09800,0.06000,0.02000,2.16970,0.00430,16.59020,1.35670,1.35670,1.26720,1.26430,1.07580,1.94540,46.26240,2.28460,2.71120,1.36330,2.28460,6.77190,0.12,0.1186
2022-02-28,24.38320,20.59020,3.79310,3.82980,3.82980,-0.03680,-0.02070,-0.05750,-0.01400,-0.04350,-0.04350,-0.04660,0.02290,-0.03680,2.02700,2.02700,-0.02000,-0.02000,2.22510,0.00420,15.55600,-0.15070,-0.15070,-0.23570,-0.19120,1.03700,1.95740,45.97960,-0.30430,-0.36360,-0.18490,-0.30430,6.65840,-0.7516,-0.7546
2021-11-30,23.86360,19.81550,4.04800,3.63320,3.63320,0.41490,-0.03200,0.38280,0.12800,0.25480,0.25480,0.24300,0.47020,0.41490,1.96200,2.03300,0.12000,0.12000,1.99550,0.00350,16.96320,1.73840,1.73840,1.60420,1.01840,1.09580,2.20800,40.76130,2.04480,2.52550,1.17010,2.04480,6.35170,-0.6284,-0.6514
2021-08-31,22.86600,19.05560,3.81040,4.16530,4.16530,-0.35490,6.69900,6.34400,-0.11500,6.45900,6.45900,6.40150,-0.29960,-0.35490,1.96200,2.01500,3.26000,3.18000,1.82480,0.00290,16.66400,-1.55220,-1.55220,27.74440,27.99590,1.00990,2.23200,40.32330,53.57710,66.99760,28.52630,53.57710,6.14450,0.16020,0.14630
2021-05-31,21.07820,17.66930,3.40890,3.39450,3.39450,0.01430,-0.04110,-0.02670,0.00500,-0.03170,-0.03170,-0.04630,0.07730,0.01430,1.96200,1.96200,-0.02000,-0.02000,2.05010,0.01710,16.17250,0.06800,0.06800,-0.12680,-0.21960,0.96560,2.17450,41.38850,-0.58540,-1.07080,-0.14540,-0.58540,2.76300,0.4043,0.3571
2021-02-28,17.16050,14.41460,2.74590,3.08450,3.08450,-0.33860,-0.04140,-0.38000,-0.07900,-0.30100,-0.30100,-0.30490,-0.29100,-0.33860,1.96200,1.96200,-0.16000,-0.16000,2.14180,0.00520,16.00120,-1.97320,-1.97320,-2.21420,-1.77690,0.81690,1.92760,46.69120,-5.67440,-10.73520,-1.43280,-5.67440,2.70330,-0.2427,-0.2481
2020-11-30,16.06860,13.23350,2.83510,3.05860,3.05860,-0.22350,-0.05380,-0.27730,-0.03000,-0.24730,-0.24730,-0.24680,-0.17840,-0.22350,1.96200,1.96200,-0.13000,-0.13000,2.30400,0.01800,17.64370,-1.39110,-1.39110,-1.72580,-1.53570,0.79970,1.99930,45.01500,-4.45940,-8.23640,-1.23080,-4.45940,2.82660,-0.2705,-0.2781
2020-08-31,14.51400,12.18290,2.33110,2.27130,2.27130,0.05980,-0.06190,-0.00210,-0.00500,0.00290,0.00290,-0.00300,0.06220,0.05980,1.96200,1.96200,0.00000,0.00000,2.91190,0.01100,16.06090,0.41190,0.41190,-0.01430,-0.02070,0.74740,2.19740,40.95840,0.05050,0.05050,0.01510,0.05050,2.95270,0.77340,0.76940
2020-05-31,14.79640,12.36380,2.43260,2.08290,2.08290,0.34970,-0.03520,0.31450,-0.12100,0.43550,0.43550,0.42020,0.35290,0.34970,1.96200,1.96200,0.22000,0.22000,3.26390,0.08650,16.44080,2.36350,2.36350,2.12570,2.83970,0.78390,2.09510,42.95780,7.52180,7.52180,2.30740,7.52180,2.95120,0.0238,0.0187
2020-02-29,14.14460,12.12450,2.02010,3.27070,3.27070,-1.25070,-0.04330,-1.29400,-0.35200,-0.94200,-0.94200,-0.94510,-1.24910,-1.25070,1.96200,1.96200,-0.48000,-0.48000,1.78390,0.17560,14.28150,-8.84200,-8.84200,-9.14830,-6.68170,1.14600,2.07190,43.43810,-17.59200,-17.59200,-7.63210,-17.59200,2.72920,-0.1935,-0.1993
