Date,revenue,cost-goods-sold,gross-profit,selling-general-administrative-expenses,other-operating-income-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,income-from-discontinued-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,current-ratio,long-term-debt-capital,debt-equity-ratio,gross-margin,operating-margin,ebit-margin,ebitda-margin,pre-tax-profit-margin,net-profit-margin,asset-turnover,inventory-turnover,receiveable-turnover,days-sales-in-receivables,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2023-03-31,1509.35200,1405.03300,104.31910,81.07200,1.66200,82.96000,21.35900,-7.56600,13.79300,4.56200,9.23100,9.23100,,9.17800,62.30000,21.35900,7.79600,7.87000,1.19000,1.16000,5.08390,0.44790,0.85760,6.91150,1.41510,1.41510,4.12760,0.91380,0.60810,1.24460,2.09430,14.50230,25.16850,1.66500,1.66400,0.76120,0.91870,72.65880,-30.4739,-33.3685
2022-03-31,1385.28000,1243.68400,141.59610,76.34300,-1.17400,77.58700,64.00920,-4.11400,59.89500,13.69500,46.20000,46.20000,,45.99900,100.53220,64.00920,8.70700,8.77800,5.28000,5.24000,3.18030,0.18280,0.26870,10.22150,4.62070,4.62070,7.25720,4.32370,3.32060,1.47010,3.07850,11.11650,32.83410,7.98770,7.97890,4.90300,6.51990,69.48640,-16.5672,-14.847
2021-03-31,1467.64400,1235.45900,232.18510,79.95000,29.01400,51.11800,181.06710,-21.05100,160.01600,33.91600,126.10000,126.10000,,125.58400,213.44210,181.06710,9.08800,9.15800,13.82000,13.72000,3.26500,0.16400,0.24510,15.82030,12.33730,12.33730,14.54320,10.90290,8.55680,1.61400,3.60040,14.45710,25.24710,21.84870,21.82360,13.86710,18.24540,63.74830,6.3606,5.5987
2020-03-31,1335.76900,1193.88100,141.88810,76.97100,12.65300,71.36400,70.52410,-4.90900,65.61500,14.42700,51.18800,51.18800,1.14700,52.33500,101.45700,70.52410,9.26400,9.33300,5.62000,5.58000,3.68580,0.37970,0.68390,10.62220,5.27970,5.27970,7.59540,4.91220,3.91800,1.46900,2.90040,10.97030,33.27160,13.00230,12.97990,5.62930,8.05080,43.25120,3.6523,0.495
2019-03-31,1199.58100,1160.08500,39.49610,72.54900,6.63100,77.57500,-38.07890,-11.18000,-49.25900,-12.77600,-36.48300,-36.48300,42.23000,5.74700,-6.84390,-38.07890,9.65200,9.72200,0.59000,0.59000,5.36810,0.41580,0.72800,3.29250,-3.17430,-3.17430,-0.57050,-4.10640,0.47910,1.41310,2.31240,14.05600,25.96760,-8.75360,-8.73880,-4.29780,-5.10490,43.74780,11.3392,10.8022
2018-03-31,1162.89400,1081.89100,81.00310,70.18500,3.67100,66.17200,14.83120,-6.09700,8.73400,-1.31500,10.04900,10.04900,-18.52900,-8.48000,46.37820,14.83120,9.76900,9.76900,-0.87000,-0.87000,5.34600,0.51820,1.09360,6.96560,1.27540,1.27540,3.98820,0.75110,-0.72920,1.13030,1.97800,17.26590,21.13990,2.44880,2.44460,0.97670,1.17790,42.18630,-3.8183,-3.9005
2017-03-31,1262.19800,1150.19400,112.00400,72.99600,-2.43700,77.26200,34.74210,-9.09400,25.64800,9.75300,15.89500,15.89500,,15.72600,59.56610,34.74210,9.78500,9.85400,1.61000,1.60000,4.04550,0.46080,0.87450,8.87370,2.75250,2.75250,4.71920,2.03200,1.24590,1.29020,1.82880,16.93070,21.55850,3.74990,3.73820,1.62480,2.01580,43.40590,-1.4679,-3.7378
2016-03-31,1279.56700,1128.99000,150.57700,73.51500,24.97100,58.84600,91.73100,-8.09200,83.63900,27.24000,56.39900,56.39900,,55.81300,113.46800,91.73100,9.87800,9.94800,5.65000,5.61000,1.68700,0.09180,0.79270,11.76780,7.16890,7.16890,8.86770,6.53650,4.36190,1.42920,1.98870,16.66360,21.90400,13.96600,13.91970,6.29930,12.64190,41.28950,2.1307,3.5748
2015-03-31,1286.35000,1201.98700,84.36290,67.38100,4.74800,64.00900,20.35400,-6.23400,14.12000,4.22100,9.89900,9.89900,,9.71600,42.18800,20.35400,10.69000,10.76200,0.91000,0.90000,4.72320,0.43580,0.80760,6.55830,1.58230,1.58230,3.27970,1.09770,0.75530,1.59510,2.54440,18.22260,20.03010,2.83140,2.81440,1.22750,1.58800,35.54980,-3.3361,-4.198
2014-03-31,1340.20800,1247.94300,92.26500,70.12900,3.27100,67.35900,24.90600,-7.56400,17.34200,3.56300,13.77900,13.77900,,13.31800,48.18700,24.90600,10.74700,10.81900,1.24000,1.23000,4.44870,0.35460,0.58630,6.88440,1.85840,1.85840,3.59550,1.29400,0.99370,1.74310,2.76550,17.41340,20.96080,3.54850,3.50050,1.79220,2.25930,36.61690,2.4383,2.3839
2013-03-31,1276.29700,1134.98500,141.31200,68.85200,1.97100,70.37800,70.93400,-7.48600,63.44800,22.03500,41.41300,41.41300,,39.98400,94.18500,70.93400,11.14700,11.21900,3.59000,3.57000,3.79530,0.38520,0.73590,11.07200,5.55780,5.55780,7.37950,4.97130,3.13280,1.59850,2.36590,16.31260,22.37540,11.44820,11.27910,5.18660,6.93470,34.12320,-0.8462,-0.0413
