Date,revenue,cost-goods-sold,gross-profit,selling-general-administrative-expenses,other-operating-income-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,current-ratio,long-term-debt-capital,debt-equity-ratio,gross-margin,operating-margin,ebit-margin,pre-tax-profit-margin,net-profit-margin,asset-turnover,receiveable-turnover,days-sales-in-receivables,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2024-09-30,166.03500,153.84600,12.18900,12.98500,2.00000,10.98500,1.20400,-2.76800,-1.56400,-1.56400,-1.56400,-1.56400,4.65100,1.20400,33.72300,33.72300,-0.05000,-0.05000,0.79510,0.98320,58.60230,7.34120,0.72520,0.72520,-0.94200,-0.94200,0.47890,3.10250,29.00860,-160.74000,24.67260,-0.45110,-2.69690,0.02880,0.8449,1.3641
2024-06-30,90.60500,121.73600,-31.13100,18.07900,1.86000,16.86300,-47.99400,-3.39500,-51.38900,-51.38900,-51.38900,-51.38900,-44.20500,-47.99400,28.08600,28.08600,-1.83000,-1.83000,0.78510,0.99340,185.12840,-34.35900,-52.97060,-52.97060,-56.71760,-56.71760,0.26300,1.86740,48.19500,-11786.41000,683.36470,-14.91640,-77.41760,0.01290,-1.4385,-1.143
2024-03-31,120.04300,135.90300,-15.86000,15.52400,0.23700,15.93100,-31.79100,-1.54300,-33.33400,-33.33400,-33.33400,-33.33300,-27.38100,-31.79100,25.56000,25.56000,-1.30000,-1.30000,0.83660,0.54870,1.21580,-13.21190,-26.48300,-26.48300,-27.76840,-27.76760,0.31760,2.41540,37.26170,-87.44950,-112.92770,-8.81870,-39.46630,1.48090,-1.36890,-1.54180
2023-12-31,138.06100,138.46600,-0.40500,14.98400,0.86900,15.41700,-15.82200,-1.65100,-17.47300,-17.47300,-17.47300,-17.47600,-11.88700,-15.82200,22.35600,22.35600,-0.79000,-0.79000,0.94910,0.38790,0.63370,-0.29330,-11.46010,-11.46010,-12.65600,-12.65820,0.32360,2.54830,35.31790,-24.78790,-28.52920,-4.09540,-15.17250,2.76500,-0.9849,-1.0069
2023-09-30,175.44800,158.43600,17.01200,14.02200,32.64600,-18.62400,35.63600,-0.80500,34.83100,34.83100,34.83100,34.56700,40.27300,35.63600,21.91400,21.91400,1.58000,1.58000,0.91080,0.42350,0.73460,9.69630,20.31140,20.31140,19.85260,19.70210,0.38380,2.56350,35.10890,50.93520,59.54530,7.61940,29.36500,3.11980,-0.1866,1.0533
2023-06-30,155.18900,155.64600,-0.45700,16.94300,7.67400,9.92700,-10.38400,0.07300,-10.31100,-10.31100,-10.31100,-10.30000,-6.00000,-10.38400,21.90900,21.90900,-0.47000,-0.47000,,,,-0.29450,-6.69120,-6.69120,-6.64420,-6.63710,,,,,,,,,-1.5757,-1.4039
2023-03-31,164.10800,157.88600,6.22200,15.55800,0.99900,15.21700,-8.99500,-0.33800,-9.33300,-9.33300,-9.33300,-9.33700,-4.83000,-8.99500,21.90900,21.90900,-0.43000,-0.43000,,,,3.79140,-5.48120,-5.48120,-5.68710,-5.68950,,,,,,,,,-1.19360,-1.28910
2022-12-31,,,,,,,,,,,,,,,,,,0.00000,,,,,,,,,,,,,,,,,0.236,0.4197
2022-09-30,184.36700,171.22200,13.14500,14.90400,19.60400,-4.04200,17.18700,0.67700,17.86400,17.86400,17.86400,17.96600,17.18700,17.18700,21.90900,21.90900,0.82000,0.82000,,,,7.12980,9.32220,9.32220,9.68940,9.74470,,,,,,,,,-0.236,-0.4197
