,Announcement Date,Fiscal Quarter End,Estimated EPS,Actual EPS
0,2024-11-07,2024-09-30,$0.02,$0.08
1,2024-08-08,2024-06-30,$-0.78,$-0.48
2,2024-05-09,2024-03-31,$-0.56,$-0.68
3,2024-03-19,2023-12-31,$-0.55,$-0.80
4,2023-11-09,2023-09-30,$-0.48,$-1.24
5,2023-08-09,2023-06-30,$-0.45,$-0.51
6,2023-05-09,2023-03-31,$-0.43,$0.09
7,2023-03-23,2022-12-31,$-1.09,$-0.82
8,2022-11-10,2022-09-30,$0.23,$-0.53
9,2022-08-11,2022-06-30,$0.95,$-0.72
10,2022-05-12,2022-03-31,$0.82,$1.02
11,2022-03-17,2021-12-31,$2.51,$0.24
12,2021-11-09,2021-09-30,$2.09,$1.70
13,2021-08-04,2021-06-30,$4.55,$3.52
14,2021-05-05,2021-03-31,$0.91,$1.15
15,2021-03-12,2020-12-31,$1.39,$0.39
16,2020-11-12,2020-09-30,$-0.04,$-0.66
17,2020-08-06,2020-06-30,$-1.16,$-1.16
18,2020-06-03,2020-03-31,$-6.06,$-2.07
19,2020-04-03,2019-12-31,--,$-1.78
20,2019-11-14,2019-09-30,$-0.15,$-0.56
21,2019-08-07,2019-06-30,--,$0.08
22,2019-05-09,2019-03-31,--,$0.69
23,2019-03-13,2018-12-31,--,$-0.05
24,2018-11-12,2018-09-30,$0.00,$0.51
25,2018-08-07,2018-06-30,--,$0.38
26,2018-05-09,2018-03-31,--,$0.81
27,2018-03-29,2017-12-31,$0.81,$0.30
28,2017-11-09,2017-09-30,$0.51,$0.64
29,2017-08-17,2017-03-31,--,$1.44
30,2016-11-10,2016-09-30,$0.77,$1.60
31,2016-08-04,2016-06-30,--,$0.30
32,2016-05-05,2016-03-31,--,$0.50
33,2016-02-18,2015-12-31,--,$0.15
34,2015-11-05,2015-09-30,$0.55,$1.13
35,2015-08-06,2015-06-30,$0.25,$0.90
36,2015-05-07,2015-03-31,--,$0.21
37,2015-02-12,2014-12-31,$0.14,$-0.07
