Date,revenue,cost-goods-sold,gross-profit,research-development-expenses,selling-general-administrative-expenses,other-operating-income-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,current-ratio,debt-equity-ratio,gross-margin,operating-margin,ebit-margin,pre-tax-profit-margin,net-profit-margin,asset-turnover,inventory-turnover,receiveable-turnover,days-sales-in-receivables,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2023-09-30,0.14200,0.17610,-0.03410,0.00020,0.68530,-0.15610,0.86620,-0.90030,0.02870,-0.87170,-0.87170,-0.87170,-0.88230,-0.87580,-0.90030,0.56030,0.56030,-1.57000,-1.57000,1.65350,,-24.03580,-634.08670,-634.08670,-613.89770,-621.42440,0.05000,0.22720,2.40660,37.39750,-44.15580,-120.00450,-30.71770,-44.15590,3.02770,-0.1336,-0.0733
2023-06-30,0.09700,0.03650,0.06060,0.10530,0.93890,-0.29900,1.36460,-1.30400,-0.00410,-1.30810,-1.30810,-1.30810,-1.31880,-1.28250,-1.30400,0.53860,0.53860,-2.40000,-2.40000,2.74620,,62.39710,-1343.75400,-1343.75400,-1347.95300,-1358.96700,0.03310,0.03880,2.13500,42.15510,-54.70250,-111.24400,-44.58040,-54.70250,4.43950,-2.0334,-1.9545
2023-03-31,0.13020,0.06370,0.06650,0.12670,1.49520,-0.19810,1.84810,-1.78160,0.03000,-1.75170,-1.75170,-1.75170,-1.76340,-1.75350,-1.78160,0.53450,0.53450,-3.40000,-3.40000,3.72290,,51.08750,-1368.82500,-1368.82500,-1345.81500,-1354.84100,0.03010,0.06740,0.61850,145.51750,-49.27290,-73.30690,-40.47080,-49.27290,6.60000,-2.44990,-2.44990
2022-12-31,0.15370,0.03710,0.11660,0.21060,1.55380,-0.26910,2.06140,-1.94480,-0.00080,-1.94560,-1.94560,-1.94560,-1.95980,-1.91690,-1.94480,0.52490,0.52490,-3.61000,-3.61000,6.79230,,75.89070,-1265.49100,-1265.49200,-1265.98400,-1275.23700,0.02690,0.03900,0.41350,217.63410,-38.33820,-49.26160,-34.10910,-38.33820,9.66610,-3.478,-3.6319
2022-09-30,0.18820,0.07970,0.10850,0.15220,1.93970,-0.27410,2.39300,-2.28440,-0.00790,-2.29230,-2.29230,-2.29230,-2.30650,-2.25760,-2.28440,0.52490,0.52490,-4.39000,-4.39000,7.69130,,57.65470,-1213.53800,-1213.53800,-1217.72600,-1225.28000,0.02460,0.08240,0.51190,175.83100,-33.60290,-39.95260,-29.99360,-33.60280,12.99510,-3.947,-3.9469
2022-06-30,0.23670,0.19310,0.04360,0.14690,1.80040,-0.30230,2.27940,-2.23580,-0.01130,-2.24720,-2.24720,-2.24720,-2.26140,-2.20600,-2.23580,0.52490,0.52490,-4.40000,-4.40000,13.02760,,18.41670,-944.74770,-944.74770,-949.53520,-955.54380,0.02510,0.24640,0.81120,110.95330,-25.50550,-28.87940,-23.81640,-25.50550,16.78360,-4.3576,-4.3588
2022-03-31,0.05180,0.04010,0.01180,0.14340,1.87980,-0.24090,2.29570,-2.28390,0.07660,-2.20740,-2.20740,-2.20740,-2.22160,-2.25240,-2.28390,0.52490,0.52490,-4.20000,-4.20000,11.68440,,22.66990,-4405.41700,-4405.41700,-4257.76400,-4285.19200,0.00440,0.05130,0.19860,453.12820,-20.33200,-22.34710,-18.77960,-20.33200,20.68150,-3.86140,-4.02000
2021-12-31,0.34920,0.15050,0.19880,0.28170,1.89980,-0.39510,2.59420,-2.39550,-0.00190,-2.39740,-2.39740,-2.39740,-2.41160,-2.37790,-2.39550,0.49140,0.49140,-5.00000,-5.00000,12.92610,,56.91470,-685.91020,-685.91030,-686.46800,-690.53940,0.02520,0.21190,0.84730,106.22290,-18.64280,-20.08790,-17.32120,-18.64280,24.49710,-3.6957,-3.8448
2021-09-30,0.70020,0.16480,0.53550,0.13180,2.31560,-0.55180,3.02690,-2.49140,0.00040,-2.49100,-2.49100,-2.49100,-2.50520,-2.46370,-2.49140,0.52470,0.52470,-4.80000,-4.80000,19.85610,,76.47000,-355.79630,-355.79630,-355.73360,-357.76430,0.04440,0.19240,1.05020,85.69470,-16.70020,-17.73240,-15.77730,-16.70020,28.41390,-2.8961,-3.0175
2021-06-30,0.14410,0.11640,0.02780,0.28070,1.49770,-0.36450,2.16860,-2.14090,0.29540,-1.84550,-1.84550,-1.84550,-1.85980,-2.11510,-2.14090,0.52470,0.52470,-3.60000,-3.60000,28.63840,,19.25170,-1485.20900,-1485.20900,-1280.31400,-1290.17900,0.00840,0.13740,0.37010,243.15630,-11.25870,-11.83140,-10.80100,-11.25870,31.24100,-3.0409,-3.128
2021-03-31,0.45810,0.12830,0.32980,0.19630,1.28970,-0.27230,1.78140,-1.45160,0.80090,-0.65070,-0.65070,-0.65070,-0.71160,-1.42860,-1.45160,0.38950,0.38950,-1.80000,-1.80000,3.30550,,71.98870,-316.84530,-316.84530,-142.02190,-155.31650,0.02410,0.17160,1.18060,76.23110,-4.84850,-5.14060,-3.41890,-4.84850,25.57600,-3.18500,-3.19880
2020-12-31,0.16950,0.19180,-0.02220,0.10640,1.07150,-0.26860,1.46560,-1.48780,-0.00110,-1.48890,-1.48890,-1.48890,-1.55370,-1.46880,-1.48780,0.19150,0.19150,7.60000,7.60000,10.61160,,-13.11810,-877.54940,-877.54940,-878.18100,-916.40350,0.02970,0.29070,0.51130,176.00490,-28.83380,-33.75730,-26.11880,-28.83390,17.22680,-9.3925,-9.4756
2020-09-30,0.24850,0.09780,0.15070,0.07970,0.93370,-0.29890,1.36250,-1.21180,-0.00620,-1.21800,-1.21800,-1.21800,-1.95540,-1.16160,-1.21180,0.23380,0.23380,-8.40000,-8.40000,11.30090,,60.65400,-487.58360,-487.58360,-490.09480,-786.78160,0.03750,0.17020,0.51240,175.65980,-20.06980,-22.71890,-18.37660,-20.06980,20.80880,-0.7668,-1.0731
2020-06-30,0.16770,0.05770,0.11000,0.11160,1.16750,-0.22950,1.52650,-1.41660,0.50690,-0.90960,-0.90960,-0.90960,-1.60150,-1.39860,-1.41660,0.16280,0.16280,-9.80000,-9.80000,5.14930,,65.60040,-844.75340,-844.75340,-542.45860,-955.05820,0.03950,0.09850,0.58550,153.71670,-25.55300,-31.19980,-21.40760,-25.55300,18.13460,5.8888,5.975
