Date,revenue,gross-profit,selling-general-administrative-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,current-ratio,gross-margin,operating-margin,ebit-margin,pre-tax-profit-margin,net-profit-margin,asset-turnover,receiveable-turnover,days-sales-in-receivables,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2024-09-30,0.30220,0.30220,0.06860,0.23360,,0.23360,,0.23360,0.23360,0.23360,0.23360,0.23360,2.00000,2.00000,0.12000,0.12000,,100.00000,77.28600,77.28600,77.28600,77.28600,0.29950,,,23.14690,23.14690,23.14690,23.14690,0.50450,0.11680,0.11680
2024-06-30,0.22980,0.22980,0.05950,0.17030,,0.17030,,0.17030,0.17030,0.17030,0.17030,0.17030,2.00000,2.00000,0.09000,0.09000,,100.00000,74.11570,74.11570,74.11570,74.11570,0.23810,,,17.64840,17.64840,17.64840,17.64840,0.48260,0.0852,0.0852
2024-03-31,0.24760,0.24760,0.13200,0.11550,,0.11550,,0.11550,0.11550,0.11550,0.11550,0.11550,2.00000,2.00000,0.06000,0.06000,,100.00000,46.66320,46.66320,46.66320,46.66320,0.27300,,,12.73980,12.73980,12.73980,12.73980,0.45340,0.0578,0.0578
2023-12-31,0.26290,0.26290,0.06370,0.19920,,0.19920,,0.19920,0.19920,0.19920,0.19920,0.19920,2.00000,2.00000,0.10000,0.10000,,100.00000,75.78070,75.78070,75.78070,75.78070,0.26440,,,20.03410,20.03410,20.03410,20.03410,0.49720,0.0996,0.0996
2023-09-30,0.30470,0.30470,0.07660,0.22810,,0.22810,,0.22810,0.22810,0.22810,0.22810,0.22810,2.00000,2.00000,0.11000,0.11000,,100.00000,74.85260,74.85260,74.85260,74.85260,0.31650,,,23.69230,23.69230,23.69230,23.69230,0.48130,0.11400,0.11400
2023-06-30,0.31280,0.31280,0.05450,0.25830,,0.25830,,0.25830,0.25830,0.25830,0.25830,0.25830,2.00000,2.00000,0.13000,0.13000,,100.00000,82.58040,82.58040,82.58040,82.58040,0.31970,,,,26.40360,26.40360,26.40360,0.48910,0.1291,0.1291
2023-03-31,0.30060,0.30060,0.08480,0.21580,,0.21580,,0.21580,0.21580,0.21580,0.21580,0.21580,2.00000,2.00000,0.11000,0.11000,,100.00000,71.78910,71.78910,71.78910,71.78910,0.31970,,,22.95180,22.95180,22.95180,22.95180,0.47010,0.1079,0.1079
2022-12-31,0.43510,0.43510,0.05620,0.37900,,0.37900,,0.37900,0.37900,0.37900,0.37900,0.37900,2.00000,2.00000,0.19000,0.19000,,100.00000,87.09350,87.09350,87.09350,87.09350,0.41720,,,36.33230,36.33230,36.33230,36.33230,0.52150,0.1895,0.1895
2022-09-30,0.60050,0.60050,0.07810,0.52240,,0.52240,,0.52240,0.52240,0.52240,0.52240,0.52240,2.00000,2.00000,0.26000,0.26000,,100.00000,86.99630,86.99630,86.99630,86.99630,0.52080,,,45.31040,45.31040,45.31040,45.31040,0.57640,0.26120,0.26120
2022-06-30,0.48360,0.48360,0.05020,0.43340,,0.43340,,0.43340,0.43340,0.43340,0.43340,0.43340,2.00000,2.00000,0.22000,0.22000,,100.00000,89.61840,89.61840,89.61840,89.61840,0.41900,,,,37.55160,37.55160,37.55160,0.57710,0.2167,0.2167
2022-03-31,0.46430,0.46430,0.07820,0.38610,,0.38610,,0.38610,0.38610,0.38610,0.38610,0.38610,2.00000,2.00000,0.19000,0.19000,,100.00000,83.15950,83.15950,83.15950,83.15950,0.41620,,,34.60800,34.60800,34.60800,34.60800,0.55790,0.1931,0.1931
2021-12-31,0.26470,0.26470,0.08330,0.18140,,0.18140,,0.18140,0.18140,0.18140,0.18140,0.18140,2.00000,2.00000,0.09000,0.09000,,100.00000,68.54520,68.54520,68.54520,68.54520,0.28020,,,19.20900,19.20900,19.20900,19.20900,0.47230,0.0907,0.0907
2021-09-30,0.22930,0.22930,0.02610,0.20320,,0.20320,,0.20320,0.20320,0.20320,0.20320,0.20320,2.00000,2.00000,0.10000,0.10000,,100.00000,88.62510,88.62510,88.62510,88.62510,0.23480,,,20.80780,20.80780,20.80780,20.80780,0.48830,0.10160,0.10160
2021-06-30,0.14870,0.14870,0.03660,0.11210,,0.11240,,0.11240,0.11240,0.11240,0.11210,0.11210,2.00000,2.00000,0.05000,0.05000,,100.00000,75.38510,75.38510,75.56600,75.56600,0.16480,,,,12.45520,12.45520,12.45520,0.45100,0.0562,0.0562
2021-03-31,0.08290,0.08290,0.07130,0.01150,,0.01120,,0.01120,0.01120,0.01120,0.01150,0.01150,2.00000,2.00000,0.01000,0.01000,,100.00000,13.89210,13.89210,13.56740,13.56740,0.09790,29.59040,3.04150,1.32850,1.32850,1.32850,1.32850,0.42310,0.0056,0.0056
2020-12-31,0.10150,0.10150,0.09660,0.00500,,0.00500,,0.00500,0.00500,0.00500,0.00500,0.00500,2.00000,2.00000,0.00000,0.00000,,100.00000,4.88650,4.88650,4.88650,4.88650,0.11660,36.26610,2.48170,0.56960,0.56960,0.56960,0.56960,0.43560,0.0025,0.0025
2020-09-30,0.05370,0.05370,0.02070,0.03300,,0.03300,,0.03300,0.03300,0.03300,0.03300,0.03300,2.00000,2.00000,0.02000,0.02000,,100.00000,61.45590,61.45590,61.45590,61.45590,0.06100,19.19320,4.68920,3.75070,3.75070,3.75070,3.75070,0.44030,0.01650,0.01650
