Date,revenue,cost-goods-sold,gross-profit,selling-general-administrative-expenses,other-operating-income-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,current-ratio,debt-equity-ratio,gross-margin,operating-margin,ebit-margin,pre-tax-profit-margin,net-profit-margin,asset-turnover,inventory-turnover,receiveable-turnover,days-sales-in-receivables,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2024-09-30,10.69100,2.76500,7.92600,3.86800,-4.33300,8.20100,-0.27500,0.44100,0.16600,0.13100,0.03500,0.03500,0.03500,-0.24400,-0.27500,11.47100,11.49000,0.00000,0.00000,2.55030,,74.13710,-2.57230,-2.57230,1.55270,0.32740,0.18340,0.75050,,,0.09910,0.09910,0.06000,0.09910,3.06650,-0.0378,-0.0384
2024-06-30,10.47500,2.69900,7.77600,3.81100,-4.20300,8.01400,-0.23800,0.51900,0.28100,0.10800,0.17300,0.17300,0.17300,-0.20400,-0.23800,11.46400,11.48300,0.02000,0.02000,2.57120,,74.23390,-2.27210,-2.27210,2.68260,1.65160,0.17040,0.63510,,,0.46440,0.46440,0.28130,0.46440,3.23440,-0.3107,-0.3124
2024-03-31,10.95100,2.91200,8.03900,3.91800,-4.48600,8.40400,-0.36500,0.56300,0.19800,0.01000,0.18800,0.18800,0.18800,-0.33000,-0.36500,11.45600,11.47400,0.02000,0.02000,3.00700,,73.40880,-3.33300,-3.33300,1.80810,1.71670,0.16190,0.59440,,,0.47750,0.47750,0.27790,0.47750,3.41850,0.04780,0.04690
2023-12-31,10.93700,2.78900,8.14800,3.83700,-4.55300,8.39000,-0.24200,0.70800,0.46600,0.10800,0.35800,0.35800,0.35800,-0.20800,-0.24200,11.43600,11.45600,0.03000,0.03000,3.21400,,74.49940,-2.21270,-2.21270,4.26080,3.27330,0.15830,0.64970,,,0.86060,0.86060,0.51820,0.86060,3.61210,-0.0059,-0.0071
2023-09-30,10.61500,2.68900,7.92600,3.85700,-4.36100,8.21800,-0.29200,0.58500,0.29300,0.12100,0.17200,0.17200,0.17200,-0.25300,-0.29200,11.44000,11.45400,0.02000,0.02000,3.22310,,74.66790,-2.75080,-2.75080,2.76020,1.62030,0.14780,0.55080,,,0.39710,0.39710,0.23950,0.39710,3.76060,-0.0753,-0.0769
2023-06-30,10.51100,2.66600,7.84500,4.08000,-4.50800,8.58800,-0.74300,0.44200,-0.30100,-0.08200,-0.21900,-0.21900,-0.21900,-0.69800,-0.74300,11.43200,11.43200,-0.02000,-0.02000,3.24760,,74.63610,-7.06880,-7.06880,-2.86370,-2.08350,0.14050,0.56540,,,-0.48210,-0.48210,-0.29270,-0.48210,3.94300,-0.2313,-0.2319
2023-03-31,11.86100,3.03100,8.83000,4.23200,-4.99200,9.22400,-0.39400,0.68100,0.28700,0.03000,0.25700,0.25700,0.25700,-0.34800,-0.39400,11.42400,11.42800,0.02000,0.02000,3.74590,,74.44570,-3.32180,-3.32180,2.41970,2.16680,0.14790,0.60840,,,0.53490,0.53490,0.32050,0.53490,4.17080,-0.06090,-0.06150
2022-12-31,12.51200,3.26300,9.24900,3.82900,-5.37700,9.20600,0.04300,0.40000,0.44300,0.25500,0.18800,0.18800,0.18800,0.09100,0.04300,11.36200,11.42300,0.02000,0.02000,3.79450,,73.92100,0.34370,0.34370,3.54060,1.50260,0.15110,0.72110,,,0.37490,0.37490,0.22700,0.37490,4.39050,0.0821,0.081
2022-09-30,11.71600,3.09800,8.61800,3.90000,-4.86300,8.76300,-0.14500,0.18700,0.04200,-0.00500,0.04700,0.04700,0.04700,-0.09500,-0.14500,11.42300,11.42300,0.00000,0.00000,3.90390,,73.55750,-1.23760,-1.23760,0.35850,0.40120,0.13850,0.62100,,,0.09050,0.09050,0.05560,0.09050,4.54440,-0.2005,-0.2051
2022-06-30,13.36000,3.39200,9.96800,3.98600,-5.76700,9.75300,0.21500,0.17500,0.39000,0.20700,0.18300,0.18300,0.18300,0.26800,0.21500,11.34600,11.42400,0.02000,0.02000,3.70360,,74.61080,1.60930,1.60930,2.91920,1.36980,0.15180,0.65320,,,0.33550,0.33550,0.20790,0.33550,4.77550,-0.0978,-0.101
