Date,revenue,cost-goods-sold,gross-profit,research-development-expenses,selling-general-administrative-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,current-ratio,long-term-debt-capital,debt-equity-ratio,gross-margin,operating-margin,ebit-margin,pre-tax-profit-margin,net-profit-margin,asset-turnover,receiveable-turnover,days-sales-in-receivables,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2024-09-30,154.05200,37.08400,116.96800,38.57200,85.55300,124.12500,-7.15700,6.37600,-0.78100,1.31900,-2.10000,-2.10000,-2.10000,-4.44600,-7.15700,72.39600,72.39600,-0.03000,-0.03000,1.20770,1.25750,-5.07670,75.92760,-4.64580,-4.64580,-0.50700,-1.36320,0.28010,1.09870,81.91500,4.21680,2.62330,-0.38190,-1.08570,-0.67700,-0.1139,-0.1187
2024-06-30,146.45000,39.41300,107.03700,39.44600,106.78500,146.23100,-39.19400,-4.56200,-43.75600,-0.16400,-43.59200,-43.59200,-43.59200,-36.46400,-39.19400,72.30000,72.30000,-0.60000,-0.60000,1.23940,1.22830,-5.56250,73.08780,-26.76270,-26.76270,-29.87780,-29.76580,0.26410,1.11210,80.93120,95.47520,58.12030,-7.86030,-21.79960,-0.63110,-0.2401,-0.2507
2024-03-31,149.83500,37.99700,111.83800,39.77100,91.60200,131.37300,-19.53500,-13.85300,-33.38800,-0.46500,-32.92300,-32.92300,-32.92300,-17.03400,-19.53500,73.30000,73.30000,-0.45000,-0.45000,1.32640,1.04050,-26.39660,74.64080,-13.03770,-13.03770,-22.28320,-21.97280,0.25170,1.15870,77.67560,340.64180,83.10310,-5.53000,-13.81230,-0.13380,0.25740,0.22740
2023-12-31,145.31900,34.31500,111.00400,34.59600,93.23600,127.83210,-16.82810,7.89400,-8.93400,1.07200,-10.00600,-10.00600,-10.00600,-14.29910,-16.82810,73.10200,73.10200,-0.13000,-0.13000,1.11630,0.72820,3.94700,76.38640,-11.58010,-11.58010,-6.14790,-6.88550,0.23160,0.84700,106.25240,-19.11700,-46.87530,-1.59460,-5.19630,0.71340,-0.1142,-0.1329
2023-09-30,137.09400,36.06900,101.02500,37.13500,79.10700,116.24200,-15.21700,-6.85600,-22.07300,0.17800,-22.25100,-22.25100,-22.25100,-12.75700,-15.21700,73.17800,73.17800,-0.30000,-0.30000,1.19220,0.67590,3.04620,73.69030,-11.09970,-11.09970,-16.10060,-16.23050,0.22960,1.02660,87.67210,-32.67350,-58.52750,-3.72690,-10.58980,0.93000,-0.8873,-0.8935
2023-06-30,127.71500,36.84500,90.87000,39.74300,91.78900,131.53200,-40.66200,-0.86900,-41.53100,0.82400,-42.35500,-42.35500,-42.35500,-38.14600,-40.66200,73.04100,73.04100,-0.58000,-0.58000,1.34280,0.63920,2.58340,71.15060,-31.83810,-31.83810,-32.51850,-33.16370,0.20860,0.95300,94.44030,-52.52880,-85.64870,-6.91670,-18.95030,1.10280,-0.1626,-0.2088
2023-03-31,135.23500,36.09300,99.14200,41.62400,92.78400,134.40800,-35.26600,-0.42800,-35.69400,1.13500,-36.82900,-36.82900,-36.82900,-32.85400,-35.26600,72.86900,72.86900,-0.51000,-0.51000,1.45660,0.55250,1.79690,73.31090,-26.07760,-26.07760,-26.39410,-27.23330,0.20970,0.91640,98.21500,-31.64030,-43.46220,-5.71150,-14.15810,1.59550,-0.34670,-0.40740
2022-12-31,125.78600,35.33700,90.44900,37.90600,93.16400,131.07000,-40.62100,7.82100,-32.80000,1.61600,-34.41600,-34.41600,-34.41600,-38.61300,-40.62100,72.45500,72.45500,-0.47000,-0.47000,1.56330,0.44190,0.81070,71.90710,-32.29370,-32.29370,-26.07600,-27.36080,0.21170,0.75790,118.74740,-23.62110,-30.16300,-5.79190,-13.18220,2.00090,-0.1747,-0.2193
2022-09-30,117.87600,33.76000,84.11600,37.62300,84.26900,121.89200,-37.77600,-5.96500,-43.74100,0.25500,-43.99600,-43.99600,-43.99600,-36.01700,-37.77600,72.50300,72.50300,-0.61000,-0.61000,1.32790,,,71.35970,-32.04730,-32.04730,-37.10760,-37.32400,0.25930,0.82210,109.47650,-25.43970,-30.60420,-9.67880,-25.43970,2.38410,-0.6016,-0.6178
2022-06-30,110.06300,33.29300,76.77000,33.84200,85.67500,119.51700,-42.74700,-6.21300,-48.96000,0.39400,-49.35400,-49.35400,-49.35400,-40.94700,-42.74700,72.39000,72.39000,-0.68000,-0.68000,1.48540,,,69.75100,-38.83870,-38.83870,-44.48360,-44.84160,0.23440,0.91400,98.47230,-24.06810,-28.42600,-10.50920,-24.06810,2.83060,-0.409,-0.4268
