Date,revenue,gross-profit,selling-general-administrative-expenses,other-operating-income-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,income-from-discontinued-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,long-term-debt-capital,debt-equity-ratio,operating-margin,ebit-margin,pre-tax-profit-margin,net-profit-margin,asset-turnover,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2024-09-30,13.98800,13.98800,8.88600,-57.08900,-56.20100,29.99600,-26.20500,0.02200,-26.22700,-26.22700,,-28.18600,-51.91100,-56.20100,107.45600,107.45600,-0.26000,-0.26000,,,-401.78010,-401.78010,-187.33920,-201.50130,0.00570,-1.14330,-1.08680,-1.07440,-1.08680,22.48420,0.3142,0.3142
2024-06-30,14.10900,14.10900,8.35600,-6.72100,-5.15000,29.77000,24.62000,0.43400,24.18600,24.18600,,22.15300,-0.91800,-5.15000,107.41600,108.75100,0.21000,0.20000,,,-36.50150,-36.50150,174.49860,157.01320,0.00570,1.04320,0.99210,0.98170,0.99210,22.71340,0.3016,0.3016
2024-03-31,15.19000,15.19000,8.32300,-6.53400,-4.02400,29.51200,25.48800,0.03000,25.45800,25.45800,,23.40800,0.33300,-4.02400,107.21600,108.22400,0.22000,0.22000,,,-26.49110,-26.49110,167.79460,154.10140,0.00620,1.10970,1.05490,1.04350,1.05490,22.50760,0.20740,0.20740
2023-12-31,15.14600,15.14600,7.50400,-6.54200,-3.08400,29.67000,26.58600,-0.04000,26.62600,26.62600,,24.55200,1.10000,-3.08400,108.84100,110.18500,0.22000,0.22000,,,-20.36180,-20.36180,175.53150,162.10230,0.00620,1.17250,1.11400,1.09800,1.11400,22.36950,0.3254,0.3254
2023-09-30,15.21200,15.21200,7.06100,-6.72200,-3.00700,29.26900,26.26200,0.03000,26.23200,26.23200,,24.14900,1.42900,-3.00700,108.93100,110.21700,0.22000,0.22000,,,-19.76730,-19.76730,172.64000,158.74970,0.00640,1.16950,1.11050,1.09580,1.11050,22.13660,0.3226,0.3226
2023-06-30,14.59000,14.59000,13.85400,-6.94200,-10.72000,27.35200,16.63200,0.79600,15.83600,15.83600,,13.78700,-6.20600,-10.72000,109.83900,111.23700,0.13000,0.12000,,,-73.47500,-73.47500,113.99590,94.49620,0.00600,0.69680,0.66210,0.65390,0.66210,21.79740,0.2541,0.2541
2023-03-31,15.57600,15.57600,8.55500,-7.25600,-4.54500,28.37600,23.83100,1.08000,22.75100,22.75100,,20.68800,-0.23500,-4.54500,109.72000,111.30000,0.19000,0.19000,,,-29.17950,-29.17950,152.99820,132.81970,0.00650,1.01120,0.96030,0.94820,0.96030,21.59550,0.20760,0.20760
2022-12-31,15.78700,15.78700,7.13700,-6.98600,-2.97000,24.27000,21.30000,0.37200,20.92800,20.92800,,18.87800,1.66400,-2.97000,111.67400,112.82500,0.17000,0.17000,,,-18.81300,-18.81300,134.92120,119.57940,0.00550,0.77380,0.74110,0.73310,0.74110,25.80450,0.2889,0.2889
2022-09-30,15.12600,15.12600,7.59300,-6.07300,-2.99100,15.23500,12.24400,0.02300,12.22100,12.22100,,10.19300,1.46000,-2.99100,111.30500,112.59600,0.09000,0.09000,,,-19.77390,-19.77390,80.94670,67.38730,0.00510,0.45070,0.43170,0.41170,0.43170,25.58110,0.1646,0.1654
2022-06-30,15.54100,15.54100,7.64600,-6.59200,-3.01000,5.96300,2.95300,0.05000,2.90300,2.90300,,0.89900,1.30300,-3.01000,112.00500,113.38000,0.01000,0.01000,,,-19.36810,-19.36810,19.00140,5.78470,0.00520,0.10270,0.09850,0.09780,0.09850,26.48120,0.0974,0.0974
