Date,revenue,cost-goods-sold,gross-profit,research-development-expenses,selling-general-administrative-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,income-from-discontinued-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,current-ratio,long-term-debt-capital,debt-equity-ratio,gross-margin,operating-margin,ebit-margin,pre-tax-profit-margin,net-profit-margin,asset-turnover,receiveable-turnover,days-sales-in-receivables,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2024-09-30,118.72800,64.77400,53.95400,9.43300,58.06300,67.49600,-13.54200,-10.04400,-23.58600,1.40000,-24.98600,-24.98600,,-24.98600,5.81000,-13.54200,103.04100,103.04100,-0.24000,-0.24000,1.09060,0.69090,2.23510,45.44340,-11.40590,-11.40590,-19.86560,-21.04470,0.14060,0.61960,145.24860,-13.70820,7.69900,-2.95870,-4.23500,1.76170,-0.0845,-0.1568
2024-06-30,117.98900,63.59900,54.39000,10.71400,59.76400,70.47800,-16.08800,-7.31800,-23.40600,1.75000,-25.15600,-25.15600,,-25.15600,4.73100,-16.08800,102.39600,102.39600,-0.25000,-0.25000,1.05120,0.66770,2.00960,46.09750,-13.63520,-13.63520,-19.83740,-21.32060,0.13720,0.59580,151.05770,-12.84430,7.81260,-2.92440,-4.26560,1.91140,-0.01320,-0.07110
2024-03-31,112.22300,61.10600,51.11700,11.28400,58.21300,258.95610,-207.83910,-8.25300,-216.09200,20.41400,-236.50600,-236.50600,,-236.50600,-186.91510,-207.83910,100.97500,100.97500,-2.33000,-2.33000,1.02680,0.64190,1.79260,45.54950,-185.20190,-185.20190,-192.55590,-210.74650,0.12970,0.58750,153.18920,-110.60370,73.99020,-27.32470,-39.58780,2.09490,-0.1148,-0.1832
2023-12-31,142.63400,78.97800,63.65600,13.03600,59.88700,72.92300,-9.26700,-7.63900,-16.90600,-2.84500,-14.06100,-14.06100,,-14.06100,11.74100,-9.26700,101.37600,101.37600,-0.14000,-0.14000,1.06940,0.45630,0.83920,44.62890,-6.49700,-6.49700,-11.85270,-9.85810,0.12890,0.65660,137.07470,-3.15550,4.75210,-1.27060,-1.71530,4.38270,0.1128,0.0833
2023-09-30,143.25900,77.73600,65.52300,14.03700,56.92200,218.14000,-152.61700,-9.57800,-162.19500,-0.71300,-161.48200,-161.48200,,-161.48200,-131.94900,-152.61700,100.60400,100.60400,-1.61000,-1.61000,1.10200,0.46150,0.85700,45.73740,-106.53220,-106.53220,-113.21800,-112.72030,0.13130,0.73270,122.83900,-36.06430,52.68480,-14.79870,-19.41660,4.43040,0.2728,0.2038
2023-06-30,146.36600,79.20500,67.16100,15.80000,56.07600,71.87600,-4.71500,-5.22300,-9.93800,-1.53900,-8.39900,-8.39900,,-8.17900,16.54300,-4.71500,99.87700,99.87700,-0.08000,-0.08000,1.21830,0.40390,0.67760,45.88570,-3.22140,-3.22140,-6.78980,-5.58800,0.11600,0.71790,125.36950,-1.40280,2.60540,-0.66590,-0.83610,5.97100,0.01320,-0.05970
2023-03-31,140.11800,80.63600,59.48200,13.39900,55.23200,68.63100,-9.14900,-7.72200,-16.87100,-3.01800,-13.85300,-13.85300,,-13.93200,11.77700,-9.14900,98.78300,101.81600,-0.14000,-0.14000,1.20440,0.40340,0.67600,42.45140,-6.52950,-6.52950,-12.04060,-9.94300,0.11060,0.78630,114.45360,-2.28160,4.14820,-1.09380,-1.36110,6.10560,0.17,0.089
2022-12-31,162.31000,82.69400,79.61600,14.21800,55.60100,69.81900,9.79700,-6.88800,2.90900,-1.15300,4.06200,4.06200,,4.01900,29.93400,9.79700,99.10800,103.34800,0.04000,0.04000,1.18460,0.41000,0.69500,49.05180,6.03600,6.03600,1.79220,2.47610,0.12000,0.70260,128.08880,0.66860,-1.16760,0.30030,0.39440,6.12880,0.3185,0.2643
2022-09-30,174.85900,86.08000,88.77900,14.73600,52.96100,67.69700,21.08200,-5.19800,15.88400,4.18100,11.70300,11.70300,,11.66400,41.16300,21.08200,98.88700,102.89800,0.12000,0.11000,1.16880,0.43300,0.76350,50.77180,12.05660,12.05660,9.08390,6.67050,0.12730,0.68390,131.59140,1.99850,-3.16120,0.85170,1.13300,5.91710,0.2683,0.205
2022-06-30,188.63300,96.28200,92.35100,14.13300,53.78300,67.91600,24.43500,-4.34100,20.09400,5.13600,14.95800,14.95800,,14.92200,44.36400,24.43500,97.82200,102.68600,0.15000,0.15000,1.17990,0.45000,0.81830,48.95800,12.95370,12.95370,10.65240,7.91060,0.13450,0.73220,122.92160,2.58820,-3.70400,1.06690,1.42320,5.85300,0.35670,0.29430
2022-03-31,184.13500,94.73200,89.40300,12.12900,49.84900,61.97800,27.42500,-3.68000,23.74500,3.60400,20.14100,20.14100,,20.10000,43.93100,27.42500,95.19800,102.64000,0.20000,0.20000,1.06650,0.50220,1.03310,48.55300,14.89400,14.89400,12.89540,10.91590,0.12620,0.69980,128.61490,3.90240,-4.15990,1.38090,1.94220,5.31280,0.4048,-1.1191
2021-12-31,216.81800,118.14300,98.67500,13.75500,55.78100,69.53600,29.13900,-18.35900,10.78000,3.71800,7.06200,7.06200,,7.01400,45.10400,29.13900,96.54800,103.28700,0.07000,0.07000,0.70300,0.41280,0.72880,45.51050,13.43940,13.43940,4.97190,3.23500,0.14710,0.74460,120.87560,1.45380,-1.36950,0.47930,0.85350,5.02290,0.3402,0.2965
2021-09-30,188.56800,99.33500,89.23300,13.91500,58.78600,72.70100,16.53200,-24.76800,-8.23600,-2.34900,-5.88700,-5.88700,,-5.85200,32.86000,16.53200,96.15700,96.15700,-0.06000,-0.06000,0.53750,0.33320,0.52710,47.32140,8.76710,8.76710,-4.36770,-3.10340,0.13350,0.82670,108.87120,-1.20570,1.09390,-0.41670,-0.80380,5.05470,0.374,0.31
2021-06-30,158.07500,88.27600,69.79900,12.92400,37.73000,50.65400,19.14500,-1.46200,17.68300,3.43000,14.25300,14.25300,,14.28400,27.79800,19.14500,91.58500,98.82200,0.16000,0.14000,0.52350,0.30740,0.48260,44.15560,12.11130,12.11130,11.18650,9.03620,0.11100,0.72150,124.74400,2.70620,-2.66810,1.00090,1.87390,5.54190,-0.29340,-0.33760
2021-03-31,95.08200,56.06000,39.02200,6.29200,16.77600,23.06800,15.95400,-1.02300,14.93100,-15.12500,30.05600,30.05600,,30.05600,18.00600,15.95400,88.51400,96.15100,0.34580,0.30610,0.87620,,0.10030,41.04040,16.77920,16.77920,15.70330,31.61060,0.36520,1.53400,58.67200,20.72660,258.30210,11.54360,20.71230,1.61330,0.1518,-0.1739
2020-12-31,88.59200,50.89300,37.69900,5.20200,11.98000,17.18200,20.51700,-4.94100,15.57600,1.06100,14.51500,14.51500,,14.51500,22.33800,20.51700,89.00300,96.97600,0.16000,0.15000,1.06280,0.13200,0.16930,42.55350,23.15900,23.15900,17.58170,16.38410,0.38110,1.50090,59.96510,12.95130,-9741.47500,6.24460,11.23230,1.25460,0.1925,0.2514
2020-09-30,70.89300,41.19400,29.69900,4.21700,13.36600,17.58300,12.11600,-11.08200,1.03400,0.66100,0.37300,0.37300,,0.37300,13.80500,12.11600,88.03500,96.05700,0.00420,0.00390,0.89270,0.15550,0.20450,41.89270,17.09050,17.09050,1.45850,0.52610,0.33970,1.53210,58.74450,0.39210,-2.10010,0.17870,0.33080,1.07370,0.2442,0.1394
2020-06-30,59.01200,32.86000,26.15200,4.40800,11.12200,15.53000,10.62200,-0.30600,10.31600,0.37600,9.94000,9.94000,,9.94000,12.17400,10.62200,87.38600,93.10800,0.11000,0.11000,0.82680,0.16790,0.22070,44.31640,17.99970,17.99970,17.48120,16.84400,0.30770,1.35840,66.25550,11.14350,-42.07050,5.18310,9.26200,1.02020,0.06460,0.04300
2020-03-31,39.35100,24.02300,15.32800,3.70600,8.69700,12.40300,2.92500,0.72100,3.64600,-10.38100,14.02700,14.02700,-0.20900,13.81800,3.78300,2.92500,84.59400,89.55800,0.17000,0.16000,0.70580,0.19280,0.25430,38.95200,7.43310,7.43310,9.26530,35.11470,0.21390,1.18760,75.78330,18.13350,-39.30230,7.62290,14.61770,0.88710,0.134,0.1143
2019-12-31,36.01600,21.97600,14.04000,2.78300,7.12500,9.90800,4.13200,-0.83000,3.30200,0.04100,3.26100,3.26100,0.06500,3.32600,4.67200,4.13200,85.87600,92.47200,0.04000,0.04000,1.18100,,,38.98270,11.47270,11.47270,9.16810,9.23480,0.31690,1.34920,66.70540,5.70590,21.76470,2.86920,5.69600,0.66320,0.0785,0.0656
2019-09-30,32.79500,20.49000,12.30500,2.73500,6.45500,9.19000,3.11500,-4.38000,-1.26500,0.07200,-1.33700,-1.33700,-0.08800,-1.42500,3.59700,3.11500,83.90900,83.90900,-0.02000,-0.02000,1.03850,,,37.52100,9.49840,9.49840,-3.85730,-4.34520,0.32080,1.29610,69.43960,-2.75860,-21.22560,-1.30790,-2.75290,0.56970,0.0791,0.0671
2019-06-30,30.55300,18.55300,12.00000,2.79400,6.16600,8.96000,3.04000,-4.81800,-1.77800,-0.10700,-1.67100,-1.67100,-0.14800,-1.81900,3.50200,3.04000,81.81400,81.81400,-0.02000,-0.02000,1.09460,,,39.27600,9.94990,9.94990,-5.81940,-5.95360,0.33680,1.34400,66.96460,-4.50000,33.18770,-1.84200,-4.48800,0.45140,0.05880,0.04930
2019-03-31,27.19200,16.23800,10.95400,2.70200,6.31800,9.02000,1.93400,-8.38400,-6.45000,0.31200,-6.76200,-6.76200,-0.09600,-6.85800,2.30400,1.93400,77.44000,77.44000,-0.10000,-0.10000,0.96910,,,40.28390,7.11240,7.11230,-23.72020,-25.22070,0.32820,1.19750,75.15560,-18.64970,114.41630,-8.16070,-18.59840,0.44550,0.0281,0.0211
2018-12-31,30.41100,19.73300,10.67800,2.42800,5.79400,8.22200,2.45600,-3.37600,-0.92000,0.21600,-1.13600,-1.13600,-0.21200,-1.34800,3.41600,2.45600,77.64500,77.64500,-0.01000,-0.01000,0.89300,0.16800,0.24980,35.11230,8.07600,8.07600,-3.02520,-4.43260,0.35410,1.25560,71.68100,-3.58890,10.57830,-1.32260,-2.97660,0.40860,0.0296,0.0205
2018-09-30,23.85400,16.31000,7.54400,2.63700,4.59200,7.22900,0.31500,1.73000,2.04500,-0.02300,2.06800,2.06800,-0.35600,1.71200,1.02200,0.31500,77.19300,78.78000,0.02000,0.02000,0.81540,0.13790,0.20600,31.62570,1.32050,1.32050,8.57300,7.17700,0.29550,1.14340,78.71130,6.44940,-19.39600,2.56200,5.54260,0.41510,0.0042,-0.0045
2018-06-30,22.11200,15.72300,6.38900,3.10900,4.54000,7.64900,-1.26000,2.75200,1.49200,-0.03600,1.52800,1.52800,-1.04400,0.48400,-0.53100,-1.26000,76.20400,79.59800,0.01000,0.01000,0.80280,0.19670,0.29480,28.89380,-5.69830,-5.69830,6.74750,2.18890,0.27580,1.14300,78.74190,5.32780,-10.62290,1.90600,4.26490,0.37670,-0.04550,-0.05060
2018-03-31,20.96100,14.07600,6.88500,2.11800,6.10600,8.22400,-1.33900,-2.88700,-4.22600,-0.01400,-4.21200,-4.21200,-34.21300,-38.42500,-1.51200,-1.33900,75.16000,75.16000,-0.51000,-0.51000,0.85670,0.23600,0.36120,32.84670,-6.38800,-6.38800,-20.16130,-183.31660,0.24200,1.22940,73.20740,-15.27640,26.61280,-4.86330,-11.62860,0.36360,0.0863,0.0759
2017-12-31,22.73200,15.32400,7.40800,3.12000,5.77500,8.89500,-1.48700,-3.39200,-4.87900,-0.08400,-4.79500,-4.79500,0.99600,-3.79900,-0.62300,-1.48700,72.14800,75.44200,-0.06000,-0.06000,0.83820,0.16340,0.22300,32.58840,-6.54140,-6.54140,-21.46310,-16.71210,0.18460,0.69960,128.64950,-8.05190,24.20010,-3.89320,-6.72530,0.81330,0.027,0.0221
2017-09-30,15.90500,10.29500,5.61000,2.24100,4.83500,7.07600,-1.46600,-6.02100,-7.48700,-0.88400,-6.60300,-6.60300,0.14500,-6.45800,-0.47800,-1.46600,66.84600,66.84600,-0.10000,-0.10000,0.78330,0.16180,0.22960,35.27190,-9.21720,-9.21720,-47.07330,-40.60360,0.13970,0.66860,134.60110,-10.97870,33.39910,-5.80160,-9.18760,0.84070,0.0005,-0.0052
2017-06-30,15.15300,10.00100,5.15200,2.17400,4.49500,6.66900,-1.51700,-2.53900,-4.05600,0.03100,-4.08700,-4.08700,-0.08800,-4.17500,-0.53600,-1.51700,66.59900,66.59900,-0.06000,-0.06000,0.78050,0.19860,0.28080,33.99990,-10.01120,-10.01120,-26.76700,-27.55230,0.13670,0.75250,119.59610,-6.97020,18.69540,-3.68620,-5.57680,0.88180,-0.02110,-0.02660
2017-03-31,11.59900,8.38900,3.21000,2.35900,3.61800,5.97700,-2.76700,-3.31600,-6.08300,-0.30300,-5.78000,-5.78000,-1.14500,-6.92500,-6.19900,-2.76700,66.59500,66.59500,-0.10000,-0.10000,0.76900,0.17220,0.20800,27.67480,-23.85550,-23.85550,-52.44420,-59.70340,0.10780,1.08780,82.73730,-9.33090,-33.74200,-5.37270,-7.71200,0.93170,0.0168,0.0162
2016-12-31,22.28500,18.91700,3.36800,3.11300,5.66500,8.77800,-5.41000,3.12400,-2.28600,0.30000,-2.58600,-2.58600,,-2.58600,-2.99600,-5.41000,66.63400,66.63400,-0.04000,-0.04000,0.82580,0.13540,0.15660,15.11330,-24.27640,-24.27640,-10.25800,-11.60420,0.19860,1.15670,77.80750,-3.78040,17.28030,-2.30450,-3.26370,1.02810,-0.0632,-0.0671
