Date,selling-general-administrative-expenses,other-operating-income-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,current-ratio,debt-equity-ratio,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2024-09-30,,-0.53280,-0.53280,0.87810,0.34530,0.19990,0.14530,0.14530,0.14530,-0.53280,-0.53280,8.82300,8.82300,0.00000,0.00000,0.93040,-0.38040,-2.90750,-2.90750,0.18830,-2.90750,-2.35890,-0.0552,-0.0552
2024-06-30,,-0.57250,-0.57250,0.98670,0.41420,0.19670,0.21750,0.21750,0.21750,-0.57250,-0.57250,9.01950,9.01950,0.00000,0.00000,0.15260,-0.43340,-5.54050,-5.54050,0.28390,-5.54050,-1.85270,-0.0197,-0.0197
2024-03-31,,-0.38830,-0.38830,0.94960,0.56130,0.18890,0.37240,0.37240,0.37240,-0.38830,-0.38830,9.01950,9.01950,1.00000,1.00000,0.31580,-0.37390,-13.76390,-13.76400,0.49540,-13.76390,-1.27670,-0.02020,-0.02020
2023-12-31,,-0.11090,-0.11090,1.00420,0.89330,0.21030,0.68300,0.68300,0.68300,-0.11090,-0.11090,7.16540,7.22090,-0.81000,-0.81000,0.79570,-0.19180,-40.72760,-40.72750,0.92590,-40.72760,-0.79140,-0.0201,-0.0201
2023-09-30,,-0.19410,-0.19410,0.89430,0.70030,0.17730,0.52290,0.52290,0.52290,-0.19410,-0.19410,9.01950,9.01950,0.00000,0.00000,0.87950,-0.20720,-33.32770,-33.32780,0.71770,-33.32770,-0.74050,-0.0062,-0.0062
2023-06-30,,-0.18560,-0.18560,0.71640,0.53080,0.13990,0.39090,0.39090,0.39090,-0.18560,-0.18560,9.01950,9.01950,0.00000,0.00000,1.32050,-0.22810,-27.42880,-27.42880,0.54220,-27.42880,-0.67250,-0.0185,-0.0185
2023-03-31,,-0.05300,-0.05300,-0.20710,-0.26010,-0.01050,-0.24960,-0.24960,-0.24960,-0.05300,-0.05300,1.72500,1.72500,1.00000,1.00000,2.38260,-0.22750,17.46670,17.46680,-0.34920,17.46670,-0.67420,-0.02050,-0.02050
2022-12-31,0.00210,,-0.00210,,-0.00210,0.00000,-0.00210,-0.00210,-0.00210,-0.00210,-0.00210,,,,0.00000,0.12930,11.35620,-10.59910,-10.59910,-0.69570,-10.59910,0.01150,-0.0127,-0.0127
2022-09-30,,-0.00130,-0.00130,,-0.00130,,-0.00130,-0.00130,-0.00130,-0.00130,-0.00130,1.50000,1.50000,0.00000,0.00000,,,,,,,,-0.0215,-0.0215
2022-06-30,,-0.00060,-0.00060,,-0.00060,,-0.00060,-0.00060,-0.00060,-0.00060,-0.00060,0.72530,0.72530,0.00000,0.00000,,,,,,,,0.0342,0.0342
2022-03-31,,,,,0.00000,0.00000,,0.00000,,,,,,,0.00000,,,,,,,,0.00000,
