Date,revenue,cost-goods-sold,gross-profit,research-development-expenses,selling-general-administrative-expenses,other-operating-income-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,current-ratio,debt-equity-ratio,gross-margin,operating-margin,ebit-margin,pre-tax-profit-margin,net-profit-margin,asset-turnover,receiveable-turnover,days-sales-in-receivables,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2024-09-30,135.46600,38.34900,97.11700,7.32300,47.23100,-38.56000,93.11400,4.00300,-3.48600,0.51700,3.30900,-2.79200,-2.79200,-2.79200,10.51200,4.00300,11.08990,11.08990,-0.25000,-0.25000,2.79740,0.22830,71.69110,2.95500,2.95500,0.38160,-2.06100,0.25530,0.63360,142.05030,-0.98840,-2.38450,-0.52610,-0.98840,25.43420,6.0494,5.711
2024-06-30,130.84600,34.44900,96.39700,6.51200,46.38900,-37.76900,90.67000,5.72700,-4.41400,1.31300,-1.82400,3.13700,3.13700,3.13700,12.05800,5.72700,10.86290,12.09140,0.29000,0.26000,2.84660,0.23160,73.67210,4.37690,4.37690,1.00350,2.39750,0.23980,0.59510,151.24040,1.12660,2.84780,0.57480,1.12660,25.43910,3.887,3.7056
2024-03-31,121.00600,31.38900,89.61700,6.58600,41.41800,-30.55000,78.55400,11.06300,-4.37700,6.68600,-0.38900,7.07500,7.07500,7.07500,17.27500,11.06300,10.52640,11.81090,0.67000,0.60000,2.64010,0.23810,74.06000,9.14250,9.14250,5.52530,5.84680,0.22500,0.60420,148.94930,2.61590,7.21330,1.31530,2.61590,25.07030,2.84810,2.66550
2023-12-31,112.96300,31.51600,81.44700,6.51600,36.17900,-40.00200,82.69700,-1.25000,-4.13500,-5.38500,-1.19000,-4.19500,-4.19500,-4.19500,5.17300,-1.25000,9.61430,9.61430,-0.23000,-0.23000,2.42690,0.25010,72.10060,-1.10660,-1.10660,-4.76700,-3.71360,0.21920,0.59830,150.43370,-1.63090,-5.19940,-0.81420,-1.63090,24.70450,4.8507,4.6369
2023-09-30,110.25800,32.81300,77.44500,5.89100,35.50800,-34.94500,76.34400,1.10100,-4.81100,-3.71000,0.40000,-4.11000,-4.11000,-4.11000,7.20700,1.10100,10.22200,10.22200,-0.40000,-0.40000,2.32150,0.29010,70.23980,0.99860,0.99860,-3.36480,-3.72760,0.21520,0.62230,144.63280,-1.60560,-5.47500,-0.80230,-1.60560,24.89590,3.1308,3.0094
2023-06-30,106.54100,32.23000,74.31100,5.61100,33.63900,-36.78100,76.03100,-1.72000,-26.26500,-27.98500,-0.26200,-27.72300,-27.72300,-25.05600,4.39300,-1.72000,9.23420,9.23420,-2.71000,-2.71000,2.20590,0.33170,69.74870,-1.61440,-1.61440,-26.26690,-23.51770,0.20570,0.59900,150.25310,-10.92900,-40.52360,-5.35260,-10.92900,25.02610,3.8101,3.6402
2023-03-31,93.66900,29.80200,63.86700,6.03800,35.79900,-25.50600,67.34300,-3.47600,-5.76500,-9.24100,-0.02400,-9.21700,-9.21700,-11.19400,2.70800,-3.47600,8.65220,8.65220,-1.29000,-1.29000,2.03180,0.92920,68.18370,-3.71090,-3.71090,-9.86560,-11.95060,0.16810,0.54550,164.97360,-9.65220,7.64110,-1.65430,-9.65220,10.85250,0.30970,0.18990
2022-12-31,94.94300,26.99200,67.95100,6.29500,46.00500,-32.69600,84.99600,-17.04500,-115.24700,-132.29200,2.71400,-135.00600,-135.00600,-136.99400,-10.95600,-17.04500,8.05650,8.05650,-16.91000,-16.91000,2.16610,0.89370,71.57030,-17.95290,-17.95290,-139.33830,-144.29080,0.15920,0.57840,155.60580,-136.14830,110.94620,-22.63900,-136.14830,11.54730,1.6304,1.3194
2022-09-30,88.74800,28.83700,59.91100,5.32700,40.11900,-38.63700,84.08300,-24.17200,3.20800,-20.96400,0.05300,-21.01700,-21.01700,-22.70500,-18.01500,-24.17200,8.15680,8.15680,-2.78000,-2.78000,2.38580,0.38660,67.50690,-27.23670,-27.23670,-23.62190,-25.58370,0.11700,0.58810,153.03890,-9.18060,15.22940,-2.76980,-9.18060,27.13330,-0.0059,-0.416
2022-06-30,87.34000,29.38600,57.95400,5.40900,42.62700,-36.82300,84.85900,-26.90500,3.85600,-23.04900,0.01600,-23.06500,-23.06500,-25.24100,-20.89900,-26.90500,7.87710,7.87710,-3.20000,-3.20000,2.65500,0.40130,66.35450,-30.80490,-30.80490,-26.39000,-28.89970,0.11150,0.57890,155.46490,-10.47060,15.31340,-2.94330,-10.47060,27.34080,-0.0825,-0.3579
2022-03-31,69.71400,21.20400,48.51000,4.50500,40.74700,-33.81300,79.06500,-30.55500,-7.84000,-38.39500,-28.41700,-9.97800,-9.97800,-11.00600,-27.13400,-30.55500,7.69120,7.69120,-1.43000,-1.43000,2.96090,0.37810,69.58430,-43.82910,-43.82910,-55.07500,-15.78740,0.08610,0.47900,187.90340,-4.27360,7.06930,-1.23300,-4.27360,29.76630,-1.12480,-1.23180
2021-12-31,55.54800,12.79900,42.74900,3.25600,38.23500,-35.11500,76.60600,-33.85700,1.65200,-32.20500,0.01500,-32.22000,-32.22000,-35.54300,-32.96700,-33.85700,3.23540,3.23540,24.62460,32.43240,4.76820,0.19660,76.95860,-60.95090,-60.95090,-57.97690,-63.98610,0.11300,0.40420,222.65070,-14.53420,-22.37210,-6.55490,-14.53420,25.84110,-2.3659,-2.4655
2021-09-30,44.21700,10.88500,33.33200,1.49800,33.68000,-23.49900,58.67700,-25.34500,0.69900,-24.64600,-0.00100,-24.64500,-24.64500,24.30100,-24.85900,-25.34500,2.07510,7.29650,11.71170,3.90390,4.58440,0.18770,75.38280,-57.31960,-57.31960,-55.73870,54.95850,0.09440,0.39310,228.96400,-10.60580,-12.15430,-5.25930,-10.60580,30.85270,-3.117,-3.0636
2021-06-30,38.18000,10.54300,27.63700,2.25700,21.78900,-16.97300,41.01900,-13.38200,-25.81400,-39.19600,0.01700,-39.21300,-39.21300,-47.27500,-12.88000,-13.38200,1.61980,1.61980,-29.12910,-29.12910,0.49880,,72.38610,-35.04980,-35.04980,-102.66110,-123.82140,0.10900,,,-784.25870,-784.25990,-11.19540,-784.25870,10.58890,0.7903,0.7101
