Date,research-development-expenses,selling-general-administrative-expenses,other-operating-income-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,current-ratio,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2024-07-31,,3.69270,-1.09780,-4.83830,10.62450,5.78620,5.78620,5.78620,5.78620,-4.79050,-4.83830,238.24700,238.24700,0.02190,0.02190,38.89620,2.94150,2.94150,2.92580,2.94150,0.81200,-0.00810,-0.02680
2024-04-30,,1.27500,-1.53040,-2.78100,0.37170,-2.40930,-2.40930,-2.40930,-2.40930,-2.70520,-2.78100,212.05100,212.05100,-0.01370,-0.01370,15.50980,-1.20890,-1.20890,-1.19260,-1.20890,0.85670,-0.0167,-0.051
2024-01-31,0.10000,2.15280,-1.20060,-3.49240,0.47710,-3.01530,-3.01530,-3.01530,-3.01530,-3.45270,-3.49240,208.03400,208.03400,-0.01480,-0.01480,10.23240,-1.77690,-1.77690,-1.74660,-1.77690,0.81300,-0.0072,-0.0362
2023-10-31,,1.82250,-1.01110,-2.91230,-0.17560,-3.08790,-3.08790,-3.08790,-3.08790,-2.83450,-2.91230,207.99200,207.99200,-0.01470,-0.01470,14.71150,-1.82730,-1.82730,-1.80020,-1.82730,0.81240,-0.0129,-0.037
2023-07-31,,2.77660,-0.49580,-3.32280,0.02400,-3.29890,-3.29890,-3.29890,-3.29890,-3.27240,-3.32280,207.94000,207.94000,-0.01600,-0.01600,11.73870,-1.84740,-1.84740,-1.80620,-1.84740,0.85880,-0.01380,-0.04400
2023-04-30,,1.95480,-1.99910,-4.01510,0.17490,-3.83630,-3.83630,-3.83630,-3.83630,-3.95180,-4.01510,172.20200,172.20200,-0.02230,-0.02230,11.46570,-2.19630,-2.19630,-2.13690,-2.19630,0.84000,0.0082,-0.0342
2023-01-31,,1.14400,-1.06000,-2.25910,0.05170,-2.21130,-2.21130,-2.21130,-2.21130,-2.20500,-2.25910,175.11210,175.11210,-0.01490,-0.01490,18.04240,-1.62650,-1.63050,-1.60890,-1.62650,0.75400,-0.0272,-0.0466
2022-10-31,,1.46270,-0.10850,-1.62170,0.04670,-1.57500,-1.57500,-1.57500,-1.57500,-1.57230,-1.62170,154.87600,154.87600,-0.00750,-0.00750,3.10190,-1.37490,-1.37490,-1.32310,-1.37490,0.73970,-0.0108,-0.0393
2022-07-31,,1.83330,-0.76220,-2.63110,0.02730,-2.60380,-2.60380,-2.60380,-2.60380,-2.59550,-2.63110,154.87600,154.87600,-0.01550,-0.01550,4.13160,-2.18270,-2.18270,-2.09540,-2.18270,0.77030,-0.02400,-0.09720
2022-04-30,,,,,,,,-2.18700,-2.18700,,,138.11500,138.11500,-0.02000,-0.02000,4.61510,-1.76120,-1.76120,-1.65350,-1.76120,,-0.0818,-0.3494
2022-01-31,,,,,,,,-5.22000,-5.22000,,,148.15100,148.15100,-0.04000,-0.04000,,,,,,,0,0
