Date,revenue,cost-goods-sold,gross-profit,selling-general-administrative-expenses,other-operating-income-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,debt-equity-ratio,operating-margin,ebit-margin,pre-tax-profit-margin,net-profit-margin,asset-turnover,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2024-09-30,29.46400,3.66500,25.79900,1.42800,,9.76900,16.03000,-9.12900,6.90100,6.90100,6.90100,0.94400,24.93000,16.03000,6.95000,6.95000,0.14000,0.14000,10.49690,54.40540,54.40540,23.42180,3.20390,0.04450,12.49750,21.61090,1.04320,12.49750,7.44990,1.4644,-1.3626
2024-06-30,29.27200,3.64600,25.62600,2.10100,,10.32800,15.29800,-8.25800,7.04000,7.04000,7.04000,0.93800,23.83300,15.29800,6.47800,6.47800,0.14000,0.14000,10.89190,52.26150,52.26150,24.05030,3.20440,0.04600,13.89440,26.89590,1.10710,13.89440,7.34430,3.1752,2.276
2024-03-31,27.83400,3.90700,23.92700,1.54400,0.00000,9.64200,14.28500,-8.29300,5.99200,5.99200,5.99200,0.74600,22.85200,14.28500,6.47800,6.47800,0.12000,0.12000,11.59000,51.32210,51.32210,21.52760,2.68020,0.04380,12.42540,26.60270,0.94370,12.42540,7.45580,0.32800,0.32800
2023-12-31,25.48000,3.44700,22.03300,1.68900,,9.65800,12.37500,-6.65600,5.71900,5.71900,5.71900,0.71400,20.68600,12.37500,6.36500,6.36500,0.11000,0.11000,11.34870,48.56750,48.56750,22.44510,2.80220,0.04130,12.09780,14.78960,0.92720,12.09780,7.28620,2.0337,2.0312
2023-09-30,25.77100,3.86400,21.90700,1.56000,,8.85100,13.05600,-8.35200,4.70400,4.70400,4.70400,0.58900,20.75200,13.05600,6.36600,6.36600,0.09000,0.09000,10.07820,50.66160,50.66160,18.25310,2.28550,0.04090,8.72760,10.56200,0.74690,8.72760,8.38360,2.5845,-13.443
2023-06-30,24.30700,3.85300,20.45400,0.95100,,7.93800,12.51600,-6.83400,5.68200,5.68200,5.68200,0.69800,19.91200,12.51600,6.36600,6.36600,0.11000,0.11000,9.18730,51.49130,51.49130,23.37600,2.87160,0.04360,10.90760,13.53700,1.01890,10.90760,8.18280,2.4467,2.4419
2023-03-31,24.24700,3.85400,20.39300,1.46200,-2.45100,10.90100,9.49200,-5.35300,4.13900,4.13900,4.13900,0.49500,16.73300,9.49200,6.36500,6.36500,0.08000,0.08000,9.19830,39.14710,39.14710,17.07020,2.04150,0.04410,8.25460,10.54070,0.75310,8.25460,7.87650,1.56730,0.62470
2022-12-31,23.57100,3.77100,19.80000,1.86000,1.19900,7.56300,12.23700,-5.09000,7.14700,7.14700,7.14700,0.83200,20.10000,12.23700,6.00900,6.00900,0.14000,0.14000,9.22190,51.91550,51.91550,30.32120,3.52980,0.04310,14.47230,18.93140,1.30660,14.47230,7.75750,2.2836,2.1982
2022-09-30,24.23500,4.01200,20.22300,0.73000,5.10000,2.72200,17.50100,-8.25100,9.25000,9.25000,9.25000,1.01800,24.86200,17.50100,6.04400,6.04400,0.17000,0.17000,7.74200,72.21380,72.21380,38.16790,4.20050,0.04460,15.65200,19.80350,1.70170,15.65200,9.77800,3.1286,3.1286
2022-06-30,21.77800,2.80500,18.97300,0.83200,-0.41300,8.52600,10.44700,-5.10900,5.33800,5.33800,5.33800,0.58700,18.01300,10.44700,5.88000,5.88000,0.10000,0.10000,8.75180,47.97040,47.97040,24.51100,2.69540,0.03930,9.82950,12.96890,0.96240,9.82950,8.98510,3.5296,3.5296
2022-03-31,22.95900,3.07500,19.88400,2.59000,-0.25000,10.12300,9.76100,-15.07700,-5.31600,-5.31600,-5.31600,-0.58500,17.42400,9.76100,5.85000,5.85000,-0.10000,-0.10000,,42.51490,42.51490,-23.15430,-2.54800,,,,,,,-0.46680,-0.46680
2021-12-31,,,,,,,,,,,,,,,,,,0.00000,,,,,,,,,,,,-5.3409,5.5756
2021-09-30,23.54800,3.70700,19.84100,2.38800,,9.21400,10.62700,-7.94500,2.68200,2.68200,2.68200,0.29200,17.88600,10.62700,5.85000,5.85000,0.05000,0.05000,,45.12910,45.12910,11.38950,1.24000,,,,,,,1.1135,-9.8251
2021-06-30,40.50300,4.79000,35.71300,2.28700,-0.09300,15.68000,20.03300,-13.98700,6.04600,6.04600,6.04600,0.12500,20.03300,20.03300,5.84400,5.84400,0.02000,0.02000,,49.46050,49.46050,14.92730,0.30860,,,,,,,4.2274,4.2495
