Date,revenue,gross-profit,selling-general-administrative-expenses,other-operating-income-expenses,operating-income,pre-tax-income,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,current-ratio,gross-margin,operating-margin,ebit-margin,pre-tax-profit-margin,net-profit-margin,asset-turnover,roe,return-on-tangible-equity,roa,roi,book-value-per-share
2024-09-30,0.08130,0.08130,0.05230,,0.05490,0.05490,0.05490,0.05490,0.05490,0.08080,0.08080,1.86400,1.86400,0.02950,0.02950,182.09300,100.00000,67.56850,99.40480,67.56850,67.56850,0.02580,1.74600,1.74600,1.74030,1.74600,1.68810
2024-06-30,0.30540,0.30540,0.05910,-0.04700,0.22370,0.22370,0.22370,0.22370,0.22370,0.24810,0.24810,1.86400,1.86400,0.12000,0.12000,9.69240,100.00000,73.23890,81.23470,73.23890,73.23890,0.09200,7.19520,7.19520,6.74040,7.19520,1.66760
2024-03-31,0.16900,0.16900,0.04620,-0.02500,0.12200,0.12200,0.12200,0.12200,0.12200,0.14630,0.14630,1.86400,1.86400,0.06550,0.06550,16.32570,100.00000,72.20950,86.54620,72.20950,72.20950,0.05320,3.98500,3.98500,3.84080,3.98500,1.64280
2023-12-31,0.31230,0.31230,0.03540,-0.05000,0.25060,0.25060,0.25060,0.25060,0.25060,0.27430,0.27430,1.86400,1.86400,0.13460,0.13460,5.72020,100.00000,80.25390,87.84550,80.25390,80.25380,0.09160,8.24080,8.24080,7.35430,8.24080,1.63140
2023-09-30,0.35750,0.35750,0.03110,-0.07500,0.28370,0.28370,0.28370,0.28370,0.28370,0.31600,0.31600,1.86400,1.86400,0.15220,0.15220,7.22250,100.00000,79.35460,88.39830,79.35460,79.35460,0.11040,9.54270,9.54270,8.76360,9.54270,1.59480
2023-06-30,1.77950,1.77950,0.05430,-0.15000,1.59810,1.59810,1.59810,1.59810,1.59810,1.62110,1.62110,1.86400,1.86400,0.85750,0.85750,1.96550,100.00000,89.80930,91.09820,89.80930,89.80930,0.39550,55.22060,55.22060,35.51610,55.22060,1.55260
2023-03-31,0.84540,0.84540,0.06610,-0.07500,0.72440,0.72440,0.72440,0.72440,0.72440,0.74450,0.74450,1.86400,1.86400,0.38870,0.38870,3.04340,100.00000,85.68910,88.06510,85.68910,85.68910,0.24440,26.14850,26.14850,20.94130,26.14850,1.48630
2022-12-31,1.14780,1.14780,0.01890,-0.07500,1.06720,1.06720,1.06720,1.06720,1.06720,1.08040,1.08040,1.86400,1.86400,0.57270,0.57270,2.22510,100.00000,92.97740,94.13310,92.97740,92.97740,0.30610,39.66500,39.66500,28.46320,39.66500,1.44340
2022-09-30,1.20180,1.20180,0.05650,-0.07500,1.07580,1.07580,1.07580,1.07580,1.07580,1.08130,1.08130,1.86400,1.86400,0.57730,0.57730,2.13210,100.00000,89.52000,89.97870,89.52000,89.52000,0.32490,40.95000,40.95000,29.08090,40.95000,1.40940
2022-06-30,1.03700,1.03700,0.06470,-0.03750,0.93580,0.93580,0.93580,0.93580,0.93580,0.93680,0.93680,1.86400,1.86400,0.50210,0.50210,2.21470,100.00000,90.24240,90.34140,90.24240,90.24250,0.29550,36.34810,36.34810,26.66680,36.34810,1.38120
2022-03-31,0.73290,0.73290,0.05750,-0.07200,0.60350,0.60350,0.60350,0.60350,0.60350,0.60350,0.60350,1.86400,1.86400,0.32380,0.32380,2.81610,100.00000,82.34110,82.34510,82.34110,82.34110,0.23150,23.55010,23.55010,19.05900,23.55010,1.37470
2021-12-31,0.27750,0.27750,0.02290,-0.03010,0.22450,0.22450,0.22450,0.22450,0.22450,0.22450,0.22450,1.86400,1.86400,0.12040,0.12040,5.23590,100.00000,80.90300,80.91170,80.90300,80.90300,0.10130,8.99040,8.99040,8.19610,8.99040,1.33950
2021-09-30,,,0.05360,0.05360,,,,,,0.00000,0.00000,1.86400,1.86400,,0.00000,139.38510,,,,,,,,,,,1.33950
2021-06-30,0.59420,0.59420,0.06190,,0.53240,0.53240,0.53240,0.53240,0.53240,0.53240,0.53240,1.86400,1.86400,0.28570,0.28570,2.99610,100.00000,89.59560,89.60080,89.59560,89.59560,0.19190,20.81260,20.81260,17.19720,20.81260,1.37220
2021-03-31,0.03650,0.03650,0.03430,-0.00220,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,1.86400,1.86400,0.00000,0.00000,,100.00000,0.00000,0.07400,0.00000,0.00000,0.01410,0.00000,0.00000,0.00000,0.00000,1.38800
2020-12-31,0.12880,0.12880,0.02680,-0.10200,0.00000,,,,0.02380,0.00000,0.00000,1.86400,1.86400,0.01290,0.01290,,100.00000,0.00000,0.01940,,18.46900,0.04970,,,,,1.38960
2020-09-30,0.05000,0.05000,0.07390,0.02380,,,,,-0.02380,0.00010,0.00010,1.86400,1.86400,-0.01280,-0.01280,,100.00000,,0.17810,,-47.57720,0.01990,,,,,1.34900
2020-06-30,0.27510,0.27510,0.07570,,0.20080,0.20080,0.20080,0.20080,0.20080,0.20210,0.20210,1.86400,1.86400,0.10770,0.10770,13.98620,100.00000,72.97820,73.45590,72.97820,72.97820,0.10480,7.88240,7.88240,7.65150,7.88240,1.36650
