Date,revenue,cost-goods-sold,gross-profit,research-development-expenses,selling-general-administrative-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,current-ratio,debt-equity-ratio,gross-margin,operating-margin,ebit-margin,pre-tax-profit-margin,net-profit-margin,asset-turnover,receiveable-turnover,days-sales-in-receivables,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2024-09-30,442.27000,80.43000,361.84000,49.51900,89.48200,139.00100,222.83900,-16.91000,205.92900,30.57500,175.35400,169.79200,170.03600,222.83900,222.83900,138.04200,140.25600,1.23000,1.21000,1.22720,0.14330,81.81430,50.38530,50.38530,46.56180,38.44620,0.02400,0.15260,589.61960,4.64200,4.64200,0.91950,4.64200,,0,0
2024-06-30,400.72600,73.55000,327.17600,47.89000,89.70500,137.59500,189.58100,-5.45800,184.12300,27.75500,156.36800,154.87400,155.24400,189.58100,189.58100,137.93600,139.92600,1.13000,1.11000,1.26200,0.20770,81.64580,47.30940,47.30940,45.94740,38.74070,0.02590,0.27140,331.65420,4.49580,4.49580,1.00040,4.49580,,0,0
2024-03-31,331.26700,60.08800,271.17900,42.86900,75.90200,118.77100,152.40800,4.05600,156.46400,23.72100,132.74300,132.27100,132.65500,152.40800,152.40800,138.18200,139.63700,0.96000,0.95000,1.29480,0.14940,81.86120,46.00760,46.00760,47.23200,40.04470,0.02420,0.21440,419.69030,4.03270,4.03270,0.96440,4.03270,,0.00000,
2023-12-31,307.32190,55.98200,251.33990,46.98300,71.44300,118.42600,132.91390,-2.12400,130.79000,16.39100,114.39900,113.77590,114.01200,132.91390,132.91400,138.11240,139.95680,0.83000,0.82000,1.31750,0.23000,81.78400,43.24910,43.24910,42.55800,37.09860,0.02470,0.23660,380.46370,3.61670,3.61670,0.91490,3.61670,22.82990,-5.7972,-5.8683
2023-09-30,338.46100,55.85500,282.60600,45.91000,68.10800,114.01800,168.58800,-2.14200,166.44600,27.00900,139.43700,139.34300,139.38200,168.58800,168.58800,136.98500,138.91700,1.02000,1.00000,1.30350,0.21420,83.49740,49.81020,49.81020,49.17730,41.18110,0.02740,0.25340,355.20490,4.63650,4.63650,1.12910,4.63650,,0,0
2023-06-30,317.10000,47.79500,269.30500,46.36800,62.33000,108.69800,160.60700,9.53200,170.13900,26.73000,143.40900,142.86900,142.89200,160.60700,160.60700,138.76400,140.09200,1.03000,1.02000,1.25730,0.20360,84.92750,50.64870,50.64870,53.65470,45.06210,0.02380,0.17840,504.39360,4.99350,4.99350,1.07260,4.99350,,0,0
2023-03-31,318.45700,37.04600,281.41100,45.21100,57.22000,102.43100,178.98000,-0.98500,177.99500,25.69500,152.30000,151.82900,151.85400,178.98000,178.98000,139.31600,140.60600,1.09000,1.08000,1.24720,0.14570,88.36700,56.20230,56.20230,55.89290,47.68430,0.02350,0.20240,444.59080,5.36610,5.36610,1.11840,5.36610,,0.00000,
2022-12-31,296.01500,44.30300,251.71200,43.47900,62.87500,106.35400,145.35800,0.97500,146.33300,21.50100,124.83200,124.25500,124.26200,147.14180,145.35800,142.42230,143.87780,0.88000,0.87000,1.26570,0.11890,85.03350,49.10500,49.10490,49.43430,41.97830,0.02440,0.23500,383.04120,4.64670,4.64670,1.02580,4.64670,19.14770,1.1523,1.1393
2022-09-30,247.85100,27.78600,220.06500,39.93000,57.03600,96.96600,123.09900,-13.16700,109.93200,13.29600,96.63600,96.13600,96.13600,124.82000,123.09900,140.61100,142.26400,0.68000,0.68000,1.24310,0.32430,88.78920,49.66650,49.66650,44.35410,38.78780,0.01980,0.27140,331.59520,3.73840,3.73840,0.76990,3.73840,,-10.5753,-10.5874
2022-06-30,222.59200,26.49200,196.10000,37.17600,54.78200,91.95800,104.14200,-12.16900,91.97300,9.00300,82.97000,81.77200,81.77200,104.14200,104.14200,142.42700,143.67500,0.57000,0.57000,1.20170,0.22270,88.09840,46.78610,46.78610,41.31910,36.73630,0.01590,0.18030,499.25670,3.28180,3.28180,0.58460,3.28180,,12.5188,12.4633
2022-03-31,209.51100,29.10400,180.40700,36.06100,59.48100,95.54200,84.86500,-2.59500,82.27000,9.26200,73.00800,73.00800,73.00800,84.86500,84.86500,147.34300,148.69000,0.50000,0.49000,1.22660,0.23530,86.10860,40.50620,40.50620,39.26760,34.84690,0.01560,0.13600,661.88890,2.80970,2.80970,0.54360,2.80970,,0.00000,
2021-12-31,203.29400,27.40000,175.89400,34.49100,70.60100,105.09200,70.80210,1.57000,72.37200,9.34200,63.03000,63.03000,63.03000,70.80210,70.80210,150.11410,152.45900,0.38000,0.38000,1.25290,0.51580,86.52200,34.82740,34.82740,35.59970,31.00440,0.01560,0.15180,593.02130,2.34260,2.34260,0.48420,2.34260,17.89210,5.0558,4.9966
2021-09-30,222.35700,34.32500,188.03200,28.76100,69.34500,98.10600,89.92600,1.27200,91.19800,12.17400,79.02400,79.02400,79.02400,89.92600,89.92600,153.70600,155.88900,0.51000,0.50000,1.24910,0.59570,84.56310,40.44220,40.44220,41.01420,35.53930,0.01650,0.15860,567.57230,2.85140,2.85140,0.58600,2.85140,,0,0
2021-06-30,203.05200,35.90500,167.14700,22.32900,61.03200,83.36100,83.78600,-3.33200,80.45400,11.70500,68.74900,68.74900,68.74900,83.78600,83.78600,151.03560,153.61230,0.46000,0.45000,1.18600,1.67260,82.31730,41.26330,41.26330,39.62240,33.85780,0.01220,0.13520,665.50410,2.55390,2.55390,0.41150,2.55390,,0,0
2021-03-31,283.56400,57.00100,226.56300,17.67100,45.33200,63.00300,163.56000,0.80800,164.36800,14.86900,149.49900,149.49900,149.49900,163.56000,163.56000,142.33200,144.98100,1.05000,1.03000,1.08590,2.54030,79.89840,57.68010,57.68010,57.96510,52.72140,0.01960,0.21030,427.87680,12.25170,12.25170,1.03230,12.25170,,0.00000,
2020-12-31,153.02200,,153.02200,,,,153.02200,,153.02200,,153.02200,68.67300,68.67300,153.02200,153.02200,137.20500,139.02700,0.50000,0.49000,1.12230,0.66000,100.00000,100.00000,100.00000,100.00000,44.87790,0.01660,0.04410,2040.73900,6.40910,6.40910,0.74640,6.40910,,18.9776,18.9361
2020-09-30,122.07700,,122.07700,,,,122.07700,,122.07700,,122.07700,51.83100,51.83100,122.07700,122.07700,130.19100,132.08700,0.40000,0.39000,,,100.00000,100.00000,100.00000,100.00000,42.45760,,,,,,,,,0,0
2020-06-30,88.71600,,88.71600,,,,88.71600,,88.71600,,88.71600,30.51300,30.51300,88.71600,88.71600,125.49100,126.87700,0.24000,0.24000,,,100.00000,100.00000,100.00000,100.00000,34.39400,,,,,,,,,0,0
2020-03-31,63.29800,,63.29800,,,,63.29800,,63.29800,,63.29800,19.97700,19.97700,63.29800,63.29800,125.45700,126.12400,0.16000,0.16000,,,100.00000,100.00000,100.00000,100.00000,31.56020,,,,,,,,,0.00000,
2019-12-31,39.91400,,39.91400,,,,39.91400,,39.91400,,39.91400,5.64100,5.64100,39.91400,39.91400,124.41600,125.94900,0.05000,0.05000,,,100.00000,100.00000,100.00000,100.00000,14.13290,,,,,,,,,0,0
2019-09-30,32.44100,,32.44100,,,,32.44100,,32.44100,,32.44100,2.65900,2.65900,32.44100,32.44100,112.16900,125.89600,0.02000,0.02000,,,100.00000,100.00000,100.00000,100.00000,8.19640,,,,,,,,,0,0
2019-06-30,33.27000,,33.27000,,,,33.27000,,33.27000,,33.27000,7.08400,7.08400,33.27000,33.27000,112.16900,125.90200,0.06000,0.06000,,,100.00000,100.00000,100.00000,100.00000,21.29250,,,,,,,,,0,0
2019-03-31,30.12100,,30.12100,,,,30.12100,,30.12100,,30.12100,5.80100,5.80100,30.12100,30.12100,66.92200,80.78200,0.09000,0.07000,,,100.00000,100.00000,100.00000,100.00000,19.25900,,,,,,,,,0.00000,
