Date,revenue,cost-goods-sold,gross-profit,selling-general-administrative-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,current-ratio,gross-margin,operating-margin,ebit-margin,pre-tax-profit-margin,net-profit-margin,asset-turnover,inventory-turnover,receiveable-turnover,days-sales-in-receivables,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2024-09-30,140.20900,46.18100,94.02800,102.65700,102.65700,-8.62900,2.92800,-5.70100,-4.00100,-1.70000,-1.70000,-1.70000,-7.35600,-8.62900,170.16870,170.16870,-0.01000,-0.01000,4.58380,67.06270,-6.15440,-6.15440,-4.06610,-1.21250,0.25850,0.37430,13.35450,6.73930,-0.42130,-0.42130,-0.31340,-0.42130,2.37950,0.1415,0.114
2024-06-30,144.22500,46.96100,97.26400,95.71100,95.71100,1.55300,2.83000,4.38300,3.28300,1.10000,1.10000,1.10000,1.31900,1.55300,170.39350,179.68850,0.01000,0.01000,5.44680,67.43910,1.07680,1.07680,3.03900,0.76270,0.27420,0.39370,11.33930,7.93700,0.27380,0.27380,0.20910,0.27380,2.35360,0.0924,0.0423
2024-03-31,119.29300,37.15600,82.13700,81.69400,81.69400,0.44300,2.83700,3.28000,1.84500,1.43500,1.43500,1.43500,-0.08300,0.44300,169.92350,180.70180,0.01000,0.01000,5.64680,68.85320,0.37140,0.37140,2.74950,1.20290,0.23350,0.28480,22.03820,4.08380,0.36810,0.36810,0.28090,0.36810,2.29220,0.06430,0.06160
2023-12-31,144.91800,47.05800,97.86000,83.63200,83.63200,14.22800,2.27900,16.50700,6.50700,10.00000,10.00000,10.00000,14.26100,14.22800,168.06570,182.41300,0.05000,0.06000,6.73150,67.52790,9.81790,9.81800,11.39060,6.90050,0.30620,0.39530,19.40260,4.63860,2.65360,2.65360,2.11320,2.65360,2.22010,0.1087,0.0727
2023-09-30,142.36400,44.97100,97.39300,87.43900,87.43900,9.95400,1.89500,11.84900,5.70300,6.14600,6.14600,6.14600,10.07300,9.95400,168.66880,181.42970,0.04000,0.03000,5.62570,68.41130,6.99190,6.99190,8.32300,4.31710,0.32230,0.31410,22.54020,3.99290,1.73030,1.73030,1.39120,1.73030,2.10130,0.2998,0.255
2023-06-30,138.13200,42.09800,96.03400,89.46800,89.46800,6.56600,1.51700,8.08300,3.50100,4.58200,4.58200,4.58200,7.01900,6.56600,167.42370,183.33260,0.03000,0.02000,6.49730,69.52340,4.75340,4.75340,5.85160,3.31710,0.33610,0.25090,22.03410,4.08460,1.36000,1.36000,1.11480,1.36000,2.00250,0.1605,0.1559
2023-03-31,120.23200,34.55600,85.67600,82.37900,82.37900,3.29700,1.07100,4.36800,2.45900,1.90900,1.90900,1.90900,3.95600,3.29700,166.77330,182.85370,0.01000,0.01000,6.62760,71.25890,2.74220,2.74220,3.63300,1.58780,0.30980,0.19160,31.79900,2.83030,0.59620,0.59620,0.49190,0.59620,1.91660,-0.01580,-0.02000
2022-12-31,144.89900,46.05000,98.84900,95.58900,95.58900,3.25990,0.37800,3.63800,0.24700,3.39100,3.39100,3.39100,3.89690,3.26000,165.26820,187.54750,0.03000,0.01000,4.99350,68.21930,2.24980,2.24980,2.51070,2.34030,0.36680,0.25870,21.10380,4.26460,1.10190,1.10190,0.85830,1.10190,1.84760,0.0249,0.0191
2022-09-30,128.58900,37.75600,90.83300,79.62300,79.62300,11.21000,0.60500,11.81500,7.77100,4.04400,4.04400,4.04400,11.68900,11.21000,165.54310,186.99180,0.02000,0.02000,4.52300,70.63820,8.71770,8.71770,9.18820,3.14490,0.33340,0.22460,15.36680,5.85680,1.38280,1.38280,1.04860,1.38280,1.76280,-0.0728,-0.0864
2022-06-30,122.24700,35.89900,86.34800,76.89700,76.89700,9.45100,0.07000,9.52100,4.66900,4.85200,4.85200,4.85200,9.88400,9.45100,164.92000,188.90350,0.03000,0.03000,5.44340,70.63400,7.73110,7.73110,7.78830,3.96900,0.34570,0.28120,24.07390,3.73850,1.74450,1.74450,1.37200,1.74450,1.68300,-0.099,-0.1063
2022-03-31,110.10000,31.67000,78.43000,64.68500,64.68500,13.74500,0.00800,13.75300,4.85400,8.89900,8.89900,8.89900,14.12000,13.74500,164.40610,193.37930,0.05000,0.05000,5.00730,71.23520,12.48410,12.48410,12.49140,8.08270,0.32130,0.30820,37.83510,2.37870,3.37980,3.37980,2.59680,3.37980,1.59840,-0.04150,-0.04330
2021-12-31,128.69900,38.69600,90.00300,73.57000,73.57000,16.43300,-0.12200,16.31100,3.71500,12.59600,12.59600,12.59600,16.83600,16.43300,159.17770,159.17770,0.09000,0.10000,4.70150,69.93300,12.76850,12.76860,12.67380,9.78720,0.41280,0.44960,52.72390,1.70700,5.12920,5.12920,4.04040,5.12920,1.49510,0.1541,0.147
2021-09-30,102.69600,27.99100,74.70500,64.15400,64.15400,10.55100,-0.93300,9.61800,2.66400,6.95400,6.95400,6.95400,10.90600,10.55100,161.34800,199.38510,0.04000,0.03000,4.35760,72.74380,10.27400,10.27400,9.36550,6.77140,0.36090,0.40360,21.55220,4.17590,3.17100,3.17100,2.44410,3.17100,1.34170,0.0546,0.0511
2021-06-30,101.11700,26.96400,74.15300,106.21400,106.21400,-32.06100,-0.03100,-32.09200,8.45400,-40.54600,-40.54600,-40.54600,-31.71300,-32.06100,156.86750,156.86750,-0.26000,-0.26000,5.18850,73.33390,-31.70680,-31.70680,-31.73750,-40.09810,0.39770,0.43230,25.70340,3.50150,-19.90330,-19.90330,-15.94700,-19.90330,1.26610,0.1128,0.1095
2021-03-31,87.07900,24.71900,62.36000,46.30000,46.30000,16.06000,-0.03800,16.02200,4.58200,11.44000,11.44000,11.44000,16.37800,16.06000,154.50170,168.01240,0.07000,0.07000,3.37510,71.61310,18.44300,18.44300,18.39940,13.13750,0.54010,0.37930,24.53620,3.66800,10.01270,10.01270,7.09500,10.01270,0.73880,0.09590,0.09270
2020-12-31,90.19300,26.13400,64.05900,51.28800,51.28800,12.77100,0.00800,12.77900,0.65300,12.12600,12.12600,12.12600,13.06200,12.77100,153.32730,163.33130,0.07000,0.06000,3.69980,71.02440,14.15960,14.15960,14.16850,13.44450,0.67380,0.52550,15.60430,5.76760,12.41440,12.41440,9.05910,12.41440,0.63240,-0.0062,-0.0108
2020-09-30,76.80900,20.17600,56.63300,32.06000,32.06000,24.57300,0.01200,24.58500,5.26200,19.32300,19.32300,19.32300,24.83000,24.57300,153.06510,164.86400,0.13000,0.12000,,73.73230,31.99230,31.99230,32.00800,25.15720,,,,,,,,,,-0.0188,-0.0211
2020-06-30,64.14300,18.92300,45.22000,28.66000,28.66000,16.56000,0.01800,16.57800,2.40300,14.17500,14.17500,14.17500,16.74000,16.56000,153.05300,153.68060,0.09000,0.09000,,70.49870,25.81730,25.81730,25.84540,22.09910,,,,,,,,,,0.1635,0.1629
2020-03-31,31.96700,7.65500,24.31200,20.27600,20.27600,4.03600,0.09800,4.13400,,4.13400,4.13400,4.13400,4.25400,4.03600,153.05300,153.65520,0.03000,0.03000,,76.05340,12.62550,12.62550,12.93210,12.93210,,,,,,,,,,-0.00530,-0.01170
2019-12-31,,,,,,,,,,,,,,,,,,0.00000,,,,,,,,,,,,,,,,0,0
