Date,revenue,gross-profit,selling-general-administrative-expenses,other-operating-income-expenses,operating-income,pre-tax-income,total-provision-income-taxes,income-after-taxes,other-income,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,long-term-debt-capital,debt-equity-ratio,operating-margin,ebit-margin,pre-tax-profit-margin,net-profit-margin,asset-turnover,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2024-09-30,70.93250,70.93250,14.62830,-1.26600,33.87760,33.87760,,33.87760,19.18110,21.63300,21.63300,30.51440,55.03820,85.59100,85.59100,0.25000,0.25000,0.57280,1.34090,47.76040,77.59240,47.76040,30.49800,0.03460,2.49910,2.49910,1.05650,1.06760,10.11360,1.1874,1.1874
2024-06-30,71.52620,71.52620,15.15760,-0.81630,35.82550,35.82550,,35.82550,-51.58810,-51.27650,-51.27650,101.42890,55.55240,85.59100,85.59100,-0.60000,-0.60000,0.60210,1.51320,50.08730,77.66710,50.08730,-71.68910,0.03220,-5.87290,-5.87290,-2.31110,-2.33690,10.20090,0.8615,0.8615
2024-03-31,55.72930,55.72930,13.63230,-0.60550,28.26130,28.26130,,28.26130,-23.03610,5.05710,5.05710,63.50840,41.49150,62.04800,62.04800,0.08000,0.08000,0.57770,1.36810,50.71170,74.45180,50.71170,9.07450,0.02440,0.53040,0.53040,0.22150,0.22400,11.14000,0.53850,0.53850
2023-12-31,50.84880,50.84880,-9.79530,-0.74370,48.06090,25.45800,0.19870,25.25920,-38.07720,-13.31310,-13.31310,97.05110,59.90030,57.76700,57.76700,-0.22000,-0.22000,0.58900,1.43280,94.51740,117.80090,50.06600,-26.18170,0.02990,-1.93620,-1.93620,-0.78370,-0.79590,11.90300,0.6982,0.6982
2023-09-30,54.21090,54.21090,13.62110,-0.12290,28.33310,28.33310,0.01320,28.31990,-15.36810,12.82290,12.82290,55.21420,40.46690,57.76700,57.76700,0.22000,0.22000,0.56900,1.32020,52.26450,74.64720,52.26450,23.65380,0.03150,1.74460,1.74460,0.74590,0.75190,12.72350,0.806,0.806
2023-06-30,53.96080,53.96080,13.06650,-1.00150,27.60450,27.60450,,27.60450,-10.95920,16.25070,16.25070,50.97750,39.89280,57.76700,57.76700,0.28000,0.28000,0.57730,1.36590,51.15650,73.92920,51.15650,30.11570,0.03010,2.17370,2.17370,0.90650,0.91880,12.94150,0.7959,0.7959
2023-03-31,50.30840,50.30840,12.69370,-0.65690,25.40860,25.40860,0.03540,25.37310,27.97050,22.71390,22.71390,7.64860,36.95770,57.76700,57.76700,0.39000,0.39000,0.57660,1.36170,50.50570,73.46240,50.50570,45.14930,0.02810,3.02460,3.02460,1.26700,1.28070,13.00020,-0.69960,-0.69960
2022-12-31,46.68980,46.68980,-6.11040,-0.54150,41.78220,23.02260,,23.02260,-70.76450,-47.78520,-47.78520,121.79280,52.25870,57.76700,57.76700,-0.83000,-0.83000,0.55830,1.26410,89.48880,111.92730,49.30960,-102.34610,0.02720,-6.39910,-6.39910,-2.77930,-2.82630,12.92700,0.614,0.614
2022-09-30,48.20630,48.20630,13.10790,-0.53900,24.39150,24.39150,,24.39150,1.58990,26.23900,26.23900,31.48470,34.55940,57.76700,57.76700,0.45000,0.45000,0.54670,1.20590,50.59810,71.69070,50.59810,54.43060,0.02660,3.21590,3.21590,1.44830,1.45790,14.12420,2.2886,2.2886
2022-06-30,43.95540,43.95540,12.46580,-0.85020,21.27020,21.27020,,21.27020,-3.03150,-0.12810,-0.12810,32.45680,30.63940,57.76700,57.76700,0.00000,0.00000,0.56350,1.29110,48.39040,69.70570,48.39040,-0.29140,0.02350,-0.01590,-0.01590,-0.00680,-0.00690,13.97000,0.166,0.166
