Date,revenue,gross-profit,selling-general-administrative-expenses,other-operating-income-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,current-ratio,long-term-debt-capital,debt-equity-ratio,gross-margin,operating-margin,ebit-margin,pre-tax-profit-margin,net-profit-margin,asset-turnover,receiveable-turnover,days-sales-in-receivables,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2024-09-30,91.50550,91.50550,22.91220,-61.99530,-2.18550,0.49220,-1.69330,-0.32780,-1.36550,-1.36550,-1.36550,6.62540,-2.18550,26.49500,26.49500,-0.05000,-0.05000,1.25150,0.13940,0.21730,100.00000,-2.38840,-2.38840,-1.85040,-1.49220,0.18370,2.36620,38.03550,-0.40340,-2.46140,-0.27410,-0.34720,12.52220,0.0021,0.1868
2024-06-30,55.90860,55.90860,18.25950,-35.76040,-2.60830,-0.47270,-3.08110,0.47080,-3.55190,-3.55190,-3.55190,-2.60830,-2.60830,14.99300,14.99300,-0.24000,-0.24000,1.35980,0.09460,0.17390,100.00000,-4.66540,-4.66540,-5.51090,-6.35300,0.12190,1.39560,64.48850,-1.11620,-4.61430,-0.77440,-1.01060,12.25840,0.4267,0.0693
2024-03-31,,,0.30990,,-0.30990,,-0.30990,,-0.30990,-0.30990,-0.30990,-0.30990,-0.30990,2.81710,2.81710,-0.11000,-0.11000,0.02180,,,,,,,,,,,-390.80110,-390.80230,-5.98670,-390.80120,,-0.13560,-0.13560
2023-12-31,,,,,,,,,,,,,,,,,0.00000,,,,,,,,,,,,,,,,,0,0
2023-09-30,33.46820,33.46820,5.63240,-24.90320,2.28020,-0.22670,2.05350,0.49810,1.55540,1.55540,1.55540,2.93580,2.28020,,,,0.00000,,,,100.00000,6.81290,6.81290,6.13570,4.64750,,,,,,,,,0,0
2023-06-30,32.99260,32.99260,6.57440,-23.87360,1.91990,-0.30690,1.61300,0.33190,1.28110,1.28110,1.28110,1.91990,1.91990,,,,0.00000,,,,100.00000,5.81920,5.81920,4.88880,3.88290,,,,,,,,,0,0
2022-12-31,,,,,,,,,,,,,,,,,0.00000,,,,,,,,,,,,,,,,,0,0
